Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
2918/0.009768335646418276,1446/0.0207688908528502,2139/0.009622989717901397,1645/0.01669150521609538,2351/0.00797008547008547,1817/0.017263759086188993,2227/0.00836076710038146,2612/0.018194301407483692,715/0.011962224554039873,494/0.024833913318570072,1194/0.025700595324524466,2518/0.02157639806252752,915/0.013395514983131573,2492/0.016166281755196306,1410/0.012208454810495626,631/0.01318702473770334,2306/0.020430301934550713,1157/0.013790177150737245,2646/0.012626262626262626,2587/0.01488833746898263,2172/0.02364306597178086,726/0.020760189284078766,1523/0.017761255679471292,2681/0.020476670023497817,725/0.01909448818897638,231/0.016666666666666666,445/0.011505971453539179,1023/0.01990049751243781,2777/0.020657995409334353,2451/0.023304203079483977
922/0.009661577879790755,2053/0.0207688908528502,1051/0.009622989717901397,149/0.01639344262295082,324/0.007948717948717949,2327/0.016614745586708203,73/0.008308512306004075,13/0.018194301407483692,1118/0.011909758656873033,458/0.024359379943055995,587/0.025410193117467693,543/0.021246147071774548,1202/0.013395514983131573,389/0.015877598152424944,996/0.011844023323615161,731/0.013090769082683607,454/0.02024950280238655,2090/0.013471942293412538,174/0.012396694214876033,334/0.014365939663053415,3024/0.022244820134740054,426/0.02060754083346054,1435/0.017761255679471292,651/0.019805303793219202,1091/0.018503937007874015,2845/0.01633333333333333,551/0.011360326245266531,2486/0.011940298507462687,351/0.019892884468247895,2205/0.018310445276737412
60/0.009661577879790755,455/0.020326999558108707,1762/0.009491167940943844,2112/0.01624441132637854,914/0.007863247863247864,229/0.016095534787123573,240/0.008308512306004075,166/0.01793683487813251,479/0.01180482686253935,298/0.02261942423283771,2628/0.02497458980688253,227/0.020365477763099955,1986/0.013296288946219488,1444/0.01573325635103926,1216/0.011661807580174927,1601/0.013090769082683607,105/0.02024950280238655,1336/0.013365864007637637,1698/0.012396694214876033,12/0.013321144051194986,566/0.021482140587263252,26/0.019996947030987637,2148/0.01734820322180917,1320/0.019805303793219202,1971/0.018503937007874015,614/0.016166666666666666,1192/0.010923390620448586,,193/0.01874521805661821,2773/0.009155222638368706
702/0.009608198996476993,2863/0.019664162615996465,284/0.009491167940943844,1014/0.01624441132637854,433/0.007799145299145299,3005/0.015965732087227413,556/0.008308512306004075,1938/0.01793683487813251,1487/0.011699895068205667,626/0.022303068649161657,143/0.02468418759982576,665/0.020035226772346985,1512/0.013296288946219488,1073/0.01558891454965358,1969/0.011661807580174927,2690/0.01280200211762441,804/0.02024950280238655,762/0.013259785721862734,2308/0.012167125803489439,1597/0.013059945148230378,1453/0.021355027329350452,642/0.01953900167913296,2677/0.01734820322180917,2146/0.019469620678079894,2679/0.017913385826771655,84/0.016,377/0.010923390620448586,,2656/0.01874521805661821,600/0.00749063670411985
114/0.009608198996476993,1805/0.019443216968625717,2380/0.009227524387028736,2569/0.01609538002980626,20/0.007692307692307693,2930/0.015835929387331256,892/0.007942728745362388,1729/0.017336079642979747,760/0.011437565582371459,1915/0.021195824106295474,2749/0.02192536663278641,1924/0.019815059445178335,549/0.012601706687834889,332/0.0154445727482679,119/0.01129737609329446,2262/0.012224468187506016,1662/0.02024950280238655,305/0.01304762915031293,2836/0.012167125803489439,2962/0.012929345696748074,163/0.02071946103978645,2442/0.019233704777896505,1151/0.01734820322180917,3013/0.018294729775092312,823/0.016929133858267716,1485/0.015833333333333335,1159/0.01077774541217594,,1609/0.018362662586074982,1767/0.0070744902205576365
2037/0.009554820113163233,1892/0.01855943437914273,1957/0.009227524387028736,1142/0.015797317436661698,2902/0.007692307692307693,1084/0.015057113187954309,235/0.007838219156607618,1943/0.017336079642979747,2048/0.011332633788037776,290/0.020879468522619425,1790/0.021780165529258023,2126/0.019264641127256715,502/0.012502480650922802,2590/0.015011547344110854,2083/0.010932944606413994,463/0.012128212532486284,655/0.019164708009401555,2966/0.012729394292988225,1606/0.011248852157943067,239/0.012537547342301163,2764/0.02021100800813525,1758/0.01892840787666005,1803/0.016935150764147047,1893/0.018294729775092312,1850/0.016929133858267716,1370/0.015666666666666666,106/0.01077774541217594,,1996/0.017597551644988524,
590/0.009501441229849472,992/0.017454706142288997,2365/0.009095702610071183,1429/0.015797317436661698,909/0.007564102564102564,2671/0.013759086188992731,269/0.007785964362230235,350/0.017336079642979747,2157/0.011332633788037776,253/0.020404935147105348,2453/0.021634964425729635,829/0.018494055482166448,1186/0.012105576503274458,1240/0.014867205542725173,539/0.010568513119533527,322/0.01203195687746655,1349/0.018983908877237388,938/0.012623316007213323,846/0.01078971533516988,1701/0.012537547342301163,1862/0.018939875429007245,2437/0.018623110975423598,2584/0.0161090458488228,905/0.018294729775092312,54/0.01673228346456693,1632/0.015666666666666666,2347/0.010632100203903292,,2517/0.017597551644988524,
2190/0.00939468346322195,1724/0.017012814847547502,2662/0.009095702610071183,268/0.01564828614008942,869/0.007329059829059829,913/0.013110072689511941,140/0.007629199979098082,2653/0.01707861311362856,669/0.011017838405036727,1650/0.020088579563429295,2408/0.019892551183388993,1899/0.017943637164244824,1258/0.012006350466362373,2855/0.014867205542725173,1144/0.010386297376093295,471/0.01203195687746655,21/0.018803109745073224,469/0.012623316007213323,292/0.01078971533516988,2412/0.01240694789081886,2339/0.018558535655268844,1796/0.018623110975423598,1966/0.0161090458488228,141/0.01745552198724404,1363/0.01673228346456693,387/0.015166666666666667,699/0.010632100203903292,,1413/0.016449885233358837,
1048/0.009341304579908189,690/0.016791869200176758,1251/0.00896388083311363,1409/0.014754098360655738,425/0.007307692307692308,178/0.012980269989615784,966/0.007629199979098082,475/0.016735324407826983,281/0.010965372507869884,1362/0.019297690604239165,1442/0.019311746769275447,1010/0.01750330250990753,592/0.012006350466362373,572/0.014867205542725173,1020/0.010021865889212828,821/0.011839445567427087,1302/0.018441511480744893,423/0.012517237721438422,2887/0.009641873278236915,1518/0.012145748987854251,1920/0.018304309139443243,85/0.018012517172950694,2626/0.01569599339116068,1340/0.016784155756965426,1146/0.01653543307086614,639/0.015,406/0.010486454995630643,,1936/0.016067329762815608,
342/0.009341304579908189,1276/0.01657092355280601,126/0.008700237279198523,2793/0.014754098360655738,1308/0.007307692307692308,2664/0.012980269989615784,2036/0.007629199979098082,2445/0.016649502231376588,1332/0.010912906610703044,1449/0.018981335020563112,244/0.01916654566574706,2579/0.01728313518273888,1274/0.011510220281801944,1145/0.014434180138568129,2837/0.009475218658892129,2195/0.011646934257387621,953/0.017899114084252394,2990/0.012411159435663519,1369/0.009641873278236915,1246/0.012145748987854251,2787/0.017922969365704842,2472/0.01785986872233247,1916/0.01569599339116068,716/0.01661631419939577,2682/0.01594488188976378,935/0.015,559/0.010486454995630643,,838/0.01568477429227238,
1637/0.009234546813280666,979/0.016349977905435263,1585/0.008700237279198523,133/0.014008941877794338,514/0.007307692307692308,897/0.012331256490134996,10/0.007524690390343314,2127/0.016563680054926193,837/0.010912906610703044,1172/0.01755773489402088,2901/0.018440540148105127,237/0.017062967855570235,2317/0.011410994244889859,911/0.014145496535796767,711/0.009475218658892129,2864/0.01116565598228896,682/0.017537515819924063,1685/0.012305081149888618,1768/0.009182736455463728,620/0.012015149536371948,542/0.017922969365704842,279/0.01770722027171424,1497/0.015282940933498555,1419/0.016448472641826115,2397/0.015354330708661417,1262/0.015,736/0.010195164579085349,,513/0.014154552410099464,
70/0.009234546813280666,2560/0.016349977905435263,1272/0.008700237279198523,775/0.013859910581222056,1851/0.007222222222222222,1738/0.012331256490134996,1425/0.007524690390343314,416/0.016477857878475798,3010/0.01080797481636936,2021/0.017399557102182852,613/0.01815013794104835,1327/0.01673271686481726,2485/0.011410994244889859,2619/0.013856812933025405,1543/0.009475218658892129,1397/0.01116565598228896,994/0.0173567166877599,376/0.012305081149888618,2598/0.009182736455463728,975/0.011231552827478125,2811/0.01766874284987924,812/0.016943978018623112,1628/0.014456836018174308,1333/0.015944947969117152,1706/0.01515748031496063,167/0.014666666666666666,2767/0.0100495193708127,,2230/0.013771996939556235,
2522/0.009021031280025621,1182/0.016129032258064516,1800/0.00856841550224097,2466/0.013561847988077497,509/0.007200854700854701,965/0.012071651090342679,507/0.007524690390343314,1268/0.016477857878475798,883/0.010283315844700944,1666/0.016925023726668775,662/0.017859735733991577,3004/0.016072214883311318,1301/0.011410994244889859,2470/0.013856812933025405,894/0.008564139941690961,1404/0.010973144672249495,663/0.016995118423431568,1062/0.011986846292563913,2631/0.009182736455463728,306/0.010970353924513516,2013/0.01614338375492564,577/0.016791329568004883,1874/0.014043783560512184,1623/0.0157771064115475,407/0.014960629921259842,2444/0.0145,932/0.009612583745994756,,1889/0.013771996939556235,
80/0.00896765239671186,453/0.015024304021210782,1296/0.00856841550224097,1388/0.013561847988077497,1584/0.007200854700854701,676/0.012071651090342679,2258/0.007315671212833778,1303/0.016392035702025402,440/0.010178384050367261,784/0.01676684593483075,1634/0.017133730216349643,2872/0.015741963892558344,1353/0.011311768207977774,347/0.013712471131639722,2283/0.008381924198250729,1978/0.010876889017229762,1900/0.016633520159103236,1846/0.011986846292563913,1209/0.008953168044077135,1515/0.010578555570066605,2791/0.015126477691623237,1035/0.016791329568004883,957/0.013630731102850062,381/0.015273581738838537,1809/0.014960629921259842,2006/0.014333333333333333,115/0.00946693853772211,,769/0.013771996939556235,
952/0.008754136863456816,906/0.014582412726469289,1859/0.00856841550224097,1494/0.013412816691505217,1935/0.007158119658119658,1890/0.011941848390446522,203/0.007263416418456394,1638/0.01613456917267422,2193/0.01012591815320042,1838/0.015817779183802595,208/0.016698126905764485,308/0.014861294583883751,2691/0.011212542171065688,2189/0.01342378752886836,2133/0.008381924198250729,1858/0.01078063336221003,108/0.015187127101789911,192/0.01188076800678901,153/0.008953168044077135,374/0.010447956118584302,353/0.01182153298589043,1293/0.01663868111738666,379/0.012804626187525816,219/0.015105740181268883,2208/0.013779527559055118,1903/0.014166666666666666,2609/0.009175648121176813,,1833/0.013006885998469778,
1114/0.008700757980143055,2129/0.014582412726469289,2026/0.00856841550224097,527/0.013412816691505217,499/0.007115384615384615,2779/0.011941848390446522,691/0.007002142446569473,2305/0.01596292481977343,2638/0.010073452256033578,1945/0.015343245808288516,2826/0.015681719181065777,285/0.014641127256715104,1877/0.011113316134153601,2109/0.01342378752886836,2533/0.008017492711370262,310/0.01078063336221003,1418/0.015187127101789911,1190/0.011668611435239206,1528/0.008723599632690543,2944/0.01005615776413739,1559/0.010550400406762426,2196/0.01618073576553198,2023/0.01197852127220157,2937/0.014770057066129574,2789/0.01358267716535433,1185/0.013166666666666667,63/0.009175648121176813,,2055/0.013006885998469778,
1080/0.008594000213515533,1286/0.014140521431727796,1802/0.00856841550224097,785/0.013412816691505217,1248/0.007094017094017094,1614/0.011033229491173416,648/0.007002142446569473,1163/0.01596292481977343,1869/0.009968520461699895,1196/0.014710534640936412,179/0.01510091476695223,1517/0.01453104359313078,1241/0.011014090097241516,2330/0.012702078521939953,518/0.008017492711370262,304/0.01078063336221003,1294/0.014102332308804918,1250/0.010926063434814894,2101/0.008723599632690543,1876/0.009533759958208175,2795/0.010550400406762426,1343/0.01541749351244085,385/0.01197852127220157,1856/0.014098690835850957,1675/0.01358267716535433,1560/0.0125,1490/0.009175648121176813,,1377/0.013006885998469778,
536/0.008327105796946729,1433/0.0136986301369863,657/0.008041128394410757,635/0.012965722801788376,370/0.007094017094017094,633/0.011033229491173416,2383/0.007002142446569473,430/0.015533813937521455,1105/0.00944386149003148,2622/0.013919645681746282,1565/0.014520110352838681,535/0.014200792602377808,770/0.010617185949593173,2591/0.012413394919168591,1275/0.008017492711370262,1311/0.010684377707190298,1622/0.014102332308804918,315/0.010395672005940384,1044/0.008723599632690543,733/0.009403160506725872,2454/0.010423287148849625,861/0.01373836055564036,1043/0.01197852127220157,418/0.013930849278281303,2158/0.012992125984251968,2362/0.011666666666666667,622/0.009175648121176813,,1580/0.01262433052792655,
2167/0.008327105796946729,2562/0.013477684489615555,498/0.007909306617453203,1577/0.012816691505216096,1540/0.007051282051282051,2141/0.011033229491173416,1968/0.0068453780634373206,1463/0.015276347408170271,1898/0.009286463798530955,2911/0.011230623220499843,28/0.01364890373166836,1401/0.014090708938793483,2725/0.010220281801944831,1873/0.011980369515011547,720/0.00783527696793003,1499/0.010588122052170565,902/0.01319833664798409,2207/0.010289593720165482,2014/0.008494031221303948,603/0.008880762700796657,2689/0.010423287148849625,207/0.01297511830254923,1456/0.01197852127220157,2544/0.013259483048002686,2908/0.012992125984251968,1066/0.0115,366/0.009030002912904166,,2382/0.01224177505738332,
990/0.008273726913632967,2600/0.013256738842244807,988/0.007909306617453203,1558/0.012667660208643815,891/0.007008547008547009,1911/0.010643821391484943,255/0.0067931232690599365,529/0.015276347408170271,2545/0.00912906610703043,2332/0.010756089844985764,2497/0.013068099317554814,1085/0.014090708938793483,780/0.010121055765032744,746/0.011980369515011547,1495/0.00783527696793003,1103/0.010491866397150832,2877/0.012836738383655759,1759/0.01018351543439058,967/0.008494031221303948,2672/0.008880762700796657,1925/0.010169060633024024,87/0.012822469851931003,824/0.01197852127220157,1985/0.012755958375293723,213/0.012992125984251968,2102/0.0115,2165/0.009030002912904166,,2850/0.011859219586840091,
77/0.008273726913632967,791/0.013035793194874062,17/0.007909306617453203,624/0.012518628912071535,1203/0.007008547008547009,886/0.010643821391484943,1334/0.0067931232690599365,2069/0.014761414349467903,477/0.009076600209863589,1715/0.010439734261309713,2785/0.01234209379991288,882/0.014090708938793483,99/0.010121055765032744,391/0.011691685912240185,449/0.00783527696793003,668/0.010395610742131101,215/0.012475140119327427,2933/0.01018351543439058,615/0.008034894398530763,1018/0.008750163249314352,2404/0.009914834117198424,344/0.01129598534574874,1067/0.011565468814539447,2221/0.012084592145015106,611/0.012795275590551181,2316/0.011166666666666667,963/0.009030002912904166,,1932/0.011476664116296864,
86/0.008166969147005444,2784/0.012593901900132567,923/0.00777748484049565,949/0.012369597615499255,1112/0.006965811965811966,1644/0.010514018691588784,1122/0.0067408684746825525,95/0.013474081702711981,2782/0.009076600209863589,2319/0.010281556469471686,2624/0.011325686075214171,1398/0.013540290620871863,1587/0.009823377654296488,2657/0.011691685912240185,2206/0.00783527696793003,1422/0.009625565501973242,49/0.012294340987163262,312/0.010077437148615679,570/0.007575757575757576,138/0.008750163249314352,945/0.00877081479598322,1830/0.010990688444512288,1787/0.011565468814539447,817/0.012084592145015106,2270/0.012795275590551181,489/0.011166666666666667,256/0.008884357704631517,,2419/0.011094108645753635,
1513/0.00790007473043664,697/0.012593901900132567,781/0.007513841286580543,492/0.012071535022354694,43/0.006965811965811966,2981/0.010124610591900311,271/0.006636358885927784,1573/0.013474081702711981,134/0.009024134312696747,346/0.009807023093957609,2333/0.01001887614345869,2972/0.012769704975781594,431/0.009823377654296488,1381/0.011547344110854504,2043/0.007653061224489796,506/0.009625565501973242,745/0.012113541854999096,774/0.009971358862840776,2999/0.007575757575757576,2732/0.008619563797832049,2669/0.005847209863988814,844/0.01053274309265761,2097/0.011565468814539447,1607/0.011748909029875798,1962/0.012204724409448819,2446/0.011,1255/0.008884357704631517,,2092/0.009946442234123947,
