Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,827/0.0029345636114112184,2417/0.005226149752945648,224/0.004914820841497028,,1686/0.004418299982018547,2357/0.0025992438563327033,2230/0.005422761327149483,,,1433/0.006068162926018287,,1327/0.005911879531511433,,2613/0.005345250613389415,,,,,2441/0.005375679683638161,,,,,,
,2055/0.0029345636114112184,2150/0.005131128848346636,461/0.004898216717032511,,22/0.004392612191425415,159/0.00248109640831758,2565/0.005422761327149483,,,1843/0.006026600166251039,,638/0.005856107083100948,,714/0.005257623554153523,,,,,2610/0.005375679683638161,,,,,,
,2211/0.0029345636114112184,912/0.0049410870391486126,1975/0.004865008468103477,,1141/0.004392612191425415,2288/0.0021266540642722116,1521/0.005351409204423832,,,1329/0.005943474646716542,,1631/0.005856107083100948,,2195/0.005257623554153523,,,,,1771/0.005375679683638161,,,,,,
,761/0.0029345636114112184,2245/0.0049410870391486126,1762/0.00484840434363896,,850/0.0043412366102391535,2528/0.0015359168241965973,45/0.005280057081698181,,,1044/0.005860349127182045,,340/0.005800334634690463,,2456/0.005257623554153523,,,,,1026/0.005313890261987148,,,,,,
,161/0.0029199637924489734,2001/0.0049410870391486126,603/0.0048151960947099256,,540/0.0043412366102391535,1426/0.00035444234404536864,2422/0.00520870495897253,,,2148/0.0057772236076475475,,1513/0.005633017289459007,,2491/0.005169996494917631,,,,,2129/0.005313890261987148,,,,,,
,132/0.0029199637924489734,1195/0.0049410870391486126,337/0.004798591970245409,,193/0.004289861029052891,,2592/0.0049946485907955765,,,116/0.0057772236076475475,,1633/0.005577244841048522,,2474/0.005169996494917631,,,,,2394/0.005190311418685121,,,,,,
,1320/0.002905363973486729,143/0.0049410870391486126,1908/0.004781987845780892,,838/0.004289861029052891,,1362/0.0049232964680699254,,,2634/0.005735660847880299,,1740/0.005465699944227551,,751/0.005169996494917631,,,,,432/0.005190311418685121,,,,,,
,158/0.002905363973486729,2418/0.004893576586849107,2573/0.004781987845780892,,2043/0.00426417323845976,,922/0.0047092400998929715,,,2125/0.005694098088113051,,1014/0.005409927495817066,,2029/0.005082369435681739,,,,,2339/0.0050667325753830945,,,,,,
,1699/0.002890764154524484,1319/0.004893576586849107,645/0.004781987845780892,,1182/0.004238485447866629,,1916/0.0047092400998929715,,,1475/0.005694098088113051,,144/0.005242610150585611,,753/0.004994742376445847,,,,,692/0.004943153732081068,,,,,,
,1051/0.002890764154524484,435/0.004798555682250095,696/0.004765383721316375,,1758/0.004238485447866629,,1872/0.00463788797716732,,,1977/0.005569409808811305,,1087/0.005186837702175126,,2652/0.004994742376445847,,,,,2460/0.004943153732081068,,,,,,
,1005/0.002890764154524484,616/0.004751045229950589,730/0.004748779596851858,,1743/0.004212797657273498,,2643/0.004566535854441669,,,1950/0.005569409808811305,,2128/0.005075292805354155,,1589/0.004994742376445847,,,,,693/0.004819574888779041,,,,,,
,712/0.002876164335562239,1121/0.004656024325351577,1133/0.004715571347922824,,619/0.004187109866680367,,2477/0.004566535854441669,,,2622/0.005486284289276808,,2673/0.005075292805354155,,885/0.004907115317209955,,,,,951/0.004757785467128028,,,,,,
,2367/0.002861564516599994,724/0.004656024325351577,238/0.00468236309899379,,1901/0.004187109866680367,,1882/0.004423831608990367,,,1298/0.005444721529509559,,167/0.0050195203569436695,,2208/0.004907115317209955,,,,,2614/0.004634206623826001,,,,,,
,431/0.002861564516599994,1486/0.0046085138730520715,1890/0.00468236309899379,,1207/0.004187109866680367,,567/0.004423831608990367,,,1034/0.005444721529509559,,1737/0.0050195203569436695,,1574/0.004907115317209955,,,,,2111/0.004634206623826001,,,,,,
,179/0.002861564516599994,2579/0.0046085138730520715,1078/0.00468236309899379,,2078/0.004161422076087236,,2281/0.004352479486264716,,,82/0.005403158769742311,,1150/0.004963747908533185,,2283/0.004907115317209955,,,,,1706/0.004634206623826001,,,,,,
,2416/0.0028469646976377492,2502/0.004561003420752566,736/0.004665758974529273,,380/0.0041100464949009735,,1622/0.004138423118087763,,,2338/0.005236907730673317,,1483/0.0049079754601227,,896/0.0048194882579740625,,,,,2334/0.004572417202174987,,,,,,
,1709/0.0028469646976377492,992/0.004561003420752566,1293/0.004649154850064756,,741/0.0041100464949009735,,2204/0.004138423118087763,,,1244/0.005236907730673317,,1422/0.004852203011712214,,2484/0.00473186119873817,,,,,2316/0.004510627780523974,,,,,,
,1286/0.0028469646976377492,1696/0.00451349296845306,1731/0.004649154850064756,,867/0.0041100464949009735,,2430/0.00392436674991081,,,218/0.005195344970906068,,1035/0.004852203011712214,,1313/0.00473186119873817,,,,,1854/0.004448838358872961,,,,,,
,773/0.0028323648786755043,1818/0.00451349296845306,293/0.004649154850064756,,634/0.0041100464949009735,,2575/0.0037816625044595075,,,2079/0.00515378221113882,,725/0.004796430563301729,,1203/0.00473186119873817,,,,,2226/0.004448838358872961,,,,,,
,932/0.0028323648786755043,1296/0.004370961611554542,23/0.004615946601135722,,2343/0.00403298312312158,,1911/0.0037816625044595075,,,1526/0.00515378221113882,,996/0.004740658114891244,,1944/0.00473186119873817,,,,,1212/0.004325259515570935,,,,,,
,855/0.0028323648786755043,1485/0.004370961611554542,523/0.004599342476671205,,1102/0.00403298312312158,,2510/0.0037103103817338564,,,81/0.005029093931837074,,1137/0.004684885666480758,,2347/0.004644234139502278,,,,,1940/0.004325259515570935,,,,,,
,2572/0.0028177650597132594,1303/0.004323451159255036,197/0.004599342476671205,,1991/0.0039816075419353185,,1564/0.0037103103817338564,,,2403/0.005029093931837074,,1550/0.0046291132180702734,,2116/0.004644234139502278,,,,,1185/0.0042634700939199206,,,,,,
,1036/0.0028177650597132594,2305/0.004323451159255036,181/0.004599342476671205,,1819/0.0039816075419353185,,2069/0.0036389582590082054,,,228/0.005029093931837074,,966/0.004406023424428332,,286/0.004556607080266386,,,,,2189/0.0042634700939199206,,,,,,
,1169/0.0028177650597132594,1439/0.004323451159255036,835/0.004599342476671205,,1624/0.0039816075419353185,,1922/0.0035676061362825543,,,511/0.004904405652535328,,2099/0.004350250976017847,,1024/0.004468980021030494,,,,,1695/0.004201680672268907,,,,,,
,924/0.0028177650597132594,1368/0.004323451159255036,53/0.0045827383522066886,,1729/0.003955919751342187,,2094/0.0035676061362825543,,,1456/0.00486284289276808,,593/0.004350250976017847,,1873/0.004468980021030494,,,,,1926/0.004201680672268907,,,,,,
,2384/0.0028177650597132594,642/0.004228430254656025,5/0.0045827383522066886,,1896/0.003955919751342187,,2040/0.0034962540135569033,,,1746/0.0048212801330008315,,160/0.004294478527607362,,2606/0.004381352961794602,,,,,1999/0.004078101828966881,,,,,,
,597/0.0028177650597132594,1388/0.004180919802356519,281/0.004549530103277654,,2028/0.003955919751342187,,2465/0.00328219764537995,,,2648/0.004779717373233583,,805/0.004127161182375906,,2290/0.004381352961794602,,,,,2104/0.004078101828966881,,,,,,
,1493/0.002803165240751015,1481/0.004180919802356519,1307/0.004549530103277654,,2176/0.003930231960749056,,2496/0.003139493399928648,,,809/0.004779717373233583,,1157/0.00395984383714445,,1267/0.004381352961794602,,,,,2412/0.003954522985664854,,,,,,
,447/0.002803165240751015,497/0.004180919802356519,239/0.004549530103277654,,1815/0.0039045441701559248,,347/0.003139493399928648,,,2190/0.004779717373233583,,843/0.003625209146681539,,1987/0.004381352961794602,,,,,1634/0.0037691547207118143,,,,,,
,543/0.00278856542178877,328/0.004180919802356519,1059/0.004499717729884103,,246/0.0039045441701559248,,1544/0.0029254370317516945,,,2546/0.004738154613466334,,178/0.0032348020078081428,,1016/0.004381352961794602,,,,,1478/0.0037073652990608007,,,,,,
,660/0.00278856542178877,72/0.004180919802356519,169/0.00446650948095507,,1452/0.0039045441701559248,,2304/0.0026400285408490903,,,2450/0.004738154613466334,,1894/0.0031790295593976574,,2172/0.004381352961794602,,,,,2374/0.0036455758774097875,,,,,,
,384/0.00278856542178877,1437/0.004180919802356519,626/0.00446650948095507,,2659/0.0038531685889696627,,1724/0.0026400285408490903,,,618/0.004696591853699085,,1128/0.0031790295593976574,,2010/0.004206098843322818,,,,,1687/0.0036455758774097875,,,,,,
,2071/0.00278856542178877,2169/0.0040858988977575065,677/0.0044166971075615185,,709/0.0038531685889696627,,2486/0.002425972172672137,,,2551/0.0046134663341645885,,1528/0.0029559397657557165,,771/0.004206098843322818,,,,,2019/0.0036455758774097875,,,,,,
,823/0.002773965602826525,2140/0.004038388445458001,1013/0.0043668847341679674,,155/0.0038531685889696627,,1018/0.0022119158044951836,,,2488/0.00457190357439734,,764/0.0029559397657557165,,1496/0.004206098843322818,,,,,1226/0.0035837864557587743,,,,,,
,1358/0.00275936578386428,3/0.003990877993158495,429/0.004333676485238933,,2414/0.003827480798376532,,89/0.0020692115590438816,,,1476/0.004488778054862843,,1205/0.0029559397657557165,,1214/0.004118471784086926,,,,,2138/0.0035219970341077607,,,,,,
,832/0.0027301661459397902,997/0.003990877993158495,2348/0.004317072360774416,,1131/0.003827480798376532,,2254/0.0010702818408847663,,,683/0.004447215295095595,,1585/0.002788622420524261,,1416/0.004030844724851034,,,,,1636/0.0034602076124567475,,,,,,
