Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,2171/0.0023943703098081586,329/0.002518053971873812,1354/0.003586490884335669,,1240/0.003133910452361992,,,,,,,,,,,,,,,,,,,,
,1895/0.0023943703098081586,1515/0.002518053971873812,796/0.003569886759871152,,983/0.003133910452361992,,,,,,,,,,,,,,,,,,,,
,1778/0.0023797704908459136,755/0.002232991258076777,176/0.003569886759871152,,2062/0.0031082226617688614,,,,,,,,,,,,,,,,,,,,
,1880/0.0023797704908459136,2252/0.002185480805777271,2158/0.003536678510942118,,1378/0.00308253487117573,,,,,,,,,,,,,,,,,,,,
,141/0.0023797704908459136,1625/0.002137970353477765,421/0.003536678510942118,,1250/0.00308253487117573,,,,,,,,,,,,,,,,,,,,
,325/0.0023651706718836687,6/0.002137970353477765,1867/0.003536678510942118,,598/0.003031159289989468,,,,,,,,,,,,,,,,,,,,
,1861/0.0023651706718836687,407/0.002137970353477765,30/0.003453657888619533,,483/0.003031159289989468,,,,,,,,,,,,,,,,,,,,
,1673/0.0023505708529214238,1968/0.002137970353477765,105/0.003453657888619533,,1627/0.003031159289989468,,,,,,,,,,,,,,,,,,,,
,87/0.0023505708529214238,1806/0.0020904599011782594,717/0.003437053764155016,,1146/0.003005471499396337,,,,,,,,,,,,,,,,,,,,
,2174/0.002335971033959179,1033/0.0020904599011782594,2193/0.003437053764155016,,1971/0.003005471499396337,,,,,,,,,,,,,,,,,,,,
,1391/0.002335971033959179,2153/0.0019954389965792475,688/0.0034204496396904992,,1237/0.0029540959182100747,,,,,,,,,,,,,,,,,,,,
,1113/0.002321371214996934,2113/0.0019479285442797415,1749/0.003403845515225982,,2048/0.0029540959182100747,,,,,,,,,,,,,,,,,,,,
,1484/0.002321371214996934,1676/0.0019479285442797415,261/0.003403845515225982,,208/0.0029284081276169435,,,,,,,,,,,,,,,,,,,,
,7/0.002321371214996934,1645/0.0016628658304827062,1963/0.003370637266296948,,1100/0.0029027203370238126,,,,,,,,,,,,,,,,,,,,
,229/0.002321371214996934,1043/0.0016628658304827062,364/0.003370637266296948,,441/0.0029027203370238126,,,,,,,,,,,,,,,,,,,,
,1586/0.002321371214996934,2082/0.0016153553781832002,1268/0.003370637266296948,,1812/0.0028770325464306814,,,,,,,,,,,,,,,,,,,,
,1463/0.002306771396034689,2497/0.0014728240212846825,24/0.003354033141832431,,680/0.0028513447558375505,,,,,,,,,,,,,,,,,,,,
,1710/0.002306771396034689,2574/0.0014253135689851768,2464/0.003354033141832431,,405/0.0028256569652444193,,,,,,,,,,,,,,,,,,,,
,474/0.002306771396034689,1505/0.0014253135689851768,147/0.003354033141832431,,2056/0.0028256569652444193,,,,,,,,,,,,,,,,,,,,
,1400/0.002306771396034689,1115/0.0013302926643861649,2091/0.003354033141832431,,711/0.002799969174651288,,,,,,,,,,,,,,,,,,,,
,551/0.002306771396034689,2639/0.001282782212086659,2543/0.0032710125195098464,,984/0.002799969174651288,,,,,,,,,,,,,,,,,,,,
,882/0.002306771396034689,1948/0.001282782212086659,2324/0.0032710125195098464,,1061/0.002799969174651288,,,,,,,,,,,,,,,,,,,,
,479/0.0022921715770724445,1816/0.001282782212086659,2570/0.003204596021651778,,2238/0.002774281384058157,,,,,,,,,,,,,,,,,,,,
,243/0.0022921715770724445,575/0.0011877613074876472,2264/0.0031547836482582275,,1973/0.002774281384058157,,,,,,,,,,,,,,,,,,,,
,504/0.0022921715770724445,2155/0.0010927404028886355,584/0.0031381795237937103,,1495/0.002774281384058157,,,,,,,,,,,,,,,,,,,,
,2120/0.0022921715770724445,1232/0.0010927404028886355,1808/0.0030385547770066085,,501/0.002722905802871895,,,,,,,,,,,,,,,,,,,,
,492/0.0022629719391479546,2060/0.0010927404028886355,1972/0.0029057217812904724,,1923/0.0026715302216856326,,,,,,,,,,,,,,,,,,,,
,2/0.0022629719391479546,2240/0.0010452299505891297,1398/0.0029057217812904724,,1784/0.0026715302216856326,,,,,,,,,,,,,,,,,,,,
,2135/0.0022629719391479546,2617/0.0009977194982896237,2351/0.0028393052834324046,,1223/0.0025944668499062397,,,,,,,,,,,,,,,,,,,,
,1858/0.0022629719391479546,592/0.0009502090459901178,1936/0.002623451665393684,,1045/0.0025944668499062397,,,,,,,,,,,,,,,,,,,,
,404/0.0022629719391479546,1994/0.0009502090459901178,2420/0.002623451665393684,,104/0.0025944668499062397,,,,,,,,,,,,,,,,,,,,
,2631/0.0022483721201857097,118/0.0006176358798935766,1154/0.002490618669677548,,1210/0.0025687790593131084,,,,,,,,,,,,,,,,,,,,
,520/0.0022483721201857097,,1653/0.0024075980473549628,,772/0.0025687790593131084,,,,,,,,,,,,,,,,,,,,
,1609/0.0022483721201857097,,632/0.00225816092717431,,1855/0.0025687790593131084,,,,,,,,,,,,,,,,,,,,
,1951/0.0022483721201857097,,956/0.00225816092717431,,2269/0.0025174034781268464,,,,,,,,,,,,,,,,,,,,
,737/0.0022337723012234648,,1785/0.0019758908112775214,,1786/0.0025174034781268464,,,,,,,,,,,,,,,,,,,,
,237/0.00221917248226122,,2090/0.0019592866868130042,,285/0.0025174034781268464,,,,,,,,,,,,,,,,,,,,
,301/0.00221917248226122,,1355/0.0018264536910968686,,1162/0.0025174034781268464,,,,,,,,,,,,,,,,,,,,
,320/0.00221917248226122,,2197/0.0016438083219871816,,367/0.002491715687533715,,,,,,,,,,,,,,,,,,,,
,1725/0.002204572663298975,,555/0.001311725832696842,,1674/0.0024660278969405843,,,,,,,,,,,,,,,,,,,,
,1410/0.002204572663298975,,,,2297/0.002337588943974929,,,,,,,,,,,,,,,,,,,,
,1822/0.002204572663298975,,,,2067/0.0022091499910092734,,,,,,,,,,,,,,,,,,,,
,245/0.002204572663298975,,,,609/0.002157774409823011,,,,,,,,,,,,,,,,,,,,
,705/0.0021899728443367304,,,,1168/0.002157774409823011,,,,,,,,,,,,,,,,,,,,
,1057/0.0021899728443367304,,,,2095/0.002157774409823011,,,,,,,,,,,,,,,,,,,,
,376/0.0021899728443367304,,,,1904/0.002157774409823011,,,,,,,,,,,,,,,,,,,,
,1752/0.0021899728443367304,,,,442/0.00213208661922988,,,,,,,,,,,,,,,,,,,,
,2006/0.0021753730253744855,,,,2141/0.00213208661922988,,,,,,,,,,,,,,,,,,,,
,502/0.0021753730253744855,,,,595/0.00213208661922988,,,,,,,,,,,,,,,,,,,,
,1891/0.0021753730253744855,,,,2214/0.00213208661922988,,,,,,,,,,,,,,,,,,,,
,532/0.0021753730253744855,,,,2615/0.002106398828636749,,,,,,,,,,,,,,,,,,,,
,817/0.0021607732064122405,,,,2657/0.002106398828636749,,,,,,,,,,,,,,,,,,,,
,2449/0.0021607732064122405,,,,1069/0.002080711038043618,,,,,,,,,,,,,,,,,,,,
,1435/0.0021607732064122405,,,,650/0.002080711038043618,,,,,,,,,,,,,,,,,,,,
,412/0.0021607732064122405,,,,806/0.0020036476662642247,,,,,,,,,,,,,,,,,,,,
,268/0.0021461733874499956,,,,2557/0.0019779598756710934,,,,,,,,,,,,,,,,,,,,
,109/0.0021461733874499956,,,,1112/0.0019779598756710934,,,,,,,,,,,,,,,,,,,,
,2152/0.0021461733874499956,,,,2627/0.0019522720850779624,,,,,,,,,,,,,,,,,,,,
,2186/0.0021461733874499956,,,,2363/0.0019522720850779624,,,,,,,,,,,,,,,,,,,,
,726/0.0021315735684877507,,,,552/0.0018752087132985693,,,,,,,,,,,,,,,,,,,,
,317/0.0021315735684877507,,,,2539/0.001823833132112307,,,,,,,,,,,,,,,,,,,,
,787/0.0021169737495255058,,,,1266/0.001823833132112307,,,,,,,,,,,,,,,,,,,,
,510/0.0021169737495255058,,,,2478/0.001798145341519176,,,,,,,,,,,,,,,,,,,,
,2272/0.0021169737495255058,,,,2076/0.001798145341519176,,,,,,,,,,,,,,,,,,,,
,646/0.0020877741116010163,,,,291/0.001798145341519176,,,,,,,,,,,,,,,,,,,,
,457/0.0020731742926387714,,,,1144/0.0017724575509260449,,,,,,,,,,,,,,,,,,,,
,1665/0.0020731742926387714,,,,2328/0.0017467697603329138,,,,,,,,,,,,,,,,,,,,
,358/0.0020731742926387714,,,,1738/0.0017467697603329138,,,,,,,,,,,,,,,,,,,,
,1352/0.0020731742926387714,,,,2383/0.0016953941791466515,,,,,,,,,,,,,,,,,,,,
,1630/0.0020731742926387714,,,,1976/0.0016440185979603894,,,,,,,,,,,,,,,,,,,,
,1956/0.0020731742926387714,,,,341/0.0015926430167741271,,,,,,,,,,,,,,,,,,,,
,1155/0.0020731742926387714,,,,2377/0.001515579644994734,,,,,,,,,,,,,,,,,,,,
,401/0.0020731742926387714,,,,1886/0.001515579644994734,,,,,,,,,,,,,,,,,,,,
,2036/0.0020585744736765265,,,,879/0.0014385162732153407,,,,,,,,,,,,,,,,,,,,
,438/0.0020585744736765265,,,,1868/0.0013357651108428163,,,,,,,,,,,,,,,,,,,,
,816/0.0020585744736765265,,,,42/0.0013100773202496853,,,,,,,,,,,,,,,,,,,,
,2011/0.0020439746547142815,,,,1846/0.0012587017390634232,,,,,,,,,,,,,,,,,,,,
,1979/0.0020439746547142815,,,,1650/0.0012587017390634232,,,,,,,,,,,,,,,,,,,,
,2375/0.0020293748357520366,,,,314/0.0012330139484702921,,,,,,,,,,,,,,,,,,,,
,2405/0.0020293748357520366,,,,1549/0.0011302627860977678,,,,,,,,,,,,,,,,,,,,
,2467/0.0020293748357520366,,,,957/0.0008220092989801947,,,,,,,,,,,,,,,,,,,,
,926/0.0020293748357520366,,,,1472/0.00043669244008322846,,,,,,,,,,,,,,,,,,,,
,1194/0.0020147750167897917,,,,1927/0.00023119011533817978,,,,,,,,,,,,,,,,,,,,
,1716/0.0020147750167897917,,,,1158/0.00023119011533817978,,,,,,,,,,,,,,,,,,,,
,2089/0.0020147750167897917,,,,947/0.00023119011533817978,,,,,,,,,,,,,,,,,,,,
,428/0.0020147750167897917,,,,1101/0.00017981453415191759,,,,,,,,,,,,,,,,,,,,
,2466/0.0020001751978275467,,,,439/0.00017981453415191759,,,,,,,,,,,,,,,,,,,,
,907/0.0020001751978275467,,,,2354/0.00015412674355878652,,,,,,,,,,,,,,,,,,,,
,1092/0.0020001751978275467,,,,673/0.00015412674355878652,,,,,,,,,,,,,,,,,,,,
,875/0.0019709755599030573,,,,1728/0.00015412674355878652,,,,,,,,,,,,,,,,,,,,
,826/0.0019709755599030573,,,,1424/0.00015412674355878652,,,,,,,,,,,,,,,,,,,,
,798/0.0019709755599030573,,,,,,,,,,,,,,,,,,,,,,,,
,365/0.0019417759219785675,,,,,,,,,,,,,,,,,,,,,,,,
,63/0.0019271761030163225,,,,,,,,,,,,,,,,,,,,,,,,
,2521/0.0019125762840540778,,,,,,,,,,,,,,,,,,,,,,,,
,96/0.0019125762840540778,,,,,,,,,,,,,,,,,,,,,,,,
,1952/0.0019125762840540778,,,,,,,,,,,,,,,,,,,,,,,,
,1258/0.0018979764650918329,,,,,,,,,,,,,,,,,,,,,,,,
,2618/0.0018979764650918329,,,,,,,,,,,,,,,,,,,,,,,,
,568/0.0018979764650918329,,,,,,,,,,,,,,,,,,,,,,,,
,1647/0.0018979764650918329,,,,,,,,,,,,,,,,,,,,,,,,
,1572/0.0018979764650918329,,,,,,,,,,,,,,,,,,,,,,,,
,465/0.001883376646129588,,,,,,,,,,,,,,,,,,,,,,,,
,840/0.001868776827167343,,,,,,,,,,,,,,,,,,,,,,,,
,790/0.001868776827167343,,,,,,,,,,,,,,,,,,,,,,,,
,884/0.0018541770082050983,,,,,,,,,,,,,,,,,,,,,,,,
,590/0.0018395771892428534,,,,,,,,,,,,,,,,,,,,,,,,
,1629/0.0018395771892428534,,,,,,,,,,,,,,,,,,,,,,,,
,1730/0.0018395771892428534,,,,,,,,,,,,,,,,,,,,,,,,
,1269/0.0018395771892428534,,,,,,,,,,,,,,,,,,,,,,,,
,247/0.0018395771892428534,,,,,,,,,,,,,,,,,,,,,,,,
,750/0.0018249773702806085,,,,,,,,,,,,,,,,,,,,,,,,
,1912/0.0018249773702806085,,,,,,,,,,,,,,,,,,,,,,,,
,2151/0.0018249773702806085,,,,,,,,,,,,,,,,,,,,,,,,
,1292/0.0018103775513183637,,,,,,,,,,,,,,,,,,,,,,,,
,659/0.0018103775513183637,,,,,,,,,,,,,,,,,,,,,,,,
,2518/0.0017957777323561188,,,,,,,,,,,,,,,,,,,,,,,,
,2395/0.0017957777323561188,,,,,,,,,,,,,,,,,,,,,,,,
,1407/0.0017957777323561188,,,,,,,,,,,,,,,,,,,,,,,,
,370/0.0017811779133938739,,,,,,,,,,,,,,,,,,,,,,,,
,1619/0.001766578094431629,,,,,,,,,,,,,,,,,,,,,,,,
,2004/0.001766578094431629,,,,,,,,,,,,,,,,,,,,,,,,
,891/0.0017519782754693842,,,,,,,,,,,,,,,,,,,,,,,,
,203/0.0017519782754693842,,,,,,,,,,,,,,,,,,,,,,,,
,321/0.0017519782754693842,,,,,,,,,,,,,,,,,,,,,,,,
,2406/0.0017373784565071393,,,,,,,,,,,,,,,,,,,,,,,,
,974/0.0017373784565071393,,,,,,,,,,,,,,,,,,,,,,,,
,667/0.0017227786375448944,,,,,,,,,,,,,,,,,,,,,,,,
,635/0.0016935789996204047,,,,,,,,,,,,,,,,,,,,,,,,
,153/0.0016935789996204047,,,,,,,,,,,,,,,,,,,,,,,,
,2098/0.0016935789996204047,,,,,,,,,,,,,,,,,,,,,,,,
,703/0.0016935789996204047,,,,,,,,,,,,,,,,,,,,,,,,
,2000/0.0016789791806581598,,,,,,,,,,,,,,,,,,,,,,,,
,723/0.0016789791806581598,,,,,,,,,,,,,,,,,,,,,,,,
,2293/0.0016789791806581598,,,,,,,,,,,,,,,,,,,,,,,,
,668/0.0016789791806581598,,,,,,,,,,,,,,,,,,,,,,,,
,2218/0.0016789791806581598,,,,,,,,,,,,,,,,,,,,,,,,
,2552/0.0016497795427336702,,,,,,,,,,,,,,,,,,,,,,,,
,2179/0.0016497795427336702,,,,,,,,,,,,,,,,,,,,,,,,
,1028/0.0016497795427336702,,,,,,,,,,,,,,,,,,,,,,,,
,1996/0.0016497795427336702,,,,,,,,,,,,,,,,,,,,,,,,
,2637/0.0016497795427336702,,,,,,,,,,,,,,,,,,,,,,,,
,1715/0.0016351797237714252,,,,,,,,,,,,,,,,,,,,,,,,
,746/0.0016205799048091803,,,,,,,,,,,,,,,,,,,,,,,,
,1385/0.0016205799048091803,,,,,,,,,,,,,,,,,,,,,,,,
,968/0.0016205799048091803,,,,,,,,,,,,,,,,,,,,,,,,
,2562/0.0016205799048091803,,,,,,,,,,,,,,,,,,,,,,,,
,140/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,400/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,170/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,1218/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,1055/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,1284/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,1357/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,2632/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,2235/0.0016059800858469356,,,,,,,,,,,,,,,,,,,,,,,,
,2210/0.0015913802668846907,,,,,,,,,,,,,,,,,,,,,,,,
,1077/0.0015913802668846907,,,,,,,,,,,,,,,,,,,,,,,,
,529/0.001547580809997956,,,,,,,,,,,,,,,,,,,,,,,,
,1823/0.001547580809997956,,,,,,,,,,,,,,,,,,,,,,,,
,691/0.001547580809997956,,,,,,,,,,,,,,,,,,,,,,,,
,831/0.0015329809910357112,,,,,,,,,,,,,,,,,,,,,,,,
,1581/0.0015183811720734662,,,,,,,,,,,,,,,,,,,,,,,,
,1841/0.0015037813531112215,,,,,,,,,,,,,,,,,,,,,,,,
,69/0.0014891815341489766,,,,,,,,,,,,,,,,,,,,,,,,
,2203/0.0014891815341489766,,,,,,,,,,,,,,,,,,,,,,,,
,92/0.0014891815341489766,,,,,,,,,,,,,,,,,,,,,,,,
,960/0.0014891815341489766,,,,,,,,,,,,,,,,,,,,,,,,
,352/0.0014745817151867317,,,,,,,,,,,,,,,,,,,,,,,,
,418/0.0014745817151867317,,,,,,,,,,,,,,,,,,,,,,,,
,1085/0.0014745817151867317,,,,,,,,,,,,,,,,,,,,,,,,
,1874/0.0014745817151867317,,,,,,,,,,,,,,,,,,,,,,,,
,930/0.0014745817151867317,,,,,,,,,,,,,,,,,,,,,,,,
,697/0.0014745817151867317,,,,,,,,,,,,,,,,,,,,,,,,
,500/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,1889/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,1130/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,1229/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,322/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,2393/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,59/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,2331/0.0014599818962244867,,,,,,,,,,,,,,,,,,,,,,,,
,2143/0.001445382077262242,,,,,,,,,,,,,,,,,,,,,,,,
,2483/0.0014161824393377521,,,,,,,,,,,,,,,,,,,,,,,,
,100/0.0014015826203755074,,,,,,,,,,,,,,,,,,,,,,,,
,164/0.0014015826203755074,,,,,,,,,,,,,,,,,,,,,,,,
,2031/0.0014015826203755074,,,,,,,,,,,,,,,,,,,,,,,,
,627/0.0013869828014132625,,,,,,,,,,,,,,,,,,,,,,,,
,1698/0.0013869828014132625,,,,,,,,,,,,,,,,,,,,,,,,
,945/0.0013869828014132625,,,,,,,,,,,,,,,,,,,,,,,,
,1330/0.0013723829824510176,,,,,,,,,,,,,,,,,,,,,,,,
,740/0.0013723829824510176,,,,,,,,,,,,,,,,,,,,,,,,
,2073/0.0013723829824510176,,,,,,,,,,,,,,,,,,,,,,,,
,729/0.0013723829824510176,,,,,,,,,,,,,,,,,,,,,,,,
,1376/0.0013577831634887726,,,,,,,,,,,,,,,,,,,,,,,,
,2387/0.0013577831634887726,,,,,,,,,,,,,,,,,,,,,,,,
,323/0.001343183344526528,,,,,,,,,,,,,,,,,,,,,,,,
,2198/0.001343183344526528,,,,,,,,,,,,,,,,,,,,,,,,
,343/0.001328583525564283,,,,,,,,,,,,,,,,,,,,,,,,
,1723/0.001313983706602038,,,,,,,,,,,,,,,,,,,,,,,,
,766/0.001313983706602038,,,,,,,,,,,,,,,,,,,,,,,,
,1900/0.0012993838876397934,,,,,,,,,,,,,,,,,,,,,,,,
,1869/0.0012993838876397934,,,,,,,,,,,,,,,,,,,,,,,,
,12/0.0012847840686775484,,,,,,,,,,,,,,,,,,,,,,,,
,2336/0.0012555844307530586,,,,,,,,,,,,,,,,,,,,,,,,
,2310/0.0012555844307530586,,,,,,,,,,,,,,,,,,,,,,,,
,2041/0.0012409846117908139,,,,,,,,,,,,,,,,,,,,,,,,
,443/0.0012409846117908139,,,,,,,,,,,,,,,,,,,,,,,,
,1455/0.0012409846117908139,,,,,,,,,,,,,,,,,,,,,,,,
,1769/0.001226384792828569,,,,,,,,,,,,,,,,,,,,,,,,
,534/0.001211784973866324,,,,,,,,,,,,,,,,,,,,,,,,
,2199/0.0011971851549040793,,,,,,,,,,,,,,,,,,,,,,,,
,2472/0.0011971851549040793,,,,,,,,,,,,,,,,,,,,,,,,
,1084/0.0011971851549040793,,,,,,,,,,,,,,,,,,,,,,,,
,1556/0.0011971851549040793,,,,,,,,,,,,,,,,,,,,,,,,
,1097/0.0011679855169795894,,,,,,,,,,,,,,,,,,,,,,,,
,2431/0.0011679855169795894,,,,,,,,,,,,,,,,,,,,,,,,
,2147/0.0011679855169795894,,,,,,,,,,,,,,,,,,,,,,,,
,1287/0.0011679855169795894,,,,,,,,,,,,,,,,,,,,,,,,
,460/0.0011387858790550998,,,,,,,,,,,,,,,,,,,,,,,,
,251/0.0011387858790550998,,,,,,,,,,,,,,,,,,,,,,,,
,123/0.0011387858790550998,,,,,,,,,,,,,,,,,,,,,,,,
,1334/0.0011387858790550998,,,,,,,,,,,,,,,,,,,,,,,,
,1640/0.0011241860600928548,,,,,,,,,,,,,,,,,,,,,,,,
,2598/0.0011241860600928548,,,,,,,,,,,,,,,,,,,,,,,,
,1345/0.0010949864221683652,,,,,,,,,,,,,,,,,,,,,,,,
,2318/0.0010511869652816304,,,,,,,,,,,,,,,,,,,,,,,,
,2609/0.0010511869652816304,,,,,,,,,,,,,,,,,,,,,,,,
,1172/0.0010511869652816304,,,,,,,,,,,,,,,,,,,,,,,,
,2164/0.0010511869652816304,,,,,,,,,,,,,,,,,,,,,,,,
,1789/0.0010511869652816304,,,,,,,,,,,,,,,,,,,,,,,,
,414/0.0010365871463193857,,,,,,,,,,,,,,,,,,,,,,,,
,2410/0.0010365871463193857,,,,,,,,,,,,,,,,,,,,,,,,
,2100/0.0010365871463193857,,,,,,,,,,,,,,,,,,,,,,,,
,760/0.0010365871463193857,,,,,,,,,,,,,,,,,,,,,,,,
,620/0.0010365871463193857,,,,,,,,,,,,,,,,,,,,,,,,
,864/0.0010365871463193857,,,,,,,,,,,,,,,,,,,,,,,,
,1083/0.0010219873273571408,,,,,,,,,,,,,,,,,,,,,,,,
,1942/0.0010219873273571408,,,,,,,,,,,,,,,,,,,,,,,,
,1124/0.0009927876894326511,,,,,,,,,,,,,,,,,,,,,,,,
,1801/0.0009927876894326511,,,,,,,,,,,,,,,,,,,,,,,,
,2457/0.0009927876894326511,,,,,,,,,,,,,,,,,,,,,,,,
,2476/0.0009781878704704062,,,,,,,,,,,,,,,,,,,,,,,,
,1850/0.0009635880515081613,,,,,,,,,,,,,,,,,,,,,,,,
,1533/0.0009489882325459164,,,,,,,,,,,,,,,,,,,,,,,,
,2616/0.0009489882325459164,,,,,,,,,,,,,,,,,,,,,,,,
,348/0.0009489882325459164,,,,,,,,,,,,,,,,,,,,,,,,
,1565/0.0009489882325459164,,,,,,,,,,,,,,,,,,,,,,,,
,1197/0.0009343884135836715,,,,,,,,,,,,,,,,,,,,,,,,
,1106/0.0009197885946214267,,,,,,,,,,,,,,,,,,,,,,,,
,2583/0.0009197885946214267,,,,,,,,,,,,,,,,,,,,,,,,
,2166/0.0009051887756591819,,,,,,,,,,,,,,,,,,,,,,,,
,1537/0.0009051887756591819,,,,,,,,,,,,,,,,,,,,,,,,
,2409/0.0008905889566969369,,,,,,,,,,,,,,,,,,,,,,,,
,1184/0.0008905889566969369,,,,,,,,,,,,,,,,,,,,,,,,
,1477/0.0008613893187724472,,,,,,,,,,,,,,,,,,,,,,,,
,1542/0.0008467894998102024,,,,,,,,,,,,,,,,,,,,,,,,
,1257/0.0008467894998102024,,,,,,,,,,,,,,,,,,,,,,,,
,381/0.0008467894998102024,,,,,,,,,,,,,,,,,,,,,,,,
,967/0.0008321896808479574,,,,,,,,,,,,,,,,,,,,,,,,
,2039/0.0008321896808479574,,,,,,,,,,,,,,,,,,,,,,,,
,2248/0.0008175898618857126,,,,,,,,,,,,,,,,,,,,,,,,
,2532/0.0008175898618857126,,,,,,,,,,,,,,,,,,,,,,,,
,1691/0.0008175898618857126,,,,,,,,,,,,,,,,,,,,,,,,
,629/0.0008175898618857126,,,,,,,,,,,,,,,,,,,,,,,,
,2355/0.0008029900429234678,,,,,,,,,,,,,,,,,,,,,,,,
,1799/0.0008029900429234678,,,,,,,,,,,,,,,,,,,,,,,,
,312/0.0008029900429234678,,,,,,,,,,,,,,,,,,,,,,,,
,828/0.0007883902239612229,,,,,,,,,,,,,,,,,,,,,,,,
,2260/0.000773790404998978,,,,,,,,,,,,,,,,,,,,,,,,
,969/0.000773790404998978,,,,,,,,,,,,,,,,,,,,,,,,
,131/0.0007007913101877537,,,,,,,,,,,,,,,,,,,,,,,,
,1508/0.0007007913101877537,,,,,,,,,,,,,,,,,,,,,,,,
,1012/0.0006861914912255088,,,,,,,,,,,,,,,,,,,,,,,,
,350/0.0006861914912255088,,,,,,,,,,,,,,,,,,,,,,,,
,2322/0.0006861914912255088,,,,,,,,,,,,,,,,,,,,,,,,
,326/0.000671591672263264,,,,,,,,,,,,,,,,,,,,,,,,
,2567/0.000671591672263264,,,,,,,,,,,,,,,,,,,,,,,,
,1954/0.000671591672263264,,,,,,,,,,,,,,,,,,,,,,,,
,1675/0.0005693929395275499,,,,,,,,,,,,,,,,,,,,,,,,
,1939/0.0005693929395275499,,,,,,,,,,,,,,,,,,,,,,,,
,146/0.0005693929395275499,,,,,,,,,,,,,,,,,,,,,,,,
,1451/0.000554793120565305,,,,,,,,,,,,,,,,,,,,,,,,
,576/0.0004963938447163256,,,,,,,,,,,,,,,,,,,,,,,,
,2498/0.00048179402575408063,,,,,,,,,,,,,,,,,,,,,,,,
,1447/0.00046719420679183576,,,,,,,,,,,,,,,,,,,,,,,,
,1248/0.00046719420679183576,,,,,,,,,,,,,,,,,,,,,,,,
,2115/0.00046719420679183576,,,,,,,,,,,,,,,,,,,,,,,,
,94/0.00045259438782959094,,,,,,,,,,,,,,,,,,,,,,,,
,2021/0.00030659619820714223,,,,,,,,,,,,,,,,,,,,,,,,
,1413/0.00020439746547142815,,,,,,,,,,,,,,,,,,,,,,,,
,1852/0.00018979764650918328,,,,,,,,,,,,,,,,,,,,,,,,
,1161/0.00018979764650918328,,,,,,,,,,,,,,,,,,,,,,,,
,1839/0.00018979764650918328,,,,,,,,,,,,,,,,,,,,,,,,
,2287/0.00016059800858469355,,,,,,,,,,,,,,,,,,,,,,,,
,1700/0.00016059800858469355,,,,,,,,,,,,,,,,,,,,,,,,
,2196/0.00016059800858469355,,,,,,,,,,,,,,,,,,,,,,,,
,319/0.00016059800858469355,,,,,,,,,,,,,,,,,,,,,,,,
,2156/1.4599818962244867e-05,,,,,,,,,,,,,,,,,,,,,,,,
,2660/1.4599818962244867e-05,,,,,,,,,,,,,,,,,,,,,,,,
