Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127,Topic 128,Topic 129,Topic 130,Topic 131,Topic 132,Topic 133,Topic 134,Topic 135,Topic 136,Topic 137,Topic 138,Topic 139,Topic 140,Topic 141,Topic 142,Topic 143,Topic 144,Topic 145,Topic 146,Topic 147,Topic 148,Topic 149,Topic 150,Topic 151,Topic 152,Topic 153,Topic 154,Topic 155,Topic 156,Topic 157,Topic 158,Topic 159,Topic 160,Topic 161,Topic 162,Topic 163,Topic 164,Topic 165,Topic 166,Topic 167,Topic 168,Topic 169
183/0.06807115174401272,795/0.057138152478182117,698/0.1583186877562976,2573/0.5210970464135021,281/0.129364772580853,1998/0.0906479985639921,664/0.046476159897254773,819/0.3162251655629139,2589/0.06711603273952817,475/0.09281303141501834,521/0.05052974735126324,150/0.327,707/0.06634157405307325,857/0.2607361963190184,419/0.09164376919347018,191/0.12742857142857142,1523/0.07671214094741893,1955/0.3006603651430791,199/0.12043010752688173,484/0.12007874015748031,111/0.26354029062087186,1343/0.2823137957512158,1597/0.1520077641635327,701/0.5387387387387388,621/0.12834906863995918,553/0.22574213557820116,1617/0.0965183752417795,283/0.04995758318408898,890/0.1763480675769498,357/0.08802510022659926,66/0.11434146341463415,41/0.03886217948717949,1532/0.08883116883116883,2435/0.41046946406314916,1588/0.14872521246458922,1392/0.2648701938876109,712/0.059271076205669404,548/0.12628776478759116,292/0.12536916715888954,1796/0.14006043883852318,282/0.0796933757593289,371/0.15592001797348912,386/0.06460725350829233,75/0.15901417960837272,468/0.4216250799744082,1825/0.676056338028169,486/0.08173034694773826,1618/1.0,2071/0.04276985743380855,385/0.05915603313185583,1605/0.17066708229426433,1517/0.11708656330749354,542/0.11287200580691992,895/0.3539530267945749,1170/0.14347746315210078,1570/0.04502307759296351,781/0.10131731886865555,430/0.07382734075561234,78/0.18694922366764583,1063/0.40405469118340404,852/0.24121000950269242,219/0.0681588008912295,58/0.056068852044045055,517/0.22514133688061191,76/0.0811707905853953,451/0.2635443540384997,558/0.11068485365160557,545/0.15241020793950852,46/0.07029299697805808,227/0.08165068147400303,80/0.10749057347065114,5/0.09950681752248332,678/0.16380331753554503,523/0.103,2391/0.0929712135082901,289/0.14501325718947583,938/0.20059515758149601,1862/0.20618556701030927,459/0.10079556755220911,52/0.12843522153673584,1458/0.17267080745341615,665/0.09223794985660098,60/0.13878676470588236,473/0.24015444015444015,39/0.14024086792077237,2559/0.2753743760399334,1225/0.10575942915392457,599/0.030353099565510067,65/0.12294332723948811,868/0.07444105691056911,1176/0.25915932973587047,2091/0.08387783011700349,1562/0.18772682283074893,765/0.1279907497998755,355/0.07483132283786546,1389/0.1189919459599896,566/0.08328239608801956,1099/0.1381361533377396,387/0.21024419297200714,125/0.32185107863604734,2183/0.19583812077109664,903/0.39335236541598695,2114/0.22180996934989514,886/0.09037826859609038,1187/0.18110172245693856,1310/0.19678995115143055,732/0.144559784698193,477/0.22584469472436278,505/0.11508498583569406,129/0.08063092874476065,773/0.09009812667261374,53/0.11568184520271074,1888/0.3944109241028898,838/0.09728692792545902,1731/0.1258903685351502,2480/0.05943763919821826,1871/0.2406710030811366,420/0.3266839378238342,985/0.17787554996857322,918/0.19068670792808723,1587/0.4615812917594655,252/0.23860380307371712,696/0.1704078839310156,124/0.2766721044045677,207/0.34205752785695775,853/0.35120481927710845,1306/0.43590513359351546,2237/0.1308688613059903,136/0.11190108191653787,624/0.5952380952380952,2163/0.2535008976660682,611/0.05359985848222183,225/0.16805283757338552,318/0.47575159095896424,180/0.3243321718931475,1321/0.12445494186046512,296/0.51009564293305,917/0.12936263299194592,1291/0.09691225924793641,2026/0.13602746962493398,700/0.10104935872522347,887/0.2674115456238361,977/0.20052616194095294,1364/0.15386436264646705,240/0.23461336138874278,21/0.119464001816943,1080/0.10907903331156107,364/0.1074468085106383,2570/0.6369248035914703,274/0.2272273699215966,264/0.2496443812233286,242/0.14654377880184333,1412/0.22930717351318208,839/0.344743869871328,1014/0.10456776141940355,88/0.5304971809328549,1935/1.0,151/0.19089048106448311,1126/0.6417138237671787,506/0.15772179627601315,1023/0.17439361375498924,674/0.1317027281279398,2454/0.25348477026329375,2258/0.1476906552094522,2434/1.0,362/1.0,2295/0.7197677354203484,2405/0.6689377516258904,402/0.6114185843285755
476/0.065984298916824,978/0.05549151984192327,26/0.13159050966608085,1415/0.2591922845087402,815/0.11300090194562556,2165/0.07215939687668282,1082/0.04222186546797239,2536/0.3107852412488174,366/0.057486759749638905,2319/0.06381455294012352,652/0.04171297325331555,231/0.19925,471/0.047516443638013155,83/0.2297824874511991,239/0.08202683045094553,1563/0.121,1047/0.06265853156920545,1797/0.2092451120031076,138/0.10125448028673835,1003/0.11062992125984251,31/0.20596653456627037,1322/0.24161760941899155,1031/0.12204294552954022,2341/0.32297297297297295,303/0.10155651952028578,267/0.19472751439964556,307/0.09032882011605416,1986/0.047412574229427844,928/0.1675538069891229,301/0.07878682238103539,470/0.11082926829268293,255/0.03308150183150183,61/0.07574025974025975,1434/0.3072289156626506,1133/0.14251470908694705,532/0.17942819585934933,713/0.05362621180512946,1860/0.10024308369024193,115/0.11577082102776137,168/0.1354618315595848,97/0.0682672837720567,1136/0.15097730847000673,2503/0.060780025514853286,681/0.14213369345037138,1864/0.1762635956493922,2345/0.14020486555697823,614/0.078743961352657,,1169/0.04024439918533605,1678/0.05008954555630177,1052/0.1589775561097257,201/0.11337209302325581,1501/0.07815146382772804,90/0.3513066490241482,744/0.13772857929178645,2080/0.03971087694853261,807/0.08504455637349864,514/0.06798685891586057,134/0.1424674779689467,263/0.35572842998585574,981/0.2199873297434273,249/0.04263722908648977,276/0.055879002657891405,1326/0.2151646158962421,1466/0.06940253470126735,1017/0.22048025401865448,658/0.08795112247797669,1111/0.15004725897920604,1989/0.06832216528708449,929/0.05123674911660778,708/0.08104001350666892,1603/0.0923991876994488,1880/0.13536729857819904,197/0.093,721/0.08188383684264063,1064/0.10952478074648174,1019/0.1843635871770594,2321/0.17588253670727896,1078/0.09738599232845575,2368/0.12128435221536736,64/0.1349896480331263,767/0.08113609029512443,446/0.11066176470588235,483/0.2084942084942085,1307/0.12610729571016224,617/0.20715474209650583,1709/0.10117227319062182,2175/0.02931277155620831,67/0.11739357534604335,1429/0.06288109756097561,2061/0.20604941777904004,666/0.07460872207871144,1074/0.13328934345100626,244/0.1238103708974473,1961/0.07145777959517481,547/0.10652117433099506,1489/0.06998777506112469,2401/0.13108614232209737,2311/0.16944609886837403,830/0.23660403618649964,1772/0.16251755393846545,1762/0.3862153344208809,1558/0.13566704307146313,1792/0.07705001269357704,311/0.16005849853753656,313/0.17780879274249825,222/0.12302960399846213,935/0.14858723572416518,1314/0.08764164305949008,70/0.06915949702183984,2027/0.08617305976806423,293/0.11068838425870883,33/0.3728167672276913,1491/0.08961359276514114,54/0.10483121709507587,2482/0.05526169265033407,273/0.21636425881547416,1073/0.24585492227979275,14/0.1656191074795726,412/0.1794871794871795,202/0.3814031180400891,35/0.22245376400104194,883/0.1372844237612921,889/0.22871125611745513,1467/0.18709510235812388,498/0.3132530120481928,525/0.23086160312218554,685/0.08931462493254183,560/0.08268933539412673,686/0.40476190476190477,1602/0.16265709156193897,1547/0.052803820980010616,1611/0.14995107632093935,38/0.4165020847048497,316/0.1759581881533101,949/0.1015625,752/0.48990435706695007,27/0.1114646514865268,436/0.08682360134515439,1103/0.12440570522979398,872/0.09910610182666149,269/0.2335195530726257,1506/0.19935691318327975,1928/0.1391880695940348,253/0.1998947922146239,1657/0.07222348398818987,1538/0.07576747224036577,814/0.09562647754137116,2552/0.36307519640852975,925/0.13556664290805417,1767/0.23773115220483643,1525/0.1313364055299539,734/0.1923666462293072,224/0.24860403010439427,930/0.09626274065685164,1943/0.15197334700153767,,1363/0.17374616171954965,803/0.35828617623282133,1041/0.08013873676524279,272/0.15198035001535154,1138/0.11382878645343368,2373/0.19050077439339183,919/0.12325456498388829,,,297/0.2802322645796516,1838/0.2322700526478786,2047/0.3157588115351005
682/0.06429494186624267,906/0.04934409133322356,351/0.11892208553016989,2044/0.2197106690777577,15/0.09431774255894859,186/0.06749237120804165,2542/0.03844918927596725,339/0.15066225165562913,1180/0.05055368319691863,1817/0.04886780631880426,1243/0.040157071941913015,1642/0.16625,492/0.04672261283737809,979/0.17651979921918573,519/0.0770163245514789,445/0.085,942/0.06115033934325084,1975/0.1711770037550175,171/0.0931899641577061,1781/0.1,1988/0.1525759577278732,901/0.21627847453288968,122/0.11524930243843261,864/0.1382882882882883,530/0.08369482010717019,2053/0.14510412051395657,2323/0.08994197292069632,128/0.04731831463851447,1843/0.12913677389493172,499/0.07843820812271222,1399/0.09385365853658537,1198/0.031192765567765568,1473/0.06379220779220779,2541/0.28230162027420025,2217/0.142078884288516,1974/0.15379559645087085,2631/0.04429991409988956,535/0.10012732955203149,1404/0.1119314825753101,516/0.12915517014846933,1671/0.0656638704078681,758/0.12300606605257246,2633/0.057955166757791145,1436/0.09925725860904794,1093/0.15738963531669867,1216/0.13412291933418694,1039/0.059727711901624944,,921/0.039511201629327905,769/0.04958585180210432,1824/0.12422069825436409,2591/0.11094961240310078,415/0.07125574643116381,954/0.20112471055243136,581/0.1252522781481255,608/0.03953670643560045,1283/0.08426966292134831,2271/0.055484577477641905,221/0.1424674779689467,649/0.24021687883074022,556/0.20335761799176433,858/0.037775977314158396,374/0.054360207568662194,1554/0.1725972730295976,49/0.06517803258901629,423/0.1843619765826553,671/0.06891162262006252,368/0.13610586011342155,1652/0.06779661016949153,900/0.03823826350328117,902/0.08081490235803929,17/0.09036843632143893,401/0.11581753554502369,677/0.086375,103/0.07537381751602075,1887/0.10891291046298185,2468/0.1272825645881239,2471/0.13183380193689473,429/0.08374769143344225,360/0.11805945036455412,720/0.13126293995859215,2144/0.06309556850772505,1462/0.10919117647058824,893/0.1745173745173745,1013/0.12043396038618492,1931/0.18552412645590682,2273/0.09926095820591234,47/0.02766048589437611,2225/0.0966309741446853,1358/0.05309959349593496,897/0.20391934109627946,1007/0.07384895912475307,226/0.1326294952161003,194/0.10833407453526639,2554/0.07074217951339194,2429/0.09612886464016628,924/0.06418092909535453,114/0.12491738268341045,1832/0.15872543180464563,1701/0.18684759916492694,236/0.15281501340482573,768/0.16476345840130505,211/0.09614453944184546,574/0.07362274689007363,747/0.13284042898927526,2054/0.1740404745289602,619/0.12264513648596694,1536/0.11736810906935388,1739/0.08321529745042493,1021/0.05923229649238915,7/0.08385370205173952,127/0.10189038164308643,2418/0.1483010479517307,741/0.08742121129076459,176/0.09569526169092599,284/0.047605790645879734,2579/0.14892160219103046,1897/0.2038860103626943,959/0.12099308610936518,1939/0.13645741231948127,851/0.15701559020044542,1610/0.16176087522792393,169/0.13536819052833288,588/0.20913539967373573,2130/0.1692148224928738,98/0.13493975903614458,908/0.17021915340738517,2320/0.08310847274689692,1118/0.07975270479134466,,995/0.1267504488330341,133/0.04908897930302494,447/0.14652641878669276,1785/0.10774632433618608,395/0.16840882694541232,1406/0.08012354651162791,,989/0.09217460475290842,1397/0.07306634056863344,2057/0.12097200211304807,1962/0.07306645938593082,455/0.18435754189944134,876/0.1806489330605086,456/0.13338856669428334,1503/0.11362440820620726,85/0.06518282988871224,1151/0.0735467015022861,2416/0.08617021276595745,,1754/0.1352815395580898,961/0.16216216216216217,1065/0.11105990783410138,716/0.1508277130594727,1895/0.23670793882010197,2142/0.0864477161192903,1592/0.15171706817016914,,845/0.13485158648925283,,1947/0.06936838262139466,1726/0.14062020264046668,241/0.10912511759172154,2665/0.15281362932369644,1445/0.11600429645542427,,,,1334/0.09879219572623103,2188/0.07282260413632391
645/0.056742522110702576,353/0.047917009715132554,345/0.11511423550087874,,2064/0.08285014817678134,152/0.05618380901094956,2361/0.037004334564135495,2055/0.13599810785241248,699/0.05016851227732306,1181/0.04850980041170679,472/0.03489664369859969,2078/0.1195,1858/0.04354728963483783,463/0.17066369213608476,1222/0.07653143688378859,2329/0.07942857142857143,77/0.05929937615685199,2348/0.15538003366567396,376/0.08440860215053764,1902/0.09212598425196851,1632/0.14277851166886835,2629/0.19541847965190684,965/0.08625500424602693,,2265/0.07808114314876244,1375/0.11231723526805494,1068/0.07852998065764023,2553/0.04665849750212084,237/0.10691969451515852,1454/0.05909011678577654,1685/0.08507317073170732,422/0.029819139194139196,1689/0.06109090909090909,,1908/0.13739376770538245,2356/0.12750575090371344,727/0.04405448521290956,1060/0.0849635374464637,655/0.10838747784997046,426/0.09683353041650243,1182/0.05597338733005496,1423/0.11109862952145586,1461/0.047293603061782395,34/0.06347062795408508,809/0.14267434420985284,2407/0.04961587708066581,866/0.05709266578831796,,1260/0.03413441955193483,1561/0.044101186478621,93/0.10723192019950124,261/0.09657622739018087,520/0.06436002903459956,1803/0.09361561362884552,408/0.10378570118035595,1635/0.036837063485151963,290/0.07506780317706316,557/0.054845774776419054,495/0.12652119177507343,,1937/0.13477985429204942,1710/0.036054283978124366,295/0.05176559929122896,1686/0.136015962753575,756/0.060651780325890164,73/0.15062512403254613,2473/0.06663824950269963,2263/0.09924385633270322,2561/0.06398633556694258,1756/0.036976274608783444,99/0.08008329112499296,373/0.0863069335654192,1971/0.08856635071090048,1286/0.080875,793/0.06255721696673787,1984/0.09871507240465022,2578/0.11957256864601651,836/0.12402374258044362,563/0.07238244068759767,1236/0.10333707234997196,738/0.13022774327122152,265/0.0630030530113794,1933/0.10183823529411765,802/0.15714285714285714,2206/0.1129690454862148,1275/0.17803660565723795,393/0.0963302752293578,1220/0.026008200232543906,396/0.09421519979106817,2186/0.047891260162601625,504/0.08420903152513491,848/0.07217748062604468,101/0.12174199934015177,2388/0.10121853597794184,869/0.06000817828664895,1920/0.09534944141335412,1776/0.061430317848410756,433/0.11235955056179775,2300/0.1128648004764741,1366/0.18128044537230342,11/0.12472871186007915,1112/0.05566884176182708,2192/0.09453137602839168,2612/0.057374968266057376,998/0.12796555086122846,1293/0.162595952547104,1122/0.1114955786236063,1387/0.10333926101560956,2246/0.07595609065155808,141/0.054268696227663796,1493/0.08331846565566459,792/0.08465105219355606,1174/0.05366783105747856,2043/0.08468073444779392,2626/0.0936822545679777,1155/0.04482182628062361,2147/0.14652516261554263,1859/0.13989637305699482,491/0.11030798240100566,2143/0.10344827586206896,,1342/0.13935920812711644,1142/0.11428962496578154,165/0.16247960848287113,835/0.1559989634620368,1828/0.10481927710843374,391/0.08886220354247974,175/0.07717215326497572,444/0.07805255023183925,,2129/0.11131059245960502,515/0.04900053069166814,2420/0.1396771037181996,,829/0.14111498257839722,2303/0.07994186046511628,,937/0.0839216466142985,1596/0.0687863038826047,1615/0.1162176439513999,1904/0.06412747765254567,2392/0.13817504655493482,79/0.12598655363928676,299/0.12829920700674635,2117/0.1020515518148343,1516/0.05814217578923461,1545/0.06387981711299805,1699/0.07777777777777778,,1217/0.12729864575908767,597/0.11273115220483641,1539/0.09769585253456221,2209/0.13166768853464134,2572/0.16994416120417577,2302/0.08305020762551907,2111/0.12250128139415685,,1034/0.12231320368474924,,1930/0.06663015699160277,1449/0.10746085354620817,1303/0.08654750705550329,1847/0.13680949922560662,2182/0.10257787325456498,,,,,
461/0.05550034780880453,1867/0.04506284647895055,587/0.09944346807264207,,1793/0.0801443113000902,536/0.0558248070364387,739/0.036201637502006744,2522/0.08632923368022706,1408/0.04727973038035628,625/0.047883290074286225,390/0.03245165592353856,2257/0.11325,1207/0.04332048083465639,1005/0.162297824874512,580/0.07216744787457573,1982/0.07642857142857143,2228/0.05587166655240968,388/0.12870646121973325,970/0.07992831541218638,359/0.09094488188976378,1179/0.12450462351387054,2062/0.06437164064499616,2645/0.08419264830765498,,1241/0.06124011227353917,1624/0.08772707133362871,2207/0.07756286266924564,933/0.04317089263832595,1433/0.09164545244156445,816/0.05717273836499913,1094/0.08507317073170732,543/0.02918956043956044,130/0.05683116883116883,,1371/0.131292220527348,1262/0.11896155110088728,540/0.04074119523867959,135/0.08392175020256974,610/0.09952746603662138,958/0.08119826566811195,215/0.05394851026901938,187/0.0884070995281959,820/0.04419537087661746,1919/0.06110735989196489,785/0.10204734484964811,,1189/0.057004830917874394,,2171/0.03340122199592668,1487/0.04342959480635773,715/0.10146508728179551,334/0.083171834625323,1420/0.0567384466489233,,661/0.09540700874564247,155/0.0344857615605678,1446/0.07012785741960481,196/0.05466325971892681,1469/0.10616869492236676,,2382/0.10310421286031042,1105/0.035446627506582944,1662/0.04372864194405771,1569/0.10641835716661124,2394/0.057332528666264336,2624/0.10240127009327248,1744/0.06379653310599602,1579/0.08553875236294896,509/0.061884115096570755,1300/0.03659767794043412,736/0.07136023411559457,279/0.08297069915868871,2637/0.0835308056872038,288/0.076375,1337/0.061946902654867256,871/0.0811747909443198,1116/0.1118625727039091,2470/0.1105904404873477,604/0.06442676516550647,487/0.10011217049915871,105/0.1298136645962733,86/0.06291053751503377,2668/0.08363970588235294,326/0.12625482625482626,579/0.10381208320891809,1256/0.15391014975041598,1110/0.07772680937818552,660/0.02521265528425433,466/0.09369287020109689,109/0.04522357723577236,1688/0.08278898040329452,51/0.07111381249050296,631/0.11228417463983284,113/0.09419194165258384,1575/0.05755469229196483,512/0.09223174850610548,1716/0.061124694376528114,1837/0.08504075787618418,984/0.10899344848123883,2181/0.07341684064022269,382/0.12051576662836716,,48/0.08598160993708663,2017/0.052678344757552675,174/0.10814104647383815,1527/0.15519888346127006,2201/0.10649750096116878,411/0.10294408219719423,2120/0.07188385269121814,1391/0.05294506949040371,2096/0.0760035682426405,909/0.08251099750326953,2497/0.03080342966020959,1237/0.08331049602630858,823/0.09197894084855993,1302/0.044543429844097995,1520/0.1389934953782951,2012/0.08367875647668394,184/0.08830923947203018,435/0.08576480990274093,,1410/0.1226882000520969,158/0.07842868874897345,2599/0.1230016313213703,337/0.14563358383000777,2623/0.059939759036144576,2194/0.07415190633443411,2548/0.0747436589314625,2667/0.07094281298299845,,2339/0.1052064631956912,639/0.04634707235096409,317/0.12108610567514677,,1905/0.12369337979094076,1308/0.07776162790697674,,1577/0.08193298200258527,206/0.06465912564964843,775/0.0948230322239831,987/0.06412747765254567,2226/0.0919925512104283,1906/0.10903244665302543,204/0.09610604805302403,1148/0.09836927932667017,1353/0.05450828980240745,1651/0.05199216198563031,761/0.07742316784869976,,1921/0.1263007840342124,2218/0.08570412517780938,2103/0.08617511520737327,2193/0.09947884733292459,,2318/0.07097017742544356,1684/0.04331112250128139,,1795/0.11796315250767656,,1840/0.0642570281124498,1318/0.08719680687749462,743/0.07839448102853559,2442/0.12596799173980383,676/0.08619763694951665,,,,,
238/0.049736659047997615,2015/0.04330643833360777,338/0.07015231400117164,,975/0.07795387192372116,2562/0.04936277149524322,403/0.03275004013485311,,833/0.045739046701974,62/0.047346281213640026,538/0.03208120323034749,2396/0.07475,300/0.043093672034474936,,603/0.07184418942944884,1104/0.07157142857142858,1164/0.050524439569479676,1172/0.03483102421338858,229/0.07974910394265233,1035/0.08031496062992126,1857/0.1106340819022457,,2603/0.08322212786606818,,185/0.060219443735646846,1946/0.05804164820558263,1356/0.07272727272727272,1011/0.04307663304741258,683/0.07683406618838232,638/0.05403521004009064,923/0.07785365853658537,2084/0.029017857142857144,1863/0.05412987012987013,,717/0.08901721507953803,2243/0.10713112060466645,873/0.040127623021229596,271/0.08102789674730872,2535/0.07486709982279977,2641/0.0723952174484299,1815/0.051778999132195545,788/0.08099303527297237,2413/0.043648624020411884,1168/0.06076975016880486,,,585/0.04989020641194554,,2161/0.0329938900203666,287/0.04337362883366913,1551/0.08104738154613467,1758/0.08107235142118863,212/0.0548028066779579,,1775/0.09351110023851752,1166/0.034311591047635634,706/0.06635025184037195,939/0.05402445701770396,1997/0.09127150650440621,,1381/0.0975609756097561,1673/0.034737694956451286,315/0.04246297936970004,511/0.0758230794812105,812/0.05220277610138805,2657/0.0785870212343719,162/0.05910770105143507,1729/0.0831758034026465,1901/0.059913283405597165,733/0.03596668349318526,789/0.06640778884574258,1051/0.08297069915868871,680/0.07760663507109004,298/0.066625,1985/0.05869189299155732,849/0.08015500713848664,2154/0.09617205464628703,931/0.07091533895657608,2543/0.0635033385424066,1333/0.08791362871564778,2654/0.1113871635610766,623/0.05995004163197336,1270/0.06691176470588235,291/0.09343629343629344,448/0.10082611724893002,,406/0.077217125382263,37/0.02429471880545866,1059/0.09206059023243666,2025/0.044334349593495935,2011/0.07284862255041182,1398/0.06959428658258623,731/0.10986473111184428,583/0.08049452992973406,0/0.05683909221018197,2523/0.08781501688750325,1531/0.053636919315403424,189/0.07468605419695969,190/0.08070279928528887,,1468/0.09766373037150516,,1405/0.08388449749959671,1465/0.052170601675552174,1175/0.08051673708157296,1723/0.07215631542219121,2024/0.09803921568627451,2538/0.0972139893301719,1057/0.07029036827195467,718/0.048091771453783363,2367/0.07100802854594113,584/0.0721673998335513,,1666/0.07618525623458482,462/0.07556519046144317,690/0.04370824053452116,2502/0.08832591578226635,,198/0.08548082966687617,2233/0.07928087238432066,,510/0.11513414951810368,2180/0.07733369833013962,,,2159/0.03584337349397591,,2359/0.07258499730167296,1510/0.06738794435857805,,2316/0.09766606822262118,2016/0.042897576508048825,1822/0.11472602739726027,,1727/0.0664924506387921,704/0.07757994186046512,,550/0.0703987272546485,309/0.0637419749312137,518/0.09323824617010038,442/0.060629615235134084,1809/0.0845437616387337,1631/0.08097047646886875,56/0.09137175997159427,1899/0.09573908469226723,628/0.05359981830570066,846/0.051730894839973875,2449/0.075177304964539,,1898/0.10491803278688525,370/0.07876955903271693,1450/0.07419354838709677,2611/0.08614347026364194,,2477/0.053982634956587394,,,2081/0.10798362333674513,,1865/0.06279664110989412,2236/0.07952103162419405,577/0.07776732518030731,2230/0.10273618998451213,2453/0.07250268528464017,,,,,
2437/0.045612640365696115,1442/0.04286733629727208,450/0.06956649091974224,,379/0.07486148692178843,1315/0.048644767546221504,1601/0.03194734307272435,,1977/0.043331728454501686,259/0.04618276201557326,2157/0.030599392457583165,,1586/0.04275345883420277,,654/0.06667205430741878,1244/0.06671428571428571,1500/0.0499760060327689,,1499/0.07508960573476703,955/0.07519685039370079,,,2185/0.07836952565813417,,2213/0.05741260525644297,1071/0.05117412494461675,1456/0.058220502901353964,1876/0.042416815911018944,2648/0.07590835454755844,884/0.049328917552727905,1109/0.05853658536585366,132/0.0278731684981685,554/0.05246753246753247,,2386/0.08193506210503378,1027/0.04830759119290174,1141/0.039268621916799605,1066/0.07558745225141798,235/0.06718842291789723,74/0.06582577847851794,22/0.05047729245010124,2315/0.07425297685913278,278/0.04319300164024057,2439/0.06009453072248481,,,23/0.04589371980676329,,988/0.030386965376782076,1139/0.043037832997537495,2176/0.07341022443890274,932/0.08058785529715762,1707/0.05395596419066054,,440/0.08005626567182435,246/0.03291822694417835,1755/0.05501743510267338,2545/0.04517247672933017,1909/0.09106168694922366,,,856/0.034535142799270814,2224/0.04246297936970004,996/0.06883937479215164,1444/0.04888352444176222,,2458/0.052571753339016765,904/0.0671077504725898,549/0.05820522927342005,1720/0.03571428571428571,1890/0.06359389948787214,369/0.08297069915868871,2166/0.07731042654028436,1273/0.062375,361/0.05574204048418269,2289/0.07770752600448705,421/0.09062626809143785,1396/0.058419243986254296,25/0.06286404318795283,464/0.07992148065058889,1055/0.06687370600414079,1692/0.05967249514293644,2459/0.06672794117647059,,257/0.08957897879964169,,2264/0.07122833843017329,449/0.02374395691818126,730/0.07364847218594933,826/0.04382621951219512,915/0.0636182902584493,16/0.06913842881021122,1941/0.10744528758385571,2335/0.07355687983634261,1573/0.05551012062972807,32/0.0798908807482463,598/0.047371638141809294,2515/0.07182198722185504,1212/0.06968433591423466,,1751/0.06574747861611133,,537/0.08211001774479755,834/0.04975882203604976,1555/0.08043548911277218,1167/0.036427076064200974,2241/0.07804690503652441,2146/0.09662122110254891,502/0.06214589235127479,1435/0.04390028678579307,245/0.06672613737734166,832/0.07169183212459874,,573/0.07289668402302,375/0.06921647568906782,1261/0.043012249443207126,1232/0.02019856213625471,,695/0.06442489000628536,1969/0.07456528146183318,,,2331/0.05871886120996441,,,,,2162/0.05666486778197517,1421/0.06197836166924266,,2614/0.0710951526032316,91/0.04254378206262162,218/0.087573385518591,,,1805/0.07648982558139535,,2124/0.06880779556527791,953/0.06282482421277896,1884/0.08003169572107766,1316/0.060240963855421686,,340/0.07337035954399299,2372/0.08782104391052195,1245/0.07943187795896896,1519/0.05291846468317057,1149/0.04872632266492489,243/0.07234042553191489,,2343/0.08524590163934426,2338/0.0732574679943101,2030/0.07050691244239632,2177/0.04337829552421827,,637/0.048320120800302,,,328/0.08520982599795292,,1464/0.05823293172690763,622/0.06601166717838501,591/0.07306365631859517,2462/0.03768714506969541,1992/0.0682062298603652,,,,,
