Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,1643/0.003764850242623682,,379/0.004138379986980378,716/0.003743202203545448,1087/0.003269280523084884,2261/0.0017191977077363897,3009/0.004564843223826985,,1952/0.003791510502919899,2404/0.003524712148507872,638/0.004187139500106815,,2372/0.0007342143906020558,2871/0.002308615753993905,,,,,,,,,,,
,1676/0.0037509063528361874,,2195/0.004091881335441272,2943/0.003743202203545448,1717/0.003245760519321683,1994/0.0017191977077363897,164/0.004564843223826985,,745/0.0037479299224265667,2958/0.0034463852118743637,1961/0.004187139500106815,,2109/0.0004894762604013706,611/0.002308615753993905,,,,,,,,,,,
,2112/0.0036951307936862066,,750/0.004045382683902167,1477/0.0036019492902041104,1311/0.003245760519321683,,777/0.0043777594851455515,,838/0.0037479299224265667,2833/0.0034463852118743637,1991/0.00358897671437727,,1492/0.0002447381302006853,546/0.0018468926031951242,,,,,,,,,,,
,815/0.0036951307936862066,,3012/0.003998884032363061,1151/0.0035313228335334414,1344/0.0032222405155584825,,697/0.004340342737409264,,976/0.0037479299224265667,168/0.0034463852118743637,3014/0.0035035248878444777,,2752/0.0002447381302006853,1523/0.0013851694523963432,,,,,,,,,,,
,760/0.0036811869038987114,,1261/0.003998884032363061,2621/0.003460696376862773,1215/0.0032222405155584825,,2875/0.004265509241936691,,2885/0.0037479299224265667,676/0.0034463852118743637,537/0.0035035248878444777,,1541/0.0002447381302006853,,,,,,,,,,,,
,922/0.0036811869038987114,,1672/0.003998884032363061,247/0.003460696376862773,1502/0.003198720511795282,,2025/0.00415325899872783,,1950/0.0037043493419332343,2057/0.003289731338607347,526/0.002990813928647725,,2169/0.0002447381302006853,,,,,,,,,,,,
,1212/0.0036811869038987114,,1055/0.003952385380823956,852/0.003460696376862773,2388/0.003198720511795282,,2130/0.004115842250991544,,2056/0.0037043493419332343,901/0.0031330774653403307,267/0.0029480880153813288,,969/0.0002447381302006853,,,,,,,,,,,,
,1813/0.0036532991243237215,,2214/0.0038593880777457452,1575/0.003460696376862773,347/0.003198720511795282,,1886/0.004115842250991544,,2777/0.0036607687614399025,2030/0.0030547505287068224,2366/0.0020508438367870113,,1070/0.0002447381302006853,,,,,,,,,,,,
,579/0.0036393552345362263,,2965/0.0037663907746675346,2116/0.003460696376862773,2074/0.0031752005080320812,,2164/0.004115842250991544,,690/0.00361718818094657,1265/0.0030547505287068224,2075/0.0020508438367870113,,2702/0.0002447381302006853,,,,,,,,,,,,
,257/0.0036393552345362263,,2814/0.0037663907746675346,2650/0.003460696376862773,1064/0.0031752005080320812,,840/0.0038539250168375364,,2784/0.003530027019959906,820/0.0027414427821727894,1153/0.0019226660969878231,,2556/0.0002447381302006853,,,,,,,,,,,,
,851/0.0036393552345362263,,1753/0.003673393471589324,2890/0.003460696376862773,1495/0.0031752005080320812,,2730/0.0037416747736286763,,1525/0.0034864464394665736,2143/0.00180151954257069,74/0.0007690664387951292,,2456/0.0002447381302006853,,,,,,,,,,,,
,2522/0.003611467454961236,,2292/0.0036268948200502186,523/0.003390069920192104,2283/0.0031752005080320812,,1034/0.003666841278156103,,2834/0.0034864464394665736,2491/0.0014098848594031488,,,882/0.0002447381302006853,,,,,,,,,,,,
,981/0.0035975235651737407,,1545/0.003580396168511113,567/0.003390069920192104,206/0.0031516805042688806,,979/0.003666841278156103,,1805/0.0034864464394665736,561/0.0012532309861361323,,,2474/0.0002447381302006853,,,,,,,,,,,,
,2925/0.0035975235651737407,,1776/0.003533897516972008,816/0.003390069920192104,1289/0.0031516805042688806,,1578/0.0035171742872109556,,1029/0.0034428658589732413,1876/0.0009399232396020992,,,1612/0.0002447381302006853,,,,,,,,,,,,
,2216/0.0035556918958112556,,1538/0.003533897516972008,2411/0.003390069920192104,471/0.00312816050050568,,476/0.003479757539474669,,2096/0.0034428658589732413,2471/0.0009399232396020992,,,2817/0.0002447381302006853,,,,,,,,,,,,
,15/0.0035556918958112556,,1307/0.0034873988654329025,1792/0.003390069920192104,1255/0.0031046404967424793,,1678/0.003479757539474669,,1581/0.0033992852784799094,233/0.0004699616198010496,,,2633/0.0002447381302006853,,,,,,,,,,,,
,1186/0.0035556918958112556,,770/0.0034873988654329025,337/0.0033194434635214353,2769/0.0031046404967424793,,1486/0.0033300905485295217,,2659/0.0033992852784799094,,,,2950/0.0002447381302006853,,,,,,,,,,,,
,1880/0.0035278041162362652,,597/0.003394401562354692,504/0.0032488170068507662,89/0.003081120492979279,,739/0.003180423557584375,,856/0.0033992852784799094,,,,,,,,,,,,,,,,
,1512/0.0035278041162362652,,2663/0.0033479029108155864,903/0.0032488170068507662,1705/0.003081120492979279,,1960/0.003180423557584375,,2211/0.0033121241174932452,,,,,,,,,,,,,,,,
,224/0.00351386022644877,,723/0.0033479029108155864,1236/0.0031781905501800977,1073/0.0030576004892160784,,2829/0.0015340866571877572,,42/0.0033121241174932452,,,,,,,,,,,,,,,,
,1570/0.00351386022644877,,124/0.0033479029108155864,1720/0.0031781905501800977,1005/0.0030576004892160784,,1907/0.0010102521888797425,,2356/0.0032249629565065806,,,,,,,,,,,,,,,,
,782/0.00351386022644877,,1445/0.0033479029108155864,2251/0.0031075640935094287,48/0.0030576004892160784,,2385/0.0005238344683080147,,483/0.0032249629565065806,,,,,,,,,,,,,,,,
,939/0.003499916336661275,,1539/0.003301404259276481,1519/0.0030369376368387596,841/0.0030340804854528777,,,,516/0.0032249629565065806,,,,,,,,,,,,,,,,
,117/0.003499916336661275,,2527/0.003254905607737376,2557/0.0030369376368387596,1629/0.0030340804854528777,,,,1321/0.0031378017955199164,,,,,,,,,,,,,,,,
,154/0.00348597244687378,,82/0.0032084069561982703,2336/0.002966311180168091,2029/0.0030340804854528777,,,,2660/0.0031378017955199164,,,,,,,,,,,,,,,,
,136/0.003472028557086285,,2831/0.0030224123500418487,2955/0.002966311180168091,763/0.0030340804854528777,,,,2316/0.0031378017955199164,,,,,,,,,,,,,,,,
,2200/0.003472028557086285,,2047/0.0030224123500418487,212/0.002966311180168091,2314/0.003010560481689677,,,,2387/0.0031378017955199164,,,,,,,,,,,,,,,,
,982/0.0034580846672987897,,2009/0.0029759136985027432,2369/0.002966311180168091,460/0.003010560481689677,,,,2296/0.003094221215026584,,,,,,,,,,,,,,,,
,458/0.0034580846672987897,,1259/0.002789919092346322,2780/0.002966311180168091,1328/0.003010560481689677,,,,1748/0.003094221215026584,,,,,,,,,,,,,,,,
,2165/0.0034580846672987897,,778/0.002650423137729006,2927/0.002966311180168091,2087/0.003010560481689677,,,,2288/0.003094221215026584,,,,,,,,,,,,,,,,
,2320/0.0034580846672987897,,2785/0.0026039244861899005,2657/0.002895684723497422,1409/0.0029870404779264764,,,,1012/0.003094221215026584,,,,,,,,,,,,,,,,
,214/0.0034441407775112945,,797/0.0026039244861899005,2813/0.002895684723497422,2345/0.0029870404779264764,,,,45/0.003050640634533252,,,,,,,,,,,,,,,,
,41/0.0034441407775112945,,2337/0.0026039244861899005,2627/0.002895684723497422,218/0.0029870404779264764,,,,2897/0.003050640634533252,,,,,,,,,,,,,,,,
,552/0.0034301968877237994,,1966/0.002371431228494374,2822/0.0028250582668267535,862/0.002963520474163276,,,,2468/0.00300706005403992,,,,,,,,,,,,,,,,
,441/0.003416252997936304,,1181/0.002371431228494374,813/0.0028250582668267535,249/0.002963520474163276,,,,1484/0.0029634794735465876,,,,,,,,,,,,,,,,
,290/0.003402309108148809,,1414/0.0022319352738770577,1959/0.0028250582668267535,2374/0.002963520474163276,,,,2922/0.002789157151573259,,,,,,,,,,,,,,,,
,2914/0.003402309108148809,,276/0.0022319352738770577,1766/0.0028250582668267535,1842/0.002940000470400075,,,,1648/0.002789157151573259,,,,,,,,,,,,,,,,
,1396/0.003374421328573819,,81/0.0020924393192597417,2428/0.0028250582668267535,1128/0.002940000470400075,,,,1936/0.002789157151573259,,,,,,,,,,,,,,,,
,660/0.003360477438786324,,2436/0.0020924393192597417,822/0.0028250582668267535,348/0.0028929604628736743,,,,1885/0.002745576571079927,,,,,,,,,,,,,,,,
,648/0.003360477438786324,,1812/0.0019529433646424254,1415/0.0028250582668267535,1282/0.0028929604628736743,,,,3017/0.002745576571079927,,,,,,,,,,,,,,,,
,1771/0.0033325896592113335,,1424/0.0015344555007904771,2720/0.0027544318101560845,1890/0.0028929604628736743,,,,1433/0.002745576571079927,,,,,,,,,,,,,,,,
,2222/0.0033325896592113335,,1374/0.0015344555007904771,2896/0.0027544318101560845,527/0.0028929604628736743,,,,2781/0.002745576571079927,,,,,,,,,,,,,,,,
,1334/0.0033186457694238383,,2913/0.0013019622430949502,920/0.0026838053534854155,1558/0.0028929604628736743,,,,1039/0.002745576571079927,,,,,,,,,,,,,,,,
,1799/0.0033186457694238383,,2081/0.000511485166930159,2883/0.0026838053534854155,1088/0.0028694404591104736,,,,2247/0.0026584154100932626,,,,,,,,,,,,,,,,
,2304/0.0033047018796363435,,1499/0.0004184878638519483,2739/0.0026838053534854155,1605/0.0028694404591104736,,,,578/0.0026584154100932626,,,,,,,,,,,,,,,,
,231/0.003276814100061353,,515/0.0004184878638519483,798/0.002613178896814747,1559/0.0028224004515840723,,,,3011/0.0026584154100932626,,,,,,,,,,,,,,,,
,2432/0.0032489263204863628,,,1699/0.002613178896814747,2686/0.0027988804478208716,,,,2472/0.0026584154100932626,,,,,,,,,,,,,,,,
,2290/0.0032489263204863628,,,2709/0.002613178896814747,2005/0.0027988804478208716,,,,2790/0.0026584154100932626,,,,,,,,,,,,,,,,
,573/0.003221038540911373,,,1238/0.002542552440144078,412/0.002775360444057671,,,,872/0.0026584154100932626,,,,,,,,,,,,,,,,
,148/0.003221038540911373,,,1536/0.0024719259834734093,1657/0.002775360444057671,,,,2662/0.0026584154100932626,,,,,,,,,,,,,,,,
,689/0.003221038540911373,,,2239/0.0024719259834734093,548/0.002775360444057671,,,,569/0.0026148348295999303,,,,,,,,,,,,,,,,
,1511/0.0032070946511238776,,,2503/0.0024719259834734093,714/0.002775360444057671,,,,1767/0.0026148348295999303,,,,,,,,,,,,,,,,
,58/0.0032070946511238776,,,1179/0.0024012995268027403,1882/0.002775360444057671,,,,2715/0.002571254249106598,,,,,,,,,,,,,,,,
,508/0.0032070946511238776,,,2488/0.0024012995268027403,1837/0.0027518404402944703,,,,1347/0.002571254249106598,,,,,,,,,,,,,,,,
,898/0.0032070946511238776,,,1861/0.0024012995268027403,2020/0.0027518404402944703,,,,2224/0.002571254249106598,,,,,,,,,,,,,,,,
,2982/0.0031792068715488873,,,752/0.0024012995268027403,1318/0.0027283204365312697,,,,219/0.002571254249106598,,,,,,,,,,,,,,,,
,2323/0.003165262981761392,,,839/0.0024012995268027403,746/0.0027283204365312697,,,,1908/0.002571254249106598,,,,,,,,,,,,,,,,
,1322/0.003165262981761392,,,2786/0.0023306730701320713,833/0.0027283204365312697,,,,2415/0.002571254249106598,,,,,,,,,,,,,,,,
,366/0.003151319091973897,,,2217/0.0022600466134614027,1352/0.002704800432768069,,,,1939/0.002571254249106598,,,,,,,,,,,,,,,,
,1254/0.0031373752021864017,,,582/0.0022600466134614027,771/0.002704800432768069,,,,1785/0.002527673668613266,,,,,,,,,,,,,,,,
,427/0.0031373752021864017,,,803/0.0022600466134614027,351/0.002657760425241668,,,,2954/0.002527673668613266,,,,,,,,,,,,,,,,
,250/0.0031373752021864017,,,2440/0.0021894201567907337,1149/0.002657760425241668,,,,1110/0.002527673668613266,,,,,,,,,,,,,,,,
,1572/0.0030815996430364214,,,2945/0.0021894201567907337,217/0.0026342404214784675,,,,1497/0.002527673668613266,,,,,,,,,,,,,,,,
,314/0.0030815996430364214,,,2904/0.002118793700120065,2133/0.002610720417715267,,,,2397/0.002527673668613266,,,,,,,,,,,,,,,,
,2260/0.0030815996430364214,,,2310/0.002048167243449396,671/0.002610720417715267,,,,300/0.002527673668613266,,,,,,,,,,,,,,,,
,1178/0.0030815996430364214,,,1023/0.002048167243449396,2565/0.002610720417715267,,,,1921/0.002527673668613266,,,,,,,,,,,,,,,,
,911/0.003067655753248926,,,2044/0.002048167243449396,355/0.002587200413952066,,,,309/0.002527673668613266,,,,,,,,,,,,,,,,
,2095/0.003067655753248926,,,2707/0.002048167243449396,1146/0.0025636804101888656,,,,470/0.002484093088119934,,,,,,,,,,,,,,,,
,794/0.003053711863461431,,,2956/0.002048167243449396,52/0.002540160406425665,,,,692/0.002484093088119934,,,,,,,,,,,,,,,,
,183/0.0030397679736739363,,,2344/0.0019775407867787275,2410/0.002493120398899264,,,,2553/0.0024405125076266015,,,,,,,,,,,,,,,,
,140/0.0030397679736739363,,,1233/0.0019069143301080585,1410/0.0024696003951360634,,,,65/0.0023969319271332696,,,,,,,,,,,,,,,,
,1429/0.003025824083886441,,,1841/0.0018362878734373897,2738/0.0024696003951360634,,,,850/0.0023969319271332696,,,,,,,,,,,,,,,,
,1270/0.003025824083886441,,,1933/0.0018362878734373897,385/0.0024696003951360634,,,,1446/0.0023969319271332696,,,,,,,,,,,,,,,,
,380/0.003025824083886441,,,1223/0.0018362878734373897,584/0.0024696003951360634,,,,2236/0.0023533513466399373,,,,,,,,,,,,,,,,
,199/0.003025824083886441,,,747/0.0018362878734373897,1315/0.0024696003951360634,,,,1418/0.0023533513466399373,,,,,,,,,,,,,,,,
,116/0.0029839924145239555,,,1870/0.0017656614167667207,1630/0.0024460803913728627,,,,2873/0.002309770766146605,,,,,,,,,,,,,,,,
,740/0.0029700485247364603,,,2391/0.0017656614167667207,340/0.0024460803913728627,,,,1337/0.002309770766146605,,,,,,,,,,,,,,,,
,2108/0.0029700485247364603,,,1065/0.001695034960096052,968/0.002422560387609662,,,,139/0.002309770766146605,,,,,,,,,,,,,,,,
,949/0.0029561046349489656,,,1826/0.001695034960096052,884/0.002422560387609662,,,,1986/0.002309770766146605,,,,,,,,,,,,,,,,
,432/0.002928216855373975,,,1200/0.001695034960096052,942/0.002422560387609662,,,,2092/0.002309770766146605,,,,,,,,,,,,,,,,
,2232/0.002928216855373975,,,1778/0.001695034960096052,485/0.002422560387609662,,,,2978/0.002309770766146605,,,,,,,,,,,,,,,,
,549/0.00291427296558648,,,1807/0.001695034960096052,341/0.002422560387609662,,,,448/0.002266190185653273,,,,,,,,,,,,,,,,
,659/0.00291427296558648,,,1684/0.0016244085034253831,2493/0.002422560387609662,,,,2571/0.002266190185653273,,,,,,,,,,,,,,,,
,3/0.002900329075798985,,,2778/0.0016244085034253831,1400/0.0023990403838464614,,,,1299/0.002266190185653273,,,,,,,,,,,,,,,,
,736/0.0028724412962239944,,,1288/0.0016244085034253831,2836/0.0023990403838464614,,,,525/0.002266190185653273,,,,,,,,,,,,,,,,
,2694/0.0028445535166490045,,,1690/0.0016244085034253831,1035/0.0023755203800832608,,,,1998/0.002266190185653273,,,,,,,,,,,,,,,,
,1585/0.0028445535166490045,,,2023/0.0015537820467547143,688/0.0023755203800832608,,,,2129/0.002266190185653273,,,,,,,,,,,,,,,,
,1617/0.0028445535166490045,,,1665/0.0015537820467547143,397/0.0023755203800832608,,,,2644/0.002266190185653273,,,,,,,,,,,,,,,,
,203/0.0028306096268615093,,,2269/0.0015537820467547143,1896/0.00235200037632006,,,,1982/0.002266190185653273,,,,,,,,,,,,,,,,
,1345/0.0028306096268615093,,,2184/0.0014125291334133767,2860/0.0023284803725568595,,,,2189/0.002266190185653273,,,,,,,,,,,,,,,,
,101/0.0028306096268615093,,,2661/0.0014125291334133767,2857/0.002304960368793659,,,,2500/0.0022226096051599408,,,,,,,,,,,,,,,,
,775/0.002816665737074014,,,2134/0.0014125291334133767,1182/0.002304960368793659,,,,2479/0.0021790290246666085,,,,,,,,,,,,,,,,
,845/0.002816665737074014,,,1565/0.0014125291334133767,1237/0.002304960368793659,,,,2582/0.0021790290246666085,,,,,,,,,,,,,,,,
,2997/0.002774834067711529,,,2882/0.001271276220072039,2788/0.0022814403650304586,,,,2868/0.0021790290246666085,,,,,,,,,,,,,,,,
,1887/0.002774834067711529,,,765/0.001271276220072039,1937/0.0022814403650304586,,,,2140/0.0021354484441732766,,,,,,,,,,,,,,,,
,170/0.002774834067711529,,,2668/0.001271276220072039,2043/0.0022814403650304586,,,,2055/0.0021354484441732766,,,,,,,,,,,,,,,,
,774/0.0027330023983490434,,,2209/0.0012006497634013701,2367/0.0022814403650304586,,,,2371/0.0020918678636799443,,,,,,,,,,,,,,,,
,849/0.0027330023983490434,,,2936/0.0012006497634013701,2179/0.002257920361267258,,,,1755/0.00200470670269328,,,,,,,,,,,,,,,,
,2767/0.0026911707289865583,,,2218/0.0012006497634013701,826/0.002257920361267258,,,,2230/0.00200470670269328,,,,,,,,,,,,,,,,
,650/0.0026911707289865583,,,2983/0.0010593968500600326,735/0.002257920361267258,,,,2000/0.00200470670269328,,,,,,,,,,,,,,,,
,1469/0.002677226839199063,,,1742/0.0009887703933893638,710/0.002257920361267258,,,,2774/0.00200470670269328,,,,,,,,,,,,,,,,
,1591/0.002677226839199063,,,669/0.0009887703933893638,954/0.002257920361267258,,,,453/0.00200470670269328,,,,,,,,,,,,,,,,
,1042/0.002677226839199063,,,751/0.0009181439367186949,1338/0.002257920361267258,,,,2671/0.00200470670269328,,,,,,,,,,,,,,,,
,1302/0.002663282949411568,,,2145/0.0009181439367186949,1906/0.0022108803537408566,,,,1211/0.00200470670269328,,,,,,,,,,,,,,,,
,2724/0.002663282949411568,,,958/0.0009181439367186949,1020/0.0022108803537408566,,,,2951/0.0019611261221999477,,,,,,,,,,,,,,,,
,171/0.002663282949411568,,,928/0.0009181439367186949,1450/0.0022108803537408566,,,,2619/0.0019611261221999477,,,,,,,,,,,,,,,,
,1972/0.002663282949411568,,,2064/0.0009181439367186949,500/0.002187360349977656,,,,2751/0.0019611261221999477,,,,,,,,,,,,,,,,
,764/0.0026493390596240727,,,1312/0.000847517480048026,718/0.002187360349977656,,,,2270/0.0019611261221999477,,,,,,,,,,,,,,,,
,1027/0.0026493390596240727,,,1965/0.0007062645667066884,1797/0.0021638403462144553,,,,1354/0.0019175455417066154,,,,,,,,,,,,,,,,
,3000/0.0026353951698365775,,,2861/0.0007062645667066884,131/0.0021638403462144553,,,,2916/0.0019175455417066154,,,,,,,,,,,,,,,,
,811/0.0026353951698365775,,,2666/0.0007062645667066884,1765/0.0021638403462144553,,,,1350/0.0019175455417066154,,,,,,,,,,,,,,,,
,2177/0.0025935635004740924,,,2199/0.0007062645667066884,1964/0.0021638403462144553,,,,1120/0.0018739649612132833,,,,,,,,,,,,,,,,
,1671/0.0025377879413241117,,,2776/0.0006356381100360195,2867/0.0021403203424512547,,,,1086/0.0018739649612132833,,,,,,,,,,,,,,,,
,2859/0.0025238440515366165,,,955/0.0005650116533653507,1980/0.0021403203424512547,,,,917/0.0018739649612132833,,,,,,,,,,,,,,,,
,1601/0.0025238440515366165,,,479/0.0005650116533653507,2028/0.0021403203424512547,,,,1975/0.0018739649612132833,,,,,,,,,,,,,,,,
,2473/0.0025099001617491217,,,2864/0.0005650116533653507,2887/0.002116800338688054,,,,1155/0.0018739649612132833,,,,,,,,,,,,,,,,
,2793/0.002454124602599141,,,2240/0.0005650116533653507,1076/0.002093280334924854,,,,853/0.0018739649612132833,,,,,,,,,,,,,,,,
,2181/0.002454124602599141,,,2354/0.0005650116533653507,345/0.002093280334924854,,,,1794/0.0018739649612132833,,,,,,,,,,,,,,,,
,1339/0.002454124602599141,,,191/0.0003531322833533442,2286/0.002093280334924854,,,,1479/0.0018739649612132833,,,,,,,,,,,,,,,,
,2306/0.0024401807128116458,,,684/0.0003531322833533442,1940/0.002093280334924854,,,,1472/0.0018303843807199512,,,,,,,,,,,,,,,,
,601/0.0024401807128116458,,,1504/0.0003531322833533442,419/0.002093280334924854,,,,1290/0.001786803800226619,,,,,,,,,,,,,,,,
,1386/0.0024401807128116458,,,2538/0.0003531322833533442,2574/0.002069760331161653,,,,1706/0.001786803800226619,,,,,,,,,,,,,,,,
,108/0.002412292933236656,,,278/0.00028250582668267534,1804/0.002069760331161653,,,,1864/0.0017432232197332868,,,,,,,,,,,,,,,,
,376/0.002412292933236656,,,619/0.00028250582668267534,513/0.0020462403273984525,,,,2507/0.0017432232197332868,,,,,,,,,,,,,,,,
,1082/0.002412292933236656,,,2806/0.00028250582668267534,606/0.0020462403273984525,,,,1722/0.0017432232197332868,,,,,,,,,,,,,,,,
,152/0.0023983490434491606,,,1754/0.00028250582668267534,2541/0.0020462403273984525,,,,2398/0.0017432232197332868,,,,,,,,,,,,,,,,
,330/0.0023844051536616655,,,1819/0.00028250582668267534,162/0.0020462403273984525,,,,2254/0.0016996426392399547,,,,,,,,,,,,,,,,
,132/0.00234257348429918,,,1371/0.00028250582668267534,2895/0.002022720323635252,,,,1226/0.0016996426392399547,,,,,,,,,,,,,,,,
,2264/0.00234257348429918,,,1677/0.00028250582668267534,2717/0.001999200319872051,,,,1452/0.0016996426392399547,,,,,,,,,,,,,,,,
,1745/0.00231468570472419,,,2729/0.00028250582668267534,1275/0.0019756803161088505,,,,1631/0.0016996426392399547,,,,,,,,,,,,,,,,
,189/0.00231468570472419,,,980/0.0002118793700120065,222/0.0019756803161088505,,,,2052/0.0016996426392399547,,,,,,,,,,,,,,,,
,1573/0.0022867979251491996,,,1956/0.0002118793700120065,2698/0.0019521603123456499,,,,1832/0.0016996426392399547,,,,,,,,,,,,,,,,
,963/0.0022728540353617044,,,2744/0.0002118793700120065,1833/0.0019521603123456499,,,,1821/0.0016124814782532903,,,,,,,,,,,,,,,,
,2268/0.0022728540353617044,,,2852/0.0002118793700120065,1043/0.0019521603123456499,,,,1770/0.0016124814782532903,,,,,,,,,,,,,,,,
,896/0.002258910145574209,,,545/0.0002118793700120065,2757/0.0019521603123456499,,,,1775/0.001525320317266626,,,,,,,,,,,,,,,,
,2683/0.002258910145574209,,,2048/0.0002118793700120065,1220/0.0019521603123456499,,,,2842/0.0014817397367732938,,,,,,,,,,,,,,,,
,2543/0.0022310223659992193,,,2324/0.00014125291334133767,1147/0.0019521603123456499,,,,1923/0.0014817397367732938,,,,,,,,,,,,,,,,
,1800/0.0022310223659992193,,,2577/0.00014125291334133767,2634/0.0019521603123456499,,,,2396/0.0014817397367732938,,,,,,,,,,,,,,,,
,2539/0.0021891906966367337,,,575/0.00014125291334133767,666/0.0019521603123456499,,,,2400/0.0014817397367732938,,,,,,,,,,,,,,,,
,1098/0.0021891906966367337,,,1131/0.00014125291334133767,2819/0.0019521603123456499,,,,836/0.0013945785757866296,,,,,,,,,,,,,,,,
,1175/0.0021473590272742486,,,1109/0.00014125291334133767,1482/0.0019521603123456499,,,,2939/0.0013945785757866296,,,,,,,,,,,,,,,,
,1420/0.0021334151374867534,,,1135/0.00014125291334133767,2620/0.0019286403085824494,,,,1548/0.0013945785757866296,,,,,,,,,,,,,,,,
,1534/0.0021334151374867534,,,2854/7.062645667066883e-05,2745/0.0019051203048192488,,,,1658/0.0013509979952932973,,,,,,,,,,,,,,,,
,2358/0.0020358079089742875,,,1056/7.062645667066883e-05,2416/0.0019051203048192488,,,,1783/0.0013074174147999652,,,,,,,,,,,,,,,,
,1784/0.0020218640191867923,,,273/7.062645667066883e-05,572/0.0019051203048192488,,,,1184/0.0013074174147999652,,,,,,,,,,,,,,,,
,2027/0.0020218640191867923,,,2759/7.062645667066883e-05,1389/0.0019051203048192488,,,,2454/0.0013074174147999652,,,,,,,,,,,,,,,,
,2506/0.002007920129399297,,,1483/7.062645667066883e-05,640/0.0018816003010560481,,,,2085/0.0012202562538133007,,,,,,,,,,,,,,,,
,2809/0.0019382006804618216,,,2849/7.062645667066883e-05,1480/0.001834560293529647,,,,2386/0.0012202562538133007,,,,,,,,,,,,,,,,
,3022/0.0019242567906743264,,,2766/7.062645667066883e-05,933/0.001834560293529647,,,,2841/0.0012202562538133007,,,,,,,,,,,,,,,,
,2878/0.0019242567906743264,,,2149/7.062645667066883e-05,1456/0.0018110402897664464,,,,2099/0.0012202562538133007,,,,,,,,,,,,,,,,
,1158/0.0019242567906743264,,,1588/7.062645667066883e-05,707/0.0018110402897664464,,,,408/0.0012202562538133007,,,,,,,,,,,,,,,,
,2530/0.0018963690110993363,,,436/7.062645667066883e-05,683/0.0018110402897664464,,,,24/0.0011330950928266365,,,,,,,,,,,,,,,,
,1681/0.001882425121311841,,,245/7.062645667066883e-05,2438/0.0017875202860032457,,,,2182/0.0011330950928266365,,,,,,,,,,,,,,,,
,431/0.0018266495621618607,,,2244/7.062645667066883e-05,1955/0.0017875202860032457,,,,1740/0.0011330950928266365,,,,,,,,,,,,,,,,
,1692/0.0017708740030118802,,,2452/7.062645667066883e-05,2238/0.0017875202860032457,,,,1847/0.0010459339318399721,,,,,,,,,,,,,,,,
,1174/0.001631435105136929,,,555/7.062645667066883e-05,1537/0.0017875202860032457,,,,2309/0.00100235335134664,,,,,,,,,,,,,,,,
,2961/0.0016035473255619388,,,,1659/0.0017875202860032457,,,,2818/0.0009151921903599756,,,,,,,,,,,,,,,,
,2279/0.0015896034357744436,,,,2674/0.0017875202860032457,,,,2187/0.0008716116098666434,,,,,,,,,,,,,,,,
,2823/0.0013943889787495119,,,,2570/0.0017875202860032457,,,,1733/0.0008716116098666434,,,,,,,,,,,,,,,,
,2113/0.0012967817502370462,,,,2988/0.0017875202860032457,,,,2233/0.0008716116098666434,,,,,,,,,,,,,,,,
,304/0.001157342852362095,,,,2408/0.0017875202860032457,,,,1743/0.0008716116098666434,,,,,,,,,,,,,,,,
,2718/0.0010876234034246193,,,,1015/0.001764000282240045,,,,1916/0.0008280310293733113,,,,,,,,,,,,,,,,
,158/0.0008924089463996877,,,,1162/0.0017404802784768446,,,,1969/0.0008280310293733113,,,,,,,,,,,,,,,,
,1300/0.0007390261587372414,,,,2837/0.0017404802784768446,,,,2595/0.0008280310293733113,,,,,,,,,,,,,,,,
,2105/0.0003346533548998829,,,,1609/0.001716960274713644,,,,1584/0.0008280310293733113,,,,,,,,,,,,,,,,
,1656/0.00012549500808745607,,,,2984/0.001716960274713644,,,,2031/0.0008280310293733113,,,,,,,,,,,,,,,,
,,,,,204/0.001716960274713644,,,,2636/0.0008280310293733113,,,,,,,,,,,,,,,,
,,,,,1873/0.0016934402709504433,,,,1670/0.0008280310293733113,,,,,,,,,,,,,,,,
,,,,,1674/0.0016934402709504433,,,,1638/0.0006972892878933148,,,,,,,,,,,,,,,,
,,,,,2014/0.0016934402709504433,,,,1928/0.0006537087073999826,,,,,,,,,,,,,,,,
,,,,,403/0.0016699202671872427,,,,402/0.0006537087073999826,,,,,,,,,,,,,,,,
,,,,,2712/0.0016699202671872427,,,,2017/0.0006101281269066504,,,,,,,,,,,,,,,,
,,,,,1777/0.0016464002634240422,,,,1466/0.0006101281269066504,,,,,,,,,,,,,,,,
,,,,,2763/0.0016464002634240422,,,,1990/0.0006101281269066504,,,,,,,,,,,,,,,,
,,,,,2414/0.0016464002634240422,,,,1057/0.0005665475464133183,,,,,,,,,,,,,,,,
,,,,,118/0.0016464002634240422,,,,2645/0.0005665475464133183,,,,,,,,,,,,,,,,
,,,,,311/0.0016464002634240422,,,,238/0.00047938638542665386,,,,,,,,,,,,,,,,
,,,,,1050/0.0016228802596608416,,,,2058/0.00047938638542665386,,,,,,,,,,,,,,,,
,,,,,2835/0.0015758402521344403,,,,2794/0.00047938638542665386,,,,,,,,,,,,,,,,
,,,,,1680/0.0015758402521344403,,,,1104/0.00047938638542665386,,,,,,,,,,,,,,,,
,,,,,1379/0.0015758402521344403,,,,1786/0.00039222522443998955,,,,,,,,,,,,,,,,
