Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
40/0.007695722953973657,512/0.004489932511573429,2597/0.009068654723489484,1304/0.006881800427787594,2206/0.006003248817006851,1475/0.003974880635980902,2909/0.008137535816618911,298/0.007633016538202499,2631/0.006206799266469177,2010/0.005055347337226532,2018/0.007989347536617843,1171/0.008288827173680837,593/0.009084604715672677,2820/0.004405286343612335,2212/0.007941638193739034,,2667/0.007370517928286853,,,1892/0.006744271988174427,1814/0.006439495572846793,,,,,
1470/0.007695722953973657,264/0.004489932511573429,2810/0.00901301880494047,353/0.006881800427787594,2710/0.005932622360336182,202/0.003974880635980902,188/0.007793696275071633,626/0.007558183042729926,2798/0.004372972210466921,1053/0.005055347337226532,1862/0.007911020599984334,1105/0.008246101260414442,122/0.008668515950069348,1253/0.0041605482134116495,1850/0.007941638193739034,,2153/0.006374501992031873,,,2101/0.00655949741315595,2234/0.0063053394150791526,,,,,
2832/0.007399733609590055,1258/0.004489932511573429,2856/0.00901301880494047,2853/0.006788803124709384,1845/0.005932622360336182,1390/0.003951360632217701,2413/0.007679083094555874,134/0.007558183042729926,7/0.004231908590774439,2838/0.004837444434759871,1914/0.007597712853450301,654/0.00816064943388165,900/0.008668515950069348,705/0.003915810083210965,2708/0.007941638193739034,,1860/0.0061752988047808766,,,1734/0.005450849963045085,388/0.00523209015293802,,,,,
193/0.007103744265206453,598/0.004475988621785934,120/0.008957382886391455,2635/0.006788803124709384,1421/0.005861995903665513,738/0.0039278406284545,1491/0.007679083094555874,1430/0.0074833495472573525,2235/0.004090844971081958,130/0.004837444434759871,3016/0.007441058980183285,272/0.008032471694082461,673/0.008599167822468794,1440/0.003915810083210965,198/0.007664604303259766,,2505/0.00597609561752988,,,1507/0.0041574279379157425,1583/0.0049637778374027365,,,,,
1708/0.006955749593014651,695/0.004448100842210943,56/0.008957382886391455,687/0.006788803124709384,568/0.005720742990324175,2103/0.0039278406284545,2343/0.007564469914040114,447/0.0074833495472573525,2486/0.004090844971081958,1008/0.004837444434759871,531/0.007441058980183285,2453/0.008032471694082461,971/0.008599167822468794,2528/0.003915810083210965,1673/0.007664604303259766,,1669/0.00597609561752988,,,2266/0.0040650406504065045,8/0.004158840890796887,,,,,
706/0.006955749593014651,1080/0.004434156952423448,779/0.008734839212195393,165/0.006742304473170278,266/0.005720742990324175,1263/0.0038808006209280995,2242/0.007564469914040114,2329/0.007445932799521065,1599/0.0033855268726195515,2517/0.004837444434759871,2782/0.00720607817028276,837/0.007947019867549669,1592/0.008599167822468794,1517/0.003915810083210965,825/0.007387570412780497,,1366/0.005378486055776893,,,2921/0.0033259423503325942,3001/0.003756372417493963,,,,,
708/0.006955749593014651,1877/0.004434156952423448,2928/0.008623567375097363,731/0.006695805821631173,157/0.005720742990324175,426/0.003857280617164899,730/0.007335243553008596,1326/0.007445932799521065,2370/0.0011285089575398504,733/0.004793863854266539,439/0.007049424297015744,1281/0.007947019867549669,2693/0.00839112343966713,1977/0.003915810083210965,1188/0.007387570412780497,,1551/0.005378486055776893,,,14/0.0029563932002956393,2585/0.0030855916286557554,,,,,
2106/0.00665976024863105,556/0.004434156952423448,713/0.008401023700901301,2401/0.006695805821631173,1922/0.005720742990324175,28/0.0038337606134016982,1287/0.006876790830945559,1075/0.007445932799521065,,146/0.004793863854266539,1180/0.007049424297015744,356/0.007947019867549669,2422/0.008183079056865465,2375/0.003915810083210965,5/0.007018191892141472,,2602/0.005378486055776893,,,,399/0.0029514354708881137,,,,,
2568/0.006215776232055646,36/0.004420213062635953,899/0.008234115945254257,392/0.006649307170092067,1894/0.005720742990324175,1266/0.0038337606134016982,2775/0.006532951289398281,814/0.007109182069894485,,902/0.0047502832737732065,1457/0.006892770423748727,1449/0.007947019867549669,17/0.00811373092926491,395/0.003915810083210965,1895/0.006925847261981716,,1059/0.0049800796812749,,,,1803/0.0029514354708881137,,,,,
1209/0.005623797543288442,160/0.004350493613698477,547/0.008234115945254257,1623/0.006649307170092067,591/0.005650116533653507,1935/0.0038102406096384976,1152/0.006532951289398281,2905/0.007071765322158198,,1090/0.004706702693279875,1096/0.006892770423748727,18/0.007904293954283274,2480/0.0079750346740638,3006/0.0034263338228095936,2111/0.006741158001662203,,2448/0.0049800796812749,,,,3025/0.002817279313120472,,,,,
301/0.005179813526713039,1487/0.004350493613698477,2533/0.008067208189607211,1506/0.006509811215474752,321/0.005579490076982838,1130/0.0038102406096384976,2808/0.006532951289398281,868/0.007071765322158198,,918/0.004706702693279875,2079/0.006657789613848202,2339/0.007647938474684896,2610/0.007905686546463245,2772/0.002936857562408223,727/0.006741158001662203,,2377/0.004780876494023904,,,,,,,,,
2656/0.005031818854521237,2123/0.004336549723910982,941/0.008011572271058195,121/0.006416813912396541,2395/0.005579490076982838,268/0.0038102406096384976,1380/0.006418338108882522,1406/0.007071765322158198,,389/0.004706702693279875,294/0.006657789613848202,627/0.0076052125614185,1634/0.007905686546463245,1806/0.002936857562408223,375/0.006648813371502447,,1448/0.004581673306772908,,,,,,,,,
