Topic 1,Topic 2
2/0.19305019305019305,11/0.25
7/0.19305019305019305,8/0.25
3/0.19305019305019305,9/0.25
4/0.19305019305019305,36/0.25
0/0.19305019305019305,
32/0.02471042471042471,
24/0.010038610038610039,
