Topic 1,Topic 2,Topic 3,Topic 4
590/0.003126591839243997,2063/0.0013993331106166521,194/0.006196581196581196,2517/0.005448300367168068
1898/0.0031090267165516153,2350/0.0013993331106166521,396/0.006196581196581196,1996/0.005448300367168068
2190/0.0030914615938592333,1596/0.0013993331106166521,2299/0.006196581196581196,2205/0.005211417742508587
1048/0.003073896471166851,1764/0.0013930298083165771,948/0.0061752136752136755,1593/0.005211417742508587
342/0.003073896471166851,851/0.0013930298083165771,2329/0.006111111111111111,1413/0.0050929764301788465
2545/0.003056331348474469,325/0.001380423203716427,97/0.006111111111111111,569/0.0050929764301788465
1637/0.003038766225782087,2798/0.001374119901416352,125/0.006025641025641026,1523/0.0050929764301788465
477/0.003038766225782087,147/0.001374119901416352,1440/0.006004273504273504,1611/0.0050929764301788465
2782/0.003038766225782087,1430/0.001361513296816202,2349/0.005982905982905983,1621/0.0050929764301788465
70/0.003038766225782087,446/0.001361513296816202,1003/0.005982905982905983,1435/0.0050929764301788465
1848/0.003021201103089705,984/0.001355209994516127,1780/0.005961538461538462,1936/0.004974535117849106
134/0.003021201103089705,944/0.001348906692216052,328/0.005961538461538462,1151/0.004974535117849106
326/0.003003635980397323,1371/0.001348906692216052,2431/0.00594017094017094,2677/0.004974535117849106
1358/0.0029685057350125593,1880/0.001342603389915977,112/0.00594017094017094,2148/0.004974535117849106
2522/0.0029685057350125593,1610/0.001342603389915977,1399/0.005918803418803418,1803/0.004856093805519365
1651/0.0029685057350125593,2612/0.001336300087615902,1897/0.005918803418803418,838/0.004856093805519365
1097/0.0029685057350125593,13/0.001336300087615902,1212/0.005811965811965812,478/0.004737652493189625
1021/0.002950940612320177,1168/0.001336300087615902,621/0.005726495726495726,1424/0.004737652493189625
80/0.002950940612320177,2652/0.0013299967853158269,579/0.005683760683760684,1966/0.004619211180859884
952/0.002880680121550649,695/0.0013299967853158269,721/0.0055769230769230765,2584/0.004619211180859884
184/0.002863114998858267,1287/0.001317390180715677,300/0.0055769230769230765,1916/0.004500769868530144
1114/0.002863114998858267,166/0.001317390180715677,1668/0.005555555555555556,2626/0.004500769868530144
