i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
16,chronotrigger,0.046906187624750496,0.09780439121756487,0.10079840319361277,0.06487025948103792,0.04291417165668663,0.17764471057884232,0.06986027944111776,0.04790419161676647,0.04491017964071856,0.04491017964071856,0.06387225548902195,0.008982035928143712,0.08083832335329341,0.013972055888223553,0.016966067864271458,0.010978043912175649,0.02594810379241517,0.022954091816367265,0.016966067864271458
17,metalgear,0.03751233958538993,0.07502467917077986,0.04639684106614018,0.10760118460019744,0.04244817374136229,0.1855873642645607,0.08983218163869694,0.04146100691016782,0.01678183613030602,0.03652517275419546,0.12240868706811452,0.004935834155972359,0.06811451135241856,0.035538005923000986,0.004935834155972359,0.011846001974333662,0.02171767028627838,0.04738400789733465,0.003948667324777887
18,persona4,0.05357142857142857,0.18421052631578946,0.07236842105263158,0.08834586466165413,0.022556390977443608,0.15225563909774437,0.07800751879699248,0.041353383458646614,0.03665413533834586,0.019736842105263157,0.09304511278195489,0.0018796992481203006,0.06390977443609022,0.03195488721804511,0.002819548872180451,0.004699248120300752,0.02819548872180451,0.013157894736842105,0.011278195488721804
19,finalfantasyxiv,0.04527162977867203,0.07545271629778671,0.11770623742454728,0.09356136820925554,0.05030181086519115,0.15191146881287726,0.0613682092555332,0.05734406438631791,0.0613682092555332,0.04929577464788732,0.06941649899396378,0.006036217303822937,0.05533199195171026,0.013078470824949699,0.01609657947686117,0.008048289738430584,0.02716297786720322,0.02716297786720322,0.014084507042253521
20,thelegendofzeldabreathofthewild,0.04892367906066536,0.12524461839530332,0.10567514677103718,0.08023483365949119,0.05283757338551859,0.15264187866927592,0.050880626223091974,0.049902152641878667,0.03816046966731898,0.04598825831702544,0.07240704500978473,0.005870841487279843,0.060665362035225046,0.003913894324853229,0.029354207436399216,0.011741682974559686,0.029354207436399216,0.021526418786692758,0.014677103718199608
21,cityofheroes,0.030211480362537766,0.0553877139979859,0.09768378650553877,0.09264853977844914,0.0553877139979859,0.1701913393756294,0.06545820745216516,0.06243705941591138,0.0473313192346425,0.05236656596173213,0.08056394763343404,0.00906344410876133,0.0473313192346425,0.02920443101711984,0.014098690835850957,0.012084592145015106,0.025176233635448138,0.04028197381671702,0.013091641490433032
22,thelegendofzeldatwilightprincess,0.054600606673407485,0.10212335692618807,0.09605662285136501,0.06471183013144591,0.033367037411526794,0.1718907987866532,0.06370070778564206,0.046511627906976744,0.04853387259858443,0.046511627906976744,0.0839231547017189,0.0020222446916076846,0.07077856420626896,0.00910010111223458,0.021233569261880688,0.012133468149646108,0.043478260869565216,0.01314459049544995,0.016177957532861477
23,leagueoflegends,0.05019305019305019,0.10231660231660232,0.0945945945945946,0.08783783783783784,0.0444015444015444,0.14671814671814673,0.06467181467181467,0.059845559845559844,0.05308880308880309,0.03571428571428571,0.0859073359073359,0.005791505791505791,0.055984555984555984,0.011583011583011582,0.01447876447876448,0.012548262548262547,0.027992277992277992,0.032818532818532815,0.013513513513513514
24,finalfantasyviii,0.055944055944055944,0.12387612387612387,0.0939060939060939,0.07692307692307693,0.03496503496503497,0.16983016983016982,0.07892107892107893,0.05094905094905095,0.04095904095904096,0.03496503496503497,0.07892107892107893,0.00999000999000999,0.06793206793206794,0.008991008991008992,0.007992007992007992,0.007992007992007992,0.016983016983016984,0.024975024975024976,0.014985014985014986
25,sonicthehedgehog,0.06917599186164802,0.09053916581892167,0.06205493387589013,0.059003051881993895,0.027466937945066123,0.15564598168870802,0.06917599186164802,0.03763987792472025,0.017293997965412006,0.06002034587995931,0.10478128179043744,0.006103763987792472,0.08341810783316378,0.00508646998982706,0.0254323499491353,0.026449643947100712,0.06205493387589013,0.023397761953204477,0.015259409969481181
26,finalfantasyx,0.059837728194726165,0.1206896551724138,0.08417849898580122,0.09026369168356999,0.04766734279918864,0.1511156186612576,0.07707910750507099,0.055780933062880324,0.04665314401622718,0.04259634888438134,0.06896551724137931,0.005070993914807302,0.061866125760649086,0.010141987829614604,0.015212981744421906,0.004056795131845842,0.02231237322515213,0.02028397565922921,0.016227180527383367
27,overwatch,0.05154639175257732,0.08762886597938144,0.058762886597938144,0.09587628865979382,0.04020618556701031,0.16494845360824742,0.07731958762886598,0.05463917525773196,0.030927835051546393,0.03814432989690722,0.10309278350515463,0.008247422680412371,0.05154639175257732,0.03402061855670103,0.002061855670103093,0.015463917525773196,0.027835051546391754,0.049484536082474224,0.008247422680412371
28,metalgearsolid,0.04058272632674298,0.09053069719042664,0.04058272632674298,0.11550468262226847,0.030176899063475548,0.18314255983350677,0.08844953173777315,0.03537981269510926,0.01664932362122789,0.03329864724245578,0.11446409989594172,0.005202913631633715,0.07075962539021852,0.03850156087408949,0.002081165452653486,0.012486992715920915,0.027055150884495317,0.04890738813735692,0.006243496357960458
29,supersmashbros,0.07976878612716763,0.06358381502890173,0.055491329479768786,0.03699421965317919,0.03121387283236994,0.1653179190751445,0.058959537572254334,0.06127167630057803,0.03005780346820809,0.055491329479768786,0.130635838150289,0.0023121387283236996,0.08670520231213873,0.012716763005780347,0.009248554913294798,0.020809248554913295,0.056647398843930635,0.03121387283236994,0.011560693641618497
30,undertale,0.04407135362014691,0.11122770199370409,0.10073452256033578,0.0912906610703043,0.03462749213011543,0.16474291710388247,0.07555089192025184,0.03462749213011543,0.02938090241343127,0.040923399790136414,0.08604407135362015,0.002098635886673662,0.07030430220356768,0.02728226652675761,0.013641133263378805,0.008394543546694649,0.03672612801678909,0.01993704092339979,0.008394543546694649
31,touhou,0.059006211180124224,0.09109730848861283,0.08592132505175984,0.08695652173913043,0.037267080745341616,0.16459627329192547,0.07349896480331262,0.047619047619047616,0.047619047619047616,0.041407867494824016,0.07453416149068323,0.010351966873706004,0.06418219461697723,0.017598343685300208,0.014492753623188406,0.008281573498964804,0.040372670807453416,0.022774327122153208,0.012422360248447204
32,talesofsymphonia,0.04843918191603875,0.14854682454251883,0.08719052744886975,0.08719052744886975,0.03229278794402583,0.17115177610333693,0.08503767491926803,0.05382131324004306,0.04520990312163617,0.030139935414424113,0.06566200215285253,0.004305705059203444,0.06566200215285253,0.015069967707212056,0.00968783638320775,0.001076426264800861,0.01829924650161464,0.00968783638320775,0.021528525296017224
