Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95
239/0.06236814345991561,318/0.3190896423594984,264/0.09791767554479419,597/0.029874213836477988,263/0.09633089174114642,1117/0.05437246813096964,1558/0.1226823238566131,1621/0.4380856760374833,1880/0.16887294321415317,2536/0.1281198003327787,989/0.012372200342125154,1136/0.041041258791965775,1133/0.08954401432704229,1605/0.22028249484208856,1/0.06373797396717601,903/0.0756494433342849,995/0.22861183125147302,420/0.18366212836899137,897/0.11442231075697211,1548/0.10356283652193837,202/0.03499888301437188,1429/0.0748792270531401,514/0.07644764917960414,765/0.0462525320729237,1648/0.09633385335413416,1423/0.10542282897231703,1448/0.12618271447881052,1762/0.1370994113799869,937/0.07019927536231885,1111/0.07705779334500876,939/0.04990685361309932,224/0.05565578206747249,1888/0.1072832802845909,157/0.19197284934336728,271/0.05781909012734941,1743/0.04612919547984483,1126/0.15938518863530507,312/0.14337921793153854,1063/0.3215130023640662,1908/0.07494469026548672,198/0.07674185758878614,381/0.17375831657125174,267/0.1128721486730064,1895/0.07687687687687687,865/0.559614284546866,2435/0.17674814863359328,259/0.14355429036193573,586/0.18398789462824128,85/0.0677463503649635,2311/0.21566150931480896,1978/0.11480075901328274,2014/0.09985270175982634,794/0.14312451833094791,247/0.11552408910378173,525/0.363059849385652,1087/0.11701955713593018,201/0.1313751278678942,2587/0.12859837611744443,621/0.08022563459730492,98/0.17432633493139363,343/0.12612239259566238,2653/0.2560768795929904,789/0.08357609241587143,1697/0.08060040363269425,78/0.1633179723502304,985/0.18726207906295755,2021/0.518354175070593,754/0.09903159680497632,879/0.16703991568963247,2099/0.08918792051322172,764/0.6574446680080482,2633/0.15138504155124655,867/0.09649427282193683,749/0.11051883439943141,491/0.08934488911547285,74/0.09314653540325635,2535/0.18634947606910224,12/0.1048951048951049,190/0.07710946408209807,49/0.3637837837837838,558/0.06834831834831835,405/0.30675909878682844,362/0.3025210084033613,1831/0.1095270043609527,1345/0.33705475810738966,14/0.0795299938157081,850/0.136576482830385,1523/0.05949716993550085,832/0.11837901462922482,947/0.1702917771883289,2561/0.05705916813122437,470/0.16404442387783433,319/1.0,256/0.13232343499197433,710/0.1463478717813978
1497/0.05557753164556962,207/0.297414460442793,998/0.07583535108958837,1998/0.02943396226415094,2559/0.08581412539479874,698/0.0521425651317501,1366/0.09085290482076638,124/0.22690763052208834,1030/0.16144995669924533,243/0.09387132556849695,677/0.012372200342125154,122/0.029802044811833805,904/0.07232401157184185,179/0.15870496746548168,1343/0.04633559705715903,902/0.053763440860215055,517/0.09226962055149658,545/0.1467074187274243,528/0.08175298804780877,1417/0.0670179860235995,459/0.028073572120038724,839/0.06702898550724638,62/0.059524685453609005,614/0.039596797530626025,5/0.08333333333333333,244/0.08342813803564657,1941/0.09843364872386101,2114/0.0697351209941138,1851/0.0649909420289855,1554/0.07610916520723876,2611/0.047455632905186784,716/0.052228035359913404,475/0.08687511701928478,2411/0.14667256898332595,31/0.053888047172515455,2325/0.042165626581210994,1170/0.13274336283185842,351/0.13899378730661469,89/0.24186215675577377,665/0.06784660766961652,278/0.07273691030096001,1172/0.14064675847129815,150/0.08030331282242525,1685/0.07327327327327328,500/0.317970090708507,111/0.12432007339930533,1341/0.13969093127287516,1264/0.16789325263085494,227/0.0521213503649635,1303/0.1161982949163246,768/0.10362639679527726,1728/0.09147995968679742,1071/0.14037212374766048,2667/0.10827145570713176,780/0.2699167657550535,707/0.08501697106836915,282/0.104340201665936,1660/0.11416386451242516,544/0.061945053797137786,853/0.13407174739626385,2514/0.051940875811576186,342/0.24929338609383833,580/0.08046207935710697,782/0.07341069626639758,1997/0.1559447004608295,315/0.15666178623718888,172/0.2127874142799516,1744/0.08567187389552555,363/0.15228560137004346,486/0.08848380535127523,2107/0.18108651911468812,1784/0.14168975069252077,748/0.08503991669559181,834/0.10270078180525942,527/0.08208004078511344,742/0.06853464596743658,963/0.13395638629283488,371/0.08923685010641533,1010/0.07326111744583809,1704/0.3264864864864865,658/0.061022311022311024,881/0.2588099364529174,690/0.2810924369747899,30/0.08235491445823549,1217/0.2557150451887294,1065/0.06283240568954855,455/0.11394380853277836,1986/0.05159931551928393,626/0.11804271061039179,673/0.16339522546419097,1305/0.050849443468072644,433/0.16265617769551133,,1193/0.11627207062600321,669/0.1442459274829217
1275/0.05386339662447257,2348/0.13717293698714972,1013/0.06527845036319613,895/0.0279874213836478,439/0.07543175861837242,576/0.04426357453450775,364/0.07200247218788627,1426/0.15026773761713522,1815/0.15625386613880984,855/0.08416528008874098,446/0.012372200342125154,385/0.02769922413168008,835/0.06736465077834412,2105/0.13013807332169497,1152/0.040888511601584604,866/0.046674279189266345,1073/0.07471128918218242,275/0.1180883578771881,715/0.06645418326693227,1563/0.06610150074464428,2391/0.025318340904013702,1283/0.057820048309178744,634/0.058641748215730996,194/0.03771582907302016,93/0.07891315652626105,52/0.0813424345847554,1404/0.09270891309533275,2388/0.06867233485938522,639/0.06046195652173913,2054/0.05976357267950963,1527/0.046573193450338266,734/0.050243550423958144,340/0.0674967234600262,791/0.1187841227681865,1562/0.05093976495638999,169/0.040394670264800134,1955/0.0704238472286912,2019/0.11304665610914849,2143/0.20367339516275687,1022/0.05530973451327434,1461/0.0635490900524177,1101/0.12440043323533963,292/0.07352849773136926,171/0.06406406406406406,2254/0.1127727384162785,617/0.08742381545317518,559/0.12250915006100041,94/0.16067129788843798,269/0.051779197080291973,481/0.09630565203662772,59/0.10014758591608687,1158/0.0862857585859369,2301/0.11240779478145987,1261/0.0915213261958211,1346/0.15893777249306382,1302/0.07095522870534993,349/0.09045740172438989,2358/0.09275813991634545,2265/0.051185626240467984,681/0.130186807736816,932/0.04959248514988258,2233/0.14725833804409272,1772/0.0754394776494224,499/0.0718970736629667,774/0.143963133640553,1165/0.1452415812591508,417/0.12101653892698669,812/0.08065314200890648,20/0.12145962323804506,38/0.07925207322797684,1257/0.11116700201207244,114/0.10706371191135734,373/0.07653592502603263,2089/0.0689410092395167,221/0.07328575070099413,283/0.06361226808027262,2312/0.12687623902577175,39/0.08908482821526299,692/0.06385404789053592,976/0.30972972972972973,2096/0.06035631035631036,1147/0.24494511842865396,1479/0.16512605042016806,800/0.07765850385776585,2341/0.21105794790005317,215/0.06196660482374768,2218/0.1095213319458897,1972/0.044227984730814796,543/0.09887338153690936,695/0.15172413793103448,706/0.04956063268892794,395/0.13882461823229986,,1478/0.09550561797752809,1734/0.08749343142406726
587/0.05313818565400844,701/0.10976931413531506,807/0.05588377723970944,2295/0.026540880503144654,80/0.07351656474699281,1797/0.041067380235626415,550/0.07200247218788627,1376/0.14089692101740295,1975/0.15006804404305332,213/0.07834165280088741,1431/0.011775470422086964,1678/0.02740917989993474,1937/0.06447169031547045,2570/0.11410887160768132,281/0.03968590831918506,1256/0.042820439623180134,857/0.07471128918218242,2670/0.10836343428730202,1326/0.06629482071713147,1096/0.06266468094856226,1078/0.02464814952714275,2635/0.04846014492753623,101/0.055772202192627476,1588/0.03298929294877978,423/0.07579303172126885,1587/0.07527493363670838,168/0.07338793034904985,938/0.06556572923479398,2164/0.057065217391304345,2118/0.05604203152364273,144/0.03980782429649966,70/0.03923867941547898,2093/0.05139486987455533,1747/0.09133835030249372,1176/0.046312599811637524,954/0.03778040141676505,396/0.06483465300419189,67/0.10415397734194178,2003/0.15539188943444263,2205/0.050700589970501475,1781/0.055303610342187406,2272/0.10892774253442673,1375/0.06221642115731245,125/0.057257257257257256,893/0.00964288632834845,930/0.0783799724752605,735/0.10370069133794226,337/0.156957149735195,900/0.05041058394160584,984/0.08651720871487212,1971/0.08317520556609741,1231/0.08147918443290178,1384/0.10062754596498955,694/0.0834052840614747,1252/0.09195402298850575,1233/0.06158073379667044,97/0.08753470699985387,1315/0.06364307389485771,2443/0.05034994254674606,498/0.12192097867416102,1765/0.04710595386103053,2087/0.07066139061616733,943/0.05725765946760422,245/0.05385973763874874,21/0.1351152073732719,2363/0.14421669106881405,2115/0.10669624848729327,46/0.07217077825687425,1006/0.10169938084573837,440/0.07408856204036927,1248/0.05030181086519115,1519/0.0961218836565097,372/0.06490801804928845,336/0.06467661691542288,887/0.06907978587815447,598/0.05755395683453238,107/0.10478617955253469,589/0.08452417148069322,2412/0.06185860889395667,,2460/0.057858807858807856,1999/0.18948584633160023,2290/0.09369747899159664,571/0.0729620932572962,1154/0.126528442317916,1881/0.058503401360544216,1534/0.06971904266389178,1123/0.042911675661445305,1075/0.08424415671767278,914/0.11405835543766578,1487/0.04885764499121265,1399/0.11962054604349838,,2605/0.09149277688603531,1135/0.0788229111928534
744/0.05221518987341772,2343/0.05867781390308097,225/0.04900726392251816,801/0.025283018867924528,1214/0.07297896646730731,408/0.03868881703645891,761/0.06118665018541409,2113/0.03982597054886212,1535/0.12990226401088706,1061/0.07529118136439268,1198/0.011735688427417752,788/0.02726415778406207,163/0.06212976994076319,1415/0.09077924139025552,815/0.03438030560271647,708/0.04263012655818822,1897/0.06858354937544191,1555/0.09058071686579605,1642/0.0599203187250996,412/0.060144346431435444,456/0.024275820984436668,166/0.04559178743961353,2163/0.05282907806636745,736/0.032458763383814024,295/0.07124284971398856,2315/0.05726204019719378,869/0.06901486841059076,1019/0.06303139306736429,2273/0.05344202898550725,1424/0.052831290134267364,818/0.035983919992156096,623/0.03752480606169944,1911/0.04474817449915746,1582/0.09015788697063598,1632/0.04401949142131772,290/0.036178107606679034,2225/0.06250582207731718,448/0.08977951029358022,2616/0.07755955628296053,964/0.0504240412979351,664/0.053418929265563346,129/0.06359275878075198,1976/0.05817639380943502,830/0.05625625625625626,,274/0.07811783209908907,1571/0.09007726718178122,637/0.10014443909484834,929/0.04447992700729927,1093/0.08335964635301547,1014/0.08159392789373814,2650/0.0729513915807427,1988/0.09550809204007486,2172/0.08185114833362114,397/0.07887435592548553,2069/0.05560045256182318,2149/0.06254566710507088,926/0.059542360370704504,1241/0.04491799853755354,386/0.10745577781451479,2027/0.04061334438458351,307/0.06472583380440927,711/0.05464590657960824,387/0.05209384460141271,578/0.13419354838709677,284/0.07598828696925329,870/0.041145623235175476,522/0.07153460097547183,553/0.07548412593861151,1053/0.07142857142857142,,1450/0.07977839335180055,655/0.06456091634849011,999/0.060056858564321254,2392/0.05786387968391537,2214/0.055471412343809166,1695/0.09968847352024922,1080/0.0732745515354211,205/0.05458950969213227,,2612/0.051781551781551784,,777/0.09159663865546218,1989/0.04662864810466286,1470/0.06964380648591174,242/0.04910327767470624,1474/0.06503642039542143,542/0.03633013031459787,1501/0.07751807634101228,1425/0.09973474801061008,287/0.04768599882835384,1557/0.11013419713095789,,2065/0.07885232744783306,2292/0.07803468208092486
468/0.04595200421940928,864/0.04164731382566961,88/0.04687651331719128,463/0.024654088050314465,548/0.06511659162690679,581/0.03839149663656297,57/0.05871446229913473,2276/0.004016064257028112,671/0.12594333786960288,1703/0.06641708264004437,2200/0.010661574571349008,445/0.026611558262635053,1603/0.06033888965422234,327/0.08982701158546262,583/0.03395585738539898,1467/0.040631839375773145,1506/0.06811218477492341,1493/0.08030008335648792,2543/0.050199203187251,328/0.05945698247221904,1597/0.021148261225705563,41/0.04544082125603865,2554/0.04245456552130086,1236/0.03144593421433394,705/0.056422256890275614,721/0.05365946150929086,90/0.06384670430150274,1468/0.05518312622629169,1169/0.050724637681159424,533/0.05268534734384121,1356/0.035983919992156096,1036/0.0353599134042937,72/0.044280097360044936,663/0.07318872657518076,1052/0.04393759469309201,1222/0.03432282003710575,661/0.05477410340009315,2209/0.08100864904373249,,1289/0.0484882005899705,2503/0.052005418458095296,1335/0.05926040538449636,555/0.057865622474982906,1499/0.04024024024024024,,99/0.0728094894816174,118/0.08794225294835299,1852/0.09450443634362748,2601/0.03524178832116788,2300/0.08272813388064414,2121/0.0789584651064727,2473/0.07062562989379022,115/0.09209512275679842,630/0.05922983940597479,1125/0.0372572334522394,638/0.04945854210441248,1795/0.05845389449072044,1288/0.053801361436890016,1368/0.04408231484383161,2413/0.08439411472970738,1398/0.03867937560436524,1913/0.046919163369135104,1224/0.04660974384731291,1226/0.0460393541876892,1657/0.1152073732718894,772/0.07218155197657394,,745/0.06467802360924578,91/0.05849031748122777,2324/0.06728211547488656,,341/0.06177285318559557,2378/0.06386671294689344,712/0.05277185501066098,184/0.04664797348967627,149/0.05263157894736842,2604/0.09090909090909091,2206/0.057768318637883856,2262/0.046750285062713795,,540/0.04329004329004329,,1715/0.06596638655462185,1924/0.045454545454545456,,189/0.04687693259121831,948/0.05489073881373569,1064/0.03606686850072397,257/0.06692449974777198,164/0.09071618037135279,155/0.04745166959578207,1923/0.0969458583988894,,1247/0.07885232744783306,1595/0.07514450867052024
1634/0.043578586497890294,2102/0.036228518346493266,1517/0.04406779661016949,1803/0.02320754716981132,649/0.06340299711040924,77/0.037871185936745086,1793/0.0580964153275649,,1012/0.05975504144500804,1489/0.060038824181919026,261/0.010582010582010581,299/0.025451381335653687,1334/0.06006336961013914,1719/0.06856054594508808,585/0.03381437464629315,183/0.03896660005709392,477/0.05821352816403488,1620/0.07668796888024451,2624/0.0497211155378486,1586/0.0539580707984878,1031/0.019658947054881228,353/0.04544082125603865,403/0.031932896769921275,1857/0.030288415163499567,1575/0.0530421216848674,975/0.04228289723170269,1961/0.06344915321618828,1186/0.04986919555264879,2492/0.04868659420289855,1139/0.042542323409223586,2044/0.03568977350720659,996/0.03391665163268988,79/0.04259501965923984,1402/0.06669617824996311,226/0.043528111051963476,2062/0.03390116377129364,1931/0.05458779692594318,461/0.07369959800219271,,2257/0.04821165191740413,739/0.05082749278520526,627/0.055392232709268144,1635/0.055130834731804336,1838/0.03883883883883884,,535/0.07202306835310308,574/0.06405042700284669,2674/0.07586491505605612,126/0.03444343065693431,1631/0.08051784022734448,2555/0.07790427999156652,9/0.06651678424684083,1081/0.06792909831553451,1265/0.05715765843550337,,1628/0.04945854210441248,375/0.055531199766184425,1312/0.04625604855244812,846/0.04241094745638776,1496/0.07108612993883287,1020/0.037574250587097666,1783/0.04578858111927643,1046/0.040281265695630335,700/0.041120080726538846,134/0.0831336405529954,2028/0.06691068814055637,,1444/0.06319360995264013,248/0.05506520879989461,55/0.050774526678141134,,1748/0.059418282548476455,1516/0.0609163484901076,2480/0.04708599857853589,1430/0.044608717817996434,222/0.047141234380916316,1856/0.08099688473520249,147/0.05031924597141989,693/0.04247434435575827,,330/0.041625041625041624,,,453/0.043274069104327406,,473/0.04687693259121831,443/0.053069719042663895,678/0.03461892852441753,609/0.05666722717336472,237/0.08859416445623342,191/0.04721734036321031,1282/0.09578898658028691,,1353/0.07764847512038524,1809/0.07304256437204414
2386/0.042325949367088604,,1306/0.04145278450363196,1183/0.02150943396226415,1144/0.06061420603454069,819/0.03675623443713532,240/0.05716934487021014,,2621/0.04775454657924038,1026/0.05809761508596783,917/0.010422882603333732,338/0.02508882604597201,388/0.05551728888276622,1008/0.04602444056498969,1189/0.03338992642897567,65/0.036968312874678846,925/0.05173226490690549,2076/0.053903862183939985,339/0.045737051792828685,316/0.04696987054645435,795/0.01958448134634001,1192/0.042723429951690824,0/0.029136928849974247,2368/0.029709655638082377,570/0.050442017680707225,1462/0.04057641259006447,451/0.059553152580106544,374/0.04847939829954218,560/0.04755434782608696,1263/0.041301809690601286,1862/0.03451318756740857,37/0.03301461302543749,1181/0.04072271110278974,845/0.06330234617087206,1796/0.038450513901969616,1051/0.03229886996120762,803/0.05207265952491849,1755/0.05225971494700938,,2174/0.03761061946902655,820/0.05012073738147123,1891/0.05152406003403992,2534/0.05258250978929704,972/0.038238238238238235,,2183/0.060161216331345434,1616/0.05815372102480683,407/0.05997661462273884,119/0.03239051094890511,1157/0.05999368487527629,471/0.07168458781362007,2020/0.06512132723466936,756/0.06721347572387977,1802/0.04472457261267484,,858/0.04687247454339745,1378/0.0527546397778752,886/0.044205691790371524,484/0.038754831296354326,195/0.048768391469664406,449/0.03674540682414698,1043/0.0423968343697004,767/0.039779005524861875,1452/0.041120080726538846,2400/0.058617511520737325,162/0.06090775988286969,,1821/0.0594472326288259,1658/0.042945593465946515,731/0.04858394617430762,,1927/0.05096952908587258,562/0.055709822978132595,1223/0.0433546552949538,1469/0.04218710170787662,1131/0.046383945475198786,2339/0.06711979609175871,643/0.0492550927333536,2507/0.039908779931584946,,2323/0.04112554112554113,,,2638/0.04126132170412613,,1876/0.04366110080395795,1113/0.05202913631633715,176/0.032249572199552455,848/0.0563309231545317,1328/0.0779840848806366,509/0.043468072642062094,1271/0.05043961129106895,,1086/0.0733346709470305,1540/0.06358381502890173
901/0.04113924050632911,,1175/0.03728813559322034,2597/0.020503144654088052,427/0.06011020764733553,2088/0.03619875868733043,668/0.05562422744128554,,,519/0.052135330005546314,413/0.010383100608664519,346/0.024726270756290334,1276/0.05221104835376773,1514/0.03920012696397397,2217/0.03317770232031692,981/0.03654010847844705,1825/0.046547254301201976,1216/0.05140316754654071,1491/0.04302788844621514,82/0.045480581968152134,563/0.01846749571822176,905/0.042723429951690824,1601/0.02840114781840924,2274/0.029613195717179512,1896/0.044461778471138844,2372/0.038680318543799774,2545/0.04619543611354059,419/0.04815238718116416,136/0.042346014492753624,370/0.04079100992410975,1492/0.03265025982939504,255/0.028414216128450298,758/0.03959932596891968,301/0.0619743249225321,236/0.037795340076163954,458/0.030612244897959183,1749/0.050768514205868656,1532/0.047874284322085514,,17/0.03714970501474926,813/0.049119500559514695,513/0.04904842952189386,231/0.04785878550562496,1249/0.03523523523523524,,516/0.0589160495445311,759/0.05012200081333876,,310/0.030793795620437957,348/0.055888853804862644,1812/0.0647269660552393,2037/0.05922939762772308,1663/0.06550699108224155,1799/0.04213434639958556,,63/0.04525618231776305,1209/0.05085488820692679,504/0.04338554908554088,2452/0.03833698944949337,22/0.03760952223508018,2529/0.03481143804392872,1717/0.02798191068400226,165/0.03857358111501758,81/0.03872351160443996,1416/0.010506912442396314,2516/0.048609077598828695,,2672/0.056195659857213545,1750/0.04281385851666447,228/0.044515725238616806,,357/0.04806094182825485,1466/0.04998264491496009,713/0.0412224591329069,1490/0.04180474126943665,47/0.04373343430518743,1228/0.05097706032285471,2133/0.047734873821830344,771/0.039623717217787915,,536/0.040293040293040296,,,332/0.03690036900369004,,1525/0.043042671614100185,1659/0.051768990634755464,1021/0.031196524944056864,520/0.05515385908861611,1255/0.04350132625994695,1901/0.03913298183948447,1987/0.035168903285515966,,728/0.0588884430176565,1300/0.05648975302154493
1354/0.04061181434599156,,2081/0.03641646489104116,860/0.020314465408805032,378/0.0571870170015456,680/0.03311405953841008,1699/0.05377008652657602,,,2399/0.0452024403771492,1733/0.009945498667303179,868/0.022260894786454936,1285/0.04959360793497727,2552/0.03142358355816537,2335/0.02985285795132994,1371/0.0340660386335522,2420/0.04265849634692435,2522/0.03612114476243401,1268/0.04047808764940239,344/0.043647611410241725,2145/0.018318564301139324,2216/0.041817632850241544,193/0.02825399161209624,2154/0.025947718722870647,1887/0.044201768070722826,1591/0.03564656806977626,2271/0.041901884392144394,2578/0.046108567691301505,1834/0.03759057971014493,2465/0.038601868067717454,422/0.031081478576331013,686/0.02733176979974743,1210/0.03800786369593709,2137/0.05872805075992327,631/0.037426804799148276,246/0.03044358239163434,2061/0.04704238472286912,2058/0.027287123888415154,,1213/0.03714970501474926,128/0.045821308675422584,1764/0.046882252823766055,73/0.04524830629622724,1463/0.03183183183183183,,58/0.045743495641916244,1146/0.04910532736884913,,1720/0.02771441605839416,1594/0.04483738553836438,990/0.0599831330381615,1221/0.04814326691991627,1759/0.04965319828250578,2307/0.03643584873078916,,132/0.044448036204945855,891/0.049685810317112375,1538/0.04026900680718445,1098/0.03478533375117518,1382/0.03215407505372789,1005/0.034535156789611825,2499/0.0248728094968909,2000/0.03766951280763436,1585/0.03847124117053481,,892/0.04202049780380673,,2279/0.053580264367003604,2328/0.03978395468317745,654/0.043576905022688156,,2340/0.043905817174515235,784/0.046511627906976744,106/0.041044776119402986,733/0.035432067295437165,34/0.040893600908746684,1814/0.03511753044463325,1861/0.044542414107631496,13/0.03919612314709236,,696/0.03921078921078921,,,1886/0.03656491110365649,,1551/0.03920841063698206,1394/0.04058272632674298,521/0.03053837040937212,1269/0.037666050109298806,,2084/0.03842999414176919,2181/0.026376677464136973,,1191/0.05778491171749599,441/0.05281135049921177
