Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
1891/0.001975705860766485,,2315/0.0012229666098662508,1539/0.0017157239626749109,1157/0.0020807135942970353,,
748/0.001971999095549287,,1699/0.0012174160806232874,990/0.0017076309251151235,2291/0.0020807135942970353,,
2438/0.001971999095549287,,377/0.0012174160806232874,806/0.0017076309251151235,1771/0.002071667013452266,,
2636/0.001968292330332089,,761/0.0012118655513803241,725/0.0016995378875553362,1540/0.002062620432607496,,
1190/0.001964585565114891,,1066/0.0012081651985516818,2162/0.0016995378875553362,1514/0.0020535738517627263,,
817/0.0019423449738117037,,64/0.0012063150221373609,805/0.0016914448499955488,1648/0.0020535738517627263,,
422/0.00193122467816011,,715/0.0012044648457230397,941/0.0016914448499955488,1802/0.0020445272709179564,,
568/0.0019238111477257141,,2382/0.0012044648457230397,996/0.0016752587748759741,2292/0.0020354806900731866,,
2495/0.0019201043825085163,,505/0.0012026146693087185,1317/0.0016590726997563997,107/0.0020354806900731866,,
543/0.001890450260770933,,2193/0.0012007644928943974,308/0.0016590726997563997,578/0.0020264341092284172,,
1703/0.0018830367303365372,,623/0.0011989143164800764,695/0.0016590726997563997,2649/0.0020264341092284172,,
2084/0.0018793299651193394,,1286/0.0011970641400657553,1550/0.0016509796621966123,2279/0.0020264341092284172,,
1609/0.0018682096694677456,,1501/0.0011952139636514341,2241/0.001642886624636825,2393/0.0020264341092284172,,
1294/0.0018645029042505476,,2185/0.0011952139636514341,844/0.001642886624636825,481/0.0020173875283836474,,
2/0.0018645029042505476,,1692/0.001193363787237113,410/0.0016347935870770376,774/0.0020173875283836474,,
599/0.0018385555477301624,,2064/0.0011896634344084709,1889/0.0016347935870770376,2601/0.0020083409475388776,,
2500/0.0018274352520785686,,1603/0.0011785623759225441,1903/0.0016105144743976756,126/0.001999294366694108,,
132/0.0018051946607753812,,2449/0.0011767121995082232,2615/0.0016105144743976756,19/0.001999294366694108,,
327/0.0018014878955581832,,1291/0.001173011846679581,2623/0.0016105144743976756,648/0.0019902477858493384,,
1966/0.0017903675999065894,,905/0.001173011846679581,1706/0.0016105144743976756,1032/0.0019902477858493384,,
2272/0.0017829540694721936,,597/0.001173011846679581,356/0.0016105144743976756,2507/0.0019721546241597988,,
2175/0.0017755405390377978,,720/0.001173011846679581,2610/0.0016024214368378883,342/0.0019540614624702596,,
1268/0.0017495931825174124,,738/0.0011637609646079753,1900/0.0015943283992781011,1512/0.0019450148816254897,,
472/0.0017458864173002147,,1333/0.0011600606117793332,1418/0.0015943283992781011,1162/0.0019450148816254897,,
474/0.0017384728868658189,,70/0.0011600606117793332,1737/0.0015943283992781011,2564/0.0019450148816254897,,
1208/0.001731059356431423,,105/0.0011600606117793332,250/0.001545770173919377,12/0.0019178751390911805,,
2211/0.0017199390607798293,,17/0.0011526599061220488,34/0.0015214910612400153,2187/0.0019178751390911805,,
950/0.0017014052346938397,,139/0.0011526599061220488,2103/0.001513398023680228,1004/0.001899781977401641,,
95/0.0017014052346938397,,1793/0.0011508097297077277,1396/0.001513398023680228,1595/0.0018635956540225622,,
1861/0.0016939917042594439,,958/0.0011434090240504432,1390/0.001513398023680228,2251/0.001836455911488253,,
47/0.0016754578781734543,,176/0.0011434090240504432,2066/0.0015053049861204406,1344/0.0018274093306434834,,
161/0.0016643375825218607,,1381/0.001139708671221801,1791/0.0014729328358812914,2019/0.0018093161689539438,,
106/0.001656924052087465,,793/0.00113785849480748,1483/0.0014729328358812914,693/0.0018002695881091742,,
489/0.0016420969912186731,,32/0.00113785849480748,1919/0.001464839798321504,2350/0.0017821764264196347,,
956/0.0016272699303498815,,1473/0.0011360083183931588,2441/0.0014567467607617167,348/0.001773129845574865,,
390/0.0016235631651326837,,243/0.0011323079655645165,1168/0.0014567467607617167,669/0.001773129845574865,,
1263/0.001616149634698288,,182/0.0011323079655645165,2630/0.0014486537232019294,310/0.0017550366838853255,,
2472/0.0016050293390466942,,288/0.0011304577891501956,2439/0.001440560685642142,1695/0.0017550366838853255,,
538/0.0016050293390466942,,1110/0.0011286076127358744,898/0.0014243746105225673,178/0.001745990103040556,,
137/0.0016013225738294961,,1337/0.0011267574363215533,2128/0.0014162815729627802,692/0.0017278969413510165,,
2235/0.0015939090433951004,,1808/0.001124907259907232,1147/0.0014162815729627802,1670/0.0017188503605062467,,
709/0.0015864955129607046,,584/0.0011230570834929112,2099/0.0014162815729627802,651/0.0017188503605062467,,
1220/0.0015753752173091108,,406/0.00112120690707859,1379/0.0014081885354029929,2119/0.0017007571988167072,,
1239/0.001571668452091913,,611/0.00112120690707859,916/0.0013920024602834182,2262/0.0017007571988167072,,
551/0.001571668452091913,,975/0.0011193567306642688,2352/0.0013920024602834182,1062/0.0016826640371271678,,
262/0.0015642549216575172,,2626/0.0011193567306642688,2638/0.0013839094227236308,1079/0.0016555242945928586,,
742/0.0015605481564403192,,827/0.0011175065542499477,1488/0.0013839094227236308,2042/0.001646477713748089,,
2135/0.0015531346260059234,,749/0.0011175065542499477,1926/0.0013677233476040562,593/0.001646477713748089,,
228/0.0015494278607887256,,832/0.0011156563778356265,2013/0.001335351197364907,1026/0.001646477713748089,,
1348/0.0015383075651371318,,1400/0.0011138062014213056,1450/0.0013029790471257576,613/0.0016374311329033192,,
1292/0.0015346007999199338,,446/0.0011138062014213056,1091/0.0013029790471257576,1290/0.0016193379712137797,,
2157/0.001530894034702736,,2343/0.0011064054957640212,2038/0.0012867929720061832,432/0.0016193379712137797,,
660/0.001527187269485538,,261/0.0011064054957640212,2557/0.0012867929720061832,797/0.0015921982286794705,,
258/0.0015234805042683402,,1547/0.0011045553193497,2609/0.0012786999344463958,1049/0.001583151647834701,,
810/0.0015234805042683402,,211/0.0011027051429353789,1349/0.0012786999344463958,1687/0.001583151647834701,,
945/0.0015160669738339444,,373/0.0011008549665210577,799/0.0012544208217670338,119/0.0015650584861451615,,
1722/0.0015123602086167464,,1462/0.0010990047901067368,2239/0.0012544208217670338,2313/0.0015560119053003917,,
1964/0.0014938263825307568,,823/0.0010990047901067368,2030/0.001238234746647459,2077/0.0015560119053003917,,
1402/0.0014827060868791632,,504/0.0010971546136924156,1736/0.001230141709087672,2600/0.0015560119053003917,,
962/0.0014752925564447674,,415/0.0010897539080351312,1076/0.001230141709087672,2032/0.001546965324455622,,
37/0.0014715857912275694,,1689/0.00108790373162081,878/0.0011734904461691608,2118/0.0015379187436108522,,
2151/0.0014641722607931736,,869/0.0010860535552064889,714/0.0011734904461691608,1135/0.0015198255819213128,,
2036/0.0014419316694899863,,868/0.001084203378792168,2039/0.0011653974086093734,160/0.0015198255819213128,,
2000/0.0014419316694899863,,66/0.001084203378792168,6/0.001157304371049586,2460/0.0015107790010765432,,
449/0.0014382249042727883,,2192/0.001084203378792168,969/0.0011492113334897987,9/0.0014926858393870036,,
2433/0.0014345181390555903,,707/0.0010823532023778468,1568/0.0011492113334897987,552/0.0014926858393870036,,
1370/0.0014271046086211945,,1688/0.0010786528495492045,2656/0.0011411182959300114,539/0.0014655460968526946,,
2229/0.0014271046086211945,,102/0.0010768026731348833,2220/0.001133025258370224,1120/0.0014564995160079247,,
2546/0.0014159843129696009,,379/0.0010749524967205624,1137/0.0011249322208104367,1697/0.0014474529351631551,,
1355/0.0014122775477524029,,1985/0.001067551791063278,2208/0.0011249322208104367,1799/0.0014474529351631551,,
1576/0.0014122775477524029,,1036/0.0010638514382346356,1393/0.0011168391832506494,1940/0.001420313192628846,,
1258/0.001408570782535205,,57/0.0010620012618203145,1589/0.0010844670330115002,946/0.0014112666117840763,,
1329/0.001408570782535205,,158/0.0010601510854059935,1128/0.0010844670330115002,1325/0.0013750802884049972,,
1227/0.001404864017318007,,369/0.0010583009089916724,329/0.0010844670330115002,2049/0.0013569871267154578,,
343/0.0013863301912320175,,279/0.0010583009089916724,1451/0.0010682809578919255,2491/0.001320800803336379,,
116/0.001327021947756851,,1051/0.0010583009089916724,1676/0.0010682809578919255,2602/0.0013027076416468396,,
2550/0.0013196084173224551,,464/0.00105460055616303,1350/0.0010601879203321382,2045/0.0013027076416468396,,
333/0.0013121948868880593,,470/0.001050900203334388,896/0.001052094882772351,1226/0.0013027076416468396,,
2461/0.0013121948868880593,,436/0.001050900203334388,1211/0.0010359088076527764,1471/0.0012846144799573001,,
320/0.0013084881216708615,,2286/0.0010471998505057457,1944/0.0010116296949734143,1636/0.0012846144799573001,,
1834/0.0013047813564536635,,2180/0.0010453496740914247,210/0.0009954436198538398,2381/0.0012846144799573001,,
1878/0.0012973678260192678,,1646/0.0010453496740914247,341/0.0009711645071744778,2484/0.0012755678991125303,,
1823/0.0012973678260192678,,1459/0.0010453496740914247,2159/0.0009630714696146905,967/0.001257474737422991,,
860/0.001289954295584872,,138/0.0010453496740914247,914/0.0009549784320549031,1360/0.001257474737422991,,
2446/0.001286247530367674,,1575/0.0010416493212627824,2195/0.0009387923569353285,2009/0.001257474737422991,,
952/0.0012825407651504762,,2611/0.0010397991448484612,1669/0.0009306993193755412,2456/0.0012484281565782213,,
266/0.0012565934086300908,,149/0.0010397991448484612,2063/0.0009226062818157539,1339/0.0012303349948886819,,
1061/0.001249179878195695,,2264/0.001034248615605498,1590/0.0009226062818157539,991/0.0012303349948886819,,
416/0.001249179878195695,,949/0.001034248615605498,2227/0.0009226062818157539,794/0.001221288414043912,,
2501/0.001245473112978497,,0/0.0010286980863625347,2652/0.0009145132442559666,2290/0.0012031952523543726,,
2110/0.0012417663477612992,,431/0.0010268479099482136,728/0.0009064202066961793,2593/0.0012031952523543726,,
1229/0.0012343528173269034,,133/0.0010268479099482136,1359/0.00087404805645703,1892/0.001194148671509603,,
1067/0.0012195257564581116,,1933/0.0010249977335338924,1496/0.0008578619813374554,892/0.0011760555098200634,,
268/0.0012158189912409138,,515/0.0010249977335338924,2132/0.0008578619813374554,1203/0.0011760555098200634,,
2256/0.001208405460806518,,2091/0.0010212973807052503,764/0.0008497689437776681,1976/0.001157962348130524,,
260/0.00120469869558932,,282/0.0010194472042909292,2088/0.0008335828686580934,2424/0.001157962348130524,,
2390/0.00120469869558932,,2641/0.0010194472042909292,1549/0.0008335828686580934,1873/0.001157962348130524,,
2450/0.0011898716347205284,,1086/0.001017597027876608,2010/0.0008254898310983062,2412/0.001157962348130524,,
1804/0.0011787513390689346,,361/0.001013896675047966,753/0.0008254898310983062,1185/0.001157962348130524,,
2245/0.0011713378086345388,,130/0.0010120464986336447,1779/0.0008173967935385188,885/0.0011036828630619057,,
438/0.0011713378086345388,,566/0.0010083461458050024,2669/0.0008093037559787315,791/0.0010946362822171361,,
2387/0.001163924278200143,,790/0.0010064959693906815,1369/0.0008012107184189441,2283/0.0010765431205275967,,
1950/0.0011602175129829452,,1573/0.0010046457929763603,2347/0.0007931176808591569,1634/0.001058449958838057,,
2488/0.0011565107477657472,,1038/0.001000945440147718,1205/0.0007769316057395822,2337/0.001058449958838057,,
232/0.0011490972173313514,,1655/0.000997245087319076,879/0.0007769316057395822,1894/0.0010494033779932875,,
1386/0.0011453904521141534,,2654/0.0009953949109047548,2002/0.000768838568179795,751/0.0010494033779932875,,
1912/0.0011342701564625599,,1113/0.0009935447344904336,409/0.0007607455306200076,2107/0.0010403567971485176,,
2050/0.0011342701564625599,,1021/0.0009935447344904336,1806/0.0007607455306200076,2191/0.001031310216303748,,
2417/0.0011342701564625599,,1064/0.0009935447344904336,1328/0.0007607455306200076,2443/0.0009951238929246692,,
2150/0.001126856626028164,,46/0.0009898443816617915,1721/0.0007607455306200076,2116/0.0009860773120798994,,
2123/0.001126856626028164,,560/0.0009898443816617915,863/0.0007526524930602203,1664/0.00096798415039036,,
875/0.001126856626028164,,1887/0.0009879942052474703,2606/0.0007445594555004329,1482/0.0009498909887008205,,
1008/0.0011194430955937683,,298/0.0009861440288331492,1528/0.0007445594555004329,1395/0.0009317978270112811,,
163/0.0011009092695077787,,48/0.0009861440288331492,1800/0.0007121873052612837,1625/0.0009317978270112811,,
1233/0.0010934957390733829,,1298/0.0009861440288331492,783/0.0006960012301417091,2172/0.0009137046653217417,,
1639/0.0010934957390733829,,520/0.000984293852418828,1267/0.0006960012301417091,2586/0.0009046580844769719,,
702/0.001086082208638987,,283/0.000980593499590186,1403/0.0006960012301417091,1763/0.0008956115036322022,,
703/0.001052721321684206,,735/0.0009750429703472226,600/0.0006879081925819218,2563/0.0008503785994083536,,
1572/0.001052721321684206,,2071/0.0009713426175185804,1518/0.0006879081925819218,2452/0.0008232388568740445,,
208/0.001049014556467008,,639/0.0009694924411042593,1335/0.0006879081925819218,1024/0.0008232388568740445,,
2419/0.0010453077912498101,,2274/0.0009657920882756171,2379/0.0006636290799025598,2168/0.0008232388568740445,,
948/0.0010341874955982163,,1863/0.000963941911861296,1411/0.0006636290799025598,1845/0.0007960991143397353,,
777/0.0010304807303810183,,1405/0.0009620917354469749,314/0.0006474430047829852,2537/0.0007780059526501958,,
750/0.001008240139077831,,171/0.0009620917354469749,2105/0.0006474430047829852,2326/0.0007689593718054261,,
1866/0.001008240139077831,,1989/0.0009620917354469749,2358/0.0006474430047829852,1594/0.0007599127909606564,,
1331/0.001008240139077831,,1551/0.0009620917354469749,146/0.0006231638921036232,2398/0.0007599127909606564,,
2576/0.001004533373860633,,1723/0.0009565412062040115,824/0.0005988847794242613,1764/0.0007508662101158867,,
2490/0.001004533373860633,,1570/0.0009565412062040115,1787/0.000590791741864474,657/0.000741819629271117,,
2518/0.0009934130782090394,,173/0.0009565412062040115,1660/0.000566512629185112,1675/0.0007146798867368079,,
1913/0.0009934130782090394,,2624/0.0009546910297896905,1960/0.0005584195916253247,2582/0.0007146798867368079,,
1129/0.0009897063129918413,,1652/0.0009546910297896905,1680/0.0005341404789459628,2008/0.0006875401442024986,,
1002/0.0009897063129918413,,1118/0.0009546910297896905,1567/0.0005260474413861755,2370/0.0006875401442024986,,
2406/0.0009748792521230498,,821/0.0009528408533753693,1143/0.0005098613662666008,2369/0.0006875401442024986,,
508/0.0009711724869058519,,1751/0.0009528408533753693,2127/0.0005098613662666008,2674/0.0006513538208234198,,
153/0.000967465721688654,,334/0.0009528408533753693,1232/0.00047748921602745156,2097/0.0006151674974443409,,
1357/0.000967465721688654,,2125/0.0009509906769610483,2247/0.00047748921602745156,2404/0.0005880277549100317,,
1153/0.0009637589564714561,,2011/0.0009491405005467271,1299/0.0004451170657883023,973/0.0005699345932204923,,
2222/0.0009489318956026644,,1708/0.0009472903241324061,1667/0.0004451170657883023,531/0.0004975619464623346,,
203/0.0009489318956026644,,2148/0.0009454401477180849,1219/0.000437024028228515,1114/0.0004975619464623346,,
513/0.0009452251303854665,,537/0.0009417397948894427,1893/0.0004289309906687277,2307/0.0004885153656175649,,
776/0.0009452251303854665,,601/0.0009417397948894427,2299/0.0004208379531089404,1663/0.0004794687847727951,,
108/0.0009303980695166749,,1851/0.0009361892656464793,1070/0.00040465187798936574,2106/0.0004342358805489465,,
63/0.0009303980695166749,,357/0.0009343390892321583,559/0.00040465187798936574,2212/0.0004251892997041768,,
2305/0.000926691304299477,,444/0.0009343390892321583,1774/0.0003884658028697911,1705/0.0003709098146355585,,
2112/0.0009229845390822791,,554/0.0009343390892321583,1338/0.00034800061507085455,2520/0.0003618632337907888,,
679/0.0009155710086478833,,773/0.0009343390892321583,1957/0.00034800061507085455,1820/0.0003618632337907888,,
2366/0.0009118642434306853,,1743/0.0009324889128178371,1885/0.0003237215023914926,2360/0.0003256769104117099,,
1584/0.0009044507129962895,,1986/0.0009306387364035161,2555/0.00029944238971213065,2556/0.0003256769104117099,,
1606/0.0008970371825618937,,2062/0.0009306387364035161,118/0.0002185120141142575,1959/0.00029853716787740076,,
1818/0.0008859168869103,,1758/0.0009287885599891949,1654/0.0002185120141142575,2444/0.00029853716787740076,,
1075/0.0008822101216931021,,128/0.0009287885599891949,,2619/0.000289490587032631,,
1696/0.0008673830608243104,,74/0.0009269383835748739,,2037/0.00026235084449832187,,
1345/0.0008673830608243104,,932/0.0009232380307462317,,2389/0.0001809316168953944,,
1486/0.0008599695303899146,,1273/0.0009232380307462317,,417/0.00017188503605062466,,
2199/0.0008599695303899146,,110/0.0009213878543319105,,1616/0.00015379187436108524,,
607/0.0008599695303899146,,1429/0.0009158373250889473,,2261/0.0001447452935163155,,
72/0.000848849234738321,,1314/0.0009158373250889473,,673/8.141922760292747e-05,,
2332/0.000848849234738321,,2553/0.0009158373250889473,,2156/2.7139742534309158e-05,,
854/0.0008340221738695293,,1630/0.0009158373250889473,,,,
912/0.0008303154086523314,,1169/0.0009139871486746261,,,,
729/0.0008266086434351335,,141/0.0009102867958459839,,,,
1347/0.0008229018782179356,,1209/0.0009102867958459839,,,,
497/0.0008191951130007377,,2325/0.0009102867958459839,,,,
1768/0.0008117815825663419,,1475/0.0009102867958459839,,,,
616/0.000808074817349144,,666/0.0009084366194316629,,,,
2577/0.0007969545216975502,,1785/0.0009084366194316629,,,,
1530/0.0007858342260459565,,462/0.0009028860901886995,,,,
117/0.0007858342260459565,,413/0.0009028860901886995,,,,
1958/0.0007821274608287586,,2561/0.0009010359137743784,,,,
1195/0.0007784206956115607,,1007/0.0008991857373600573,,,,
1656/0.0007784206956115607,,2016/0.0008973355609457361,,,,
2250/0.0007673003999599669,,570/0.0008973355609457361,,,,
1319/0.000763593634742769,,921/0.0008973355609457361,,,,
2068/0.0007598868695255711,,1984/0.0008954853845314151,,,,
1835/0.0007598868695255711,,1156/0.0008954853845314151,,,,
997/0.0007487665738739774,,2027/0.0008936352081170939,,,,
1388/0.0007450598086567795,,712/0.0008936352081170939,,,,
2178/0.0007413530434395816,,653/0.0008936352081170939,,,,
899/0.0007376462782223837,,2218/0.0008917850317027729,,,,
992/0.0007376462782223837,,855/0.0008917850317027729,,,,
831/0.0007265259825707899,,2521/0.0008899348552884517,,,,
2101/0.000722819217353592,,91/0.0008899348552884517,,,,
534/0.000722819217353592,,1399/0.0008899348552884517,,,,
1789/0.0007154056869191962,,562/0.0008880846788741307,,,,
1942/0.0007116989217019983,,1391/0.0008880846788741307,,,,
1287/0.0007116989217019983,,1397/0.0008843843260454885,,,,
45/0.0007042853912676025,,848/0.0008788337968025251,,,,
172/0.0007042853912676025,,745/0.000876983620388204,,,,
1911/0.0007005786260504046,,389/0.0008751334439738829,,,,
28/0.0006968718608332066,,97/0.0008732832675595618,,,,
1437/0.0006968718608332066,,920/0.0008732832675595618,,,,
760/0.0006894583303988108,,2176/0.0008714330911452407,,,,
3/0.0006783380347472172,,509/0.0008714330911452407,,,,
2001/0.0006746312695300193,,376/0.0008714330911452407,,,,
627/0.0006672177390956235,,7/0.0008695829147309196,,,,
1681/0.0006672177390956235,,1739/0.0008695829147309196,,,,
323/0.0006523906782268318,,1420/0.0008677327383165985,,,,
620/0.0006523906782268318,,1006/0.0008677327383165985,,,,
1365/0.0006523906782268318,,51/0.0008658825619022774,,,,
1085/0.0006523906782268318,,325/0.0008658825619022774,,,,
1422/0.0006338568521408423,,2033/0.0008640323854879563,,,,
2109/0.0006301500869236444,,1493/0.0008640323854879563,,,,
2041/0.0006264433217064464,,1819/0.000858481856244993,,,,
825/0.0006264433217064464,,1653/0.0008547815034163508,,,,
493/0.0006227365564892485,,2667/0.0008492309741733874,,,,
123/0.0006190297912720506,,1131/0.0008492309741733874,,,,
503/0.0006079094956204569,,1020/0.0008492309741733874,,,,
1830/0.000604202730403259,,933/0.0008473807977590663,,,,
460/0.0005967891999688632,,1489/0.0008473807977590663,,,,
2070/0.0005967891999688632,,1398/0.0008473807977590663,,,,
248/0.0005893756695344673,,1011/0.0008455306213447452,,,,
1204/0.0005856689043172694,,2342/0.0008436804449304241,,,,
1502/0.0005819621391000715,,1901/0.0008436804449304241,,,,
1107/0.0005782553738828736,,2080/0.0008436804449304241,,,,
354/0.0005708418434484778,,891/0.000841830268516103,,,,
2108/0.0005486012521452903,,16/0.000841830268516103,,,,
394/0.0005448944869280924,,2668/0.000841830268516103,,,,
2244/0.0005411877217108945,,1671/0.0008399800921017819,,,,
2567/0.0005337741912764988,,608/0.0008399800921017819,,,,
2328/0.0005300674260593009,,1842/0.0008399800921017819,,,,
1296/0.0005226538956249051,,1993/0.0008381299156874608,,,,
1827/0.0005189471304077071,,212/0.0008381299156874608,,,,
1717/0.0005152403651905092,,301/0.0008362797392731397,,,,
294/0.0005078268347561134,,1876/0.0008325793864444975,,,,
2539/0.0005041200695389155,,499/0.0008325793864444975,,,,
1934/0.0004967065391045197,,1596/0.0008325793864444975,,,,
1235/0.0004929997738873218,,633/0.0008307292100301764,,,,
629/0.0004929997738873218,,915/0.0008288790336158552,,,,
1197/0.0004929997738873218,,2408/0.0008288790336158552,,,,
1849/0.00048558624345292593,,358/0.0008270288572015342,,,,
771/0.00048187947823572804,,375/0.0008270288572015342,,,,
1677/0.00048187947823572804,,148/0.0008270288572015342,,,,
1248/0.0004633456521497385,,1707/0.000825178680787213,,,,
1533/0.0004596388869325406,,1693/0.000825178680787213,,,,
927/0.00044851859128094686,,970/0.000825178680787213,,,,
1938/0.00044481182606374896,,2090/0.000823328504372892,,,,
2663/0.0004262779999777594,,229/0.000823328504372892,,,,
1515/0.0004188644695433636,,1213/0.000823328504372892,,,,
1511/0.0004114509391089678,,647/0.0008214783279585708,,,,
2527/0.0003855035825885824,,1165/0.0008214783279585708,,,,
2625/0.0003817968173713845,,549/0.0008196281515442498,,,,
1872/0.0003743832869369887,,370/0.0008196281515442498,,,,
1968/0.0003743832869369887,,1406/0.0008159277987156076,,,,
2267/0.00036326299128539496,,2303/0.0008140776223012864,,,,
1125/0.00035955622606819706,,1041/0.0008122274458869654,,,,
1033/0.00035584946085099917,,713/0.0008085270930583231,,,,
2509/0.00035584946085099917,,1685/0.000806676916644002,,,,
1643/0.0003410223999822075,,1510/0.000806676916644002,,,,
1672/0.0003410223999822075,,718/0.000806676916644002,,,,
1259/0.00033731563476500963,,1094/0.000806676916644002,,,,
2113/0.00033731563476500963,,479/0.0007955758581580754,,,,
861/0.0003299021043306138,,2331/0.0007937256817437542,,,,
2266/0.000322488573896218,,2102/0.0007937256817437542,,,,
407/0.000322488573896218,,2246/0.0007937256817437542,,,,
755/0.000322488573896218,,1308/0.0007918755053294332,,,,
2322/0.00030395474781022845,,704/0.000790025328915112,,,,
2252/0.00030024798259303055,,2480/0.000790025328915112,,,,
2052/0.00029654121737583266,,43/0.000788175152500791,,,,
1505/0.0002928344521586347,,2096/0.000788175152500791,,,,
1790/0.0002891276869414368,,2210/0.0007844747996721488,,,,
2397/0.0002668870956382494,,2259/0.0007844747996721488,,,,
2639/0.0002631803304210515,,206/0.0007826246232578276,,,,
2082/0.00024464650433506194,,1635/0.0007826246232578276,,,,
1043/0.00024093973911786402,,1560/0.0007826246232578276,,,,
1115/0.00022611267824907238,,1805/0.0007789242704291854,,,,
1117/0.00022240591303187448,,249/0.0007789242704291854,,,,
1994/0.0001853382608598954,,924/0.0007770740940148644,,,,
2574/0.00017792473042549958,,471/0.0007752239176005432,,,,
1983/0.00017792473042549958,,1260/0.0007752239176005432,,,,
2060/0.00017421796520830166,,1499/0.0007752239176005432,,,,
2276/0.00017051119999110376,,1951/0.0007752239176005432,,,,
1413/0.00014827060868791633,,336/0.0007733737411862221,,,,
2617/0.0001334435478191247,,1358/0.0007733737411862221,,,,
1541/0.00012973678260192676,,1127/0.000771523564771901,,,,
592/0.00011861648695033305,,309/0.000771523564771901,,,,
319/0.00010378942608154142,,1719/0.000771523564771901,,,,
1953/9.26691304299477e-05,,482/0.0007696733883575799,,,,
1839/8.896236521274979e-05,,2622/0.0007696733883575799,,,,
2196/8.896236521274979e-05,,1718/0.0007678232119432588,,,,
2499/6.301500869236443e-05,,1361/0.0007641228591146166,,,,
1426/1.4827060868791631e-05,,2338/0.0007622726827002954,,,,
2660/3.7067652171979077e-06,,492/0.0007622726827002954,,,,
,,953/0.0007604225062859744,,,,
,,2620/0.0007604225062859744,,,,
,,467/0.0007604225062859744,,,,
,,2171/0.0007585723298716532,,,,
,,2089/0.000754871977043011,,,,
,,2414/0.000754871977043011,,,,
,,469/0.00075302180062869,,,,
,,1591/0.00075302180062869,,,,
,,2120/0.0007511716242143688,,,,
,,1730/0.0007511716242143688,,,,
,,2161/0.0007493214478000478,,,,
,,882/0.0007456210949714055,,,,
,,662/0.0007456210949714055,,,,
,,2380/0.0007456210949714055,,,,
,,571/0.0007437709185570844,,,,
,,1428/0.0007437709185570844,,,,
,,1776/0.0007437709185570844,,,,
,,1421/0.0007419207421427633,,,,
,,1716/0.0007400705657284422,,,,
,,923/0.0007382203893141211,,,,
,,1015/0.0007382203893141211,,,,
,,865/0.0007382203893141211,,,,
,,2367/0.0007363702128998,,,,
,,871/0.0007363702128998,,,,
,,1435/0.0007363702128998,,,,
,,2482/0.0007345200364854789,,,,
,,1057/0.0007345200364854789,,,,
,,155/0.0007326698600711578,,,,
,,2657/0.0007326698600711578,,,,
,,2170/0.0007326698600711578,,,,
,,1970/0.0007308196836568367,,,,
,,737/0.0007308196836568367,,,,
,,1166/0.0007289695072425156,,,,
,,1046/0.0007289695072425156,,,,
,,849/0.0007271193308281945,,,,
,,1752/0.0007234189779995523,,,,
,,2006/0.0007197186251709101,,,,
,,1712/0.0007197186251709101,,,,
,,787/0.0007197186251709101,,,,
,,1182/0.0007160182723422678,,,,
,,907/0.0007123179195136256,,,,
,,50/0.0007123179195136256,,,,
,,1910/0.0007104677430993045,,,,
,,1858/0.0007104677430993045,,,,
,,1207/0.0007067673902706623,,,,
,,2289/0.0007049172138563412,,,,
,,300/0.0007030670374420201,,,,
,,1947/0.0007030670374420201,,,,
,,770/0.000701216861027699,,,,
,,2608/0.000701216861027699,,,,
,,1042/0.000701216861027699,,,,
,,822/0.0006993666846133779,,,,
,,246/0.0006993666846133779,,,,
,,1586/0.0006975165081990568,,,,
,,2186/0.0006975165081990568,,,,
,,1665/0.0006975165081990568,,,,
,,1431/0.0006956663317847357,,,,
,,2122/0.0006938161553704145,,,,
,,245/0.0006919659789560935,,,,
,,215/0.0006901158025417723,,,,
,,496/0.0006901158025417723,,,,
,,858/0.0006901158025417723,,,,
,,2504/0.0006901158025417723,,,,
,,988/0.0006901158025417723,,,,
,,2059/0.0006827150968844879,,,,
,,1509/0.0006790147440558457,,,,
,,1848/0.0006771645676415247,,,,
,,485/0.0006753143912272035,,,,
,,1930/0.0006753143912272035,,,,
,,1270/0.0006734642148128824,,,,
,,437/0.0006734642148128824,,,,
,,2512/0.0006734642148128824,,,,
,,2459/0.0006716140383985613,,,,
,,480/0.0006716140383985613,,,,
,,1526/0.0006697638619842401,,,,
,,2631/0.0006679136855699191,,,,
,,1883/0.0006679136855699191,,,,
,,478/0.0006679136855699191,,,,
,,632/0.0006679136855699191,,,,
,,727/0.0006642133327412769,,,,
,,2028/0.0006642133327412769,,,,
,,305/0.0006642133327412769,,,,
,,1815/0.0006623631563269557,,,,
,,1841/0.0006605129799126347,,,,
,,1991/0.0006605129799126347,,,,
,,1896/0.0006605129799126347,,,,
,,2596/0.0006605129799126347,,,,
,,2634/0.0006586628034983135,,,,
,,1710/0.0006586628034983135,,,,
,,1932/0.0006586628034983135,,,,
,,109/0.0006586628034983135,,,,
,,1578/0.0006586628034983135,,,,
,,2152/0.0006586628034983135,,,,
,,1683/0.0006568126270839925,,,,
,,582/0.0006549624506696713,,,,
,,1102/0.0006512620978410291,,,,
,,1725/0.0006512620978410291,,,,
,,2221/0.0006512620978410291,,,,
,,2415/0.0006512620978410291,,,,
,,1840/0.0006512620978410291,,,,
,,983/0.0006494119214267081,,,,
,,1531/0.0006494119214267081,,,,
,,1504/0.0006494119214267081,,,,
,,2242/0.0006494119214267081,,,,
,,502/0.0006494119214267081,,,,
,,837/0.0006475617450123869,,,,
