Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
736/0.004700178295406947,510/0.009358854916574913,2114/0.00254399256969152,1326/0.005236195301182393,1593/0.004966572883778576,1318/0.007409146643708748,1383/0.009924449014260808
194/0.004514840034547052,401/0.0082789870415855,1588/0.002525490805548309,545/0.005220009226062818,1817/0.004939433141244266,1003/0.007330881010148444,1503/0.009656220662524029
1186/0.004448118260637489,2356/0.00821546540188024,1019/0.0025217904527196668,339/0.005155264925584519,1181/0.004903246817865188,2316/0.007096084109467533,2181/0.009432697036076713
789/0.0043739829562935316,2599/0.007982552722960955,1136/0.002486637100847566,1111/0.005139078850464945,1982/0.0048399207519518,190/0.007069995564947432,2284/0.00894094505789262
429/0.004370276191076334,1262/0.007664944524434657,1767/0.002473685865947318,979/0.005122892775345371,625/0.0048399207519518,76/0.007017818475907229,2230/0.008896240332603157
645/0.00423312587804001,2143/0.0074320318455153725,451/0.002457034278218428,273/0.005114799737785583,62/0.0047856412668831816,700/0.006783021575226318,2117/0.00867271670615584
2388/0.004218298817171219,2243/0.006902684847971542,1975/0.0024459332197325017,1099/0.005074334549986646,1154/0.004767548105193642,2236/0.006756933030706217,1556/0.008359783629129598
585/0.004210885286736824,1334/0.00675446768865927,1133/0.002420030749932006,876/0.005001497211948561,1082/0.0047585015243488725,1734/0.0066786673971459135,1148/0.008359783629129598
419/0.004203471756302427,1971/0.006330990090624206,2130/0.0024163303971033636,1611/0.004961032024149624,1180/0.004749454943504102,872/0.006652578852625812,1990/0.008180964727971746
1890/0.004188644695433636,435/0.00616159905141018,2217/0.0024126300442747217,463/0.004952938986589836,699/0.004713268620125024,1781/0.006626490308105711,1899/0.008136260002682284
730/0.0041812311649992405,1803/0.005992208012196154,917/0.0024070795150317585,316/0.004904380761231113,1461/0.004695175458435484,2226/0.006443870496465002,1245/0.006750413518708928
1497/0.004170110869347646,2637/0.005971034132294402,1364/0.002405229338617437,447/0.0048477294983126015,259/0.004668035715901175,1212/0.0061047194177036865,1272/0.006482185166972149
1523/0.004147870278044459,1014/0.005865164732785636,1632/0.002399678809374474,2401/0.004815357348073452,2535/0.004586616488298247,1902/0.0061047194177036865,331/0.00621395681523537
461/0.004140456747610063,2233/0.00569577369357161,556/0.0023756265159882994,1536/0.0048072643105136655,1104/0.004532337003229629,359/0.006026453784143382,779/0.003308149671420269
113/0.003925464365012584,680/0.005547556534259338,313/0.0023571247518450883,1005/0.004710147859796217,964/0.004478057518161011,1466/0.006000365239623282,2462/0.003263444946130806
385/0.003918050834578189,2166/0.005526382654357584,1772/0.0023552745754307674,395/0.004693961784676643,2545/0.004478057518161011,1809/0.005922099606062978,
23/0.0038735696519718137,930/0.005399339374947065,1307/0.002344173516944841,368/0.004661589634437494,1408/0.004441871194781932,49/0.005635125616341864,
528/0.00386244935632022,1969/0.005356991615143559,1908/0.002333072458458914,2055/0.004653496596877706,1545/0.004423778033092393,622/0.005609037071821763,
795/0.003858742591103022,121/0.004891166257304989,734/0.0023219713999729874,2420/0.004621124446638557,671/0.004387591709713314,1999/0.0055829485273016614,
563/0.003777193756324668,2142/0.004848818497501482,1597/0.002318271047144345,908/0.004588752296399407,820/0.004387591709713314,1035/0.005322063082100649,
239/0.0037623666954558765,2302/0.004658253578385703,2054/0.0023071699886584186,114/0.004588752296399407,2659/0.004387591709713314,756/0.005243797448540346,
978/0.003747539634587085,2483/0.0044888625391716775,696/0.0023034696358297762,985/0.004580659258839621,2058/0.004333312224644696,2614/0.005165531814980042,
626/0.003743832869369887,2318/0.003980689421529601,1074/0.00224241381415718,851/0.004564473183720046,2542/0.004333312224644696,955/0.004982912003339334,
238/0.0037104719824151058,1174/0.0035783857033962903,1013/0.0022387134613285377,2321/0.004556380146160258,2413/0.004333312224644696,2394/0.0049568234588192326,
1/0.00370305845198071,1850/0.0034725163038875242,226/0.002231312755671253,1843/0.004515914958361322,833/0.0042971259012656166,1962/0.00490464636977903,
1354/0.0036919381563291164,1196/0.0034089946641822646,1371/0.002229462579256932,1859/0.00437024028228515,278/0.004288079320420847,1380/0.00490464636977903,
1175/0.0036734043302431266,1027/0.00311256034555772,835/0.002227612402842611,845/0.004265030794007915,1430/0.004279032739576077,2334/0.0048263807362187265,
1555/0.003669697565025929,2477/0.003027864825950707,2348/0.0022202116971853265,14/0.004265030794007915,220/0.0042699861587313075,670/0.004800292191698625,
1580/0.0035696149041615855,42/0.002879647666638435,236/0.0022146611679423633,21/0.004256937756448128,2473/0.0042428464161969985,2253/0.004539406746497613,
270/0.003554787843292794,637/0.002710256627424409,1928/0.00217580746324162,1387/0.004232658643768766,1244/0.004224753254507459,812/0.004513318201977512,
338/0.0035510810780755957,381/0.002710256627424409,1293/0.002155455522684088,411/0.004216472568649191,349/0.004224753254507459,1684/0.004408964023897107,
519/0.0035325472519896063,586/0.0026467349877191495,2206/0.0020999502302544546,1554/0.004200286493529617,867/0.00418856693112838,987/0.004304609845816702,
2136/0.0035251337215552103,1214/0.0025196917083086306,1179/0.0020925495245971704,433/0.00412744915549153,2361/0.004170473769438841,1904/0.004304609845816702,
450/0.0035214269563380125,157/0.0021809096298805795,456/0.0020851488189398857,1375/0.0041031700428121685,634/0.004161427188594071,1444/0.004226344212256398,
1222/0.0035103066606864187,2021/0.00211738799017532,337/0.0020795982896969225,1998/0.004086983967692594,1620/0.004152380607749301,1178/0.004174167123216195,
1123/0.0034695322432972417,427/0.00211738799017532,27/0.0020740477604539592,621/0.004070797892573019,1608/0.004143334026904532,442/0.004069812945135791,
2437/0.0034028104693876794,2497/0.00205386635047006,1527/0.0020573961727250695,1617/0.004038425742333871,142/0.004125240865214992,1854/0.004069812945135791,
1047/0.0033879834085188878,159/0.0019903447107648005,1017/0.002055545996310748,317/0.004006053592094721,235/0.004116194284370222,1316/0.004043724400615689,
1621/0.003376863112867294,89/0.0017997797916490218,101/0.002048145290653464,2538/0.003981774479415359,55/0.0041071477035254525,2407/0.004043724400615689,
2158/0.0033694495824328984,1724/0.0016939103921402557,758/0.0020259431736816104,2146/0.003957495366735997,2612/0.004089054541835913,1416/0.0039915473115754874,
604/0.0033620360519985024,957/0.0016515626323367495,1605/0.0020259431736816104,829/0.003933216254056635,739/0.0040800079609911435,1773/0.003965458767055386,
583/0.003354622521564107,1206/0.0015880409926314898,548/0.0020185424680243262,2237/0.003925123216496847,1977/0.004070961380146373,1090/0.003730661866374475,
306/0.003343502225912513,2496/0.0015245193529262301,299/0.0020055912331240783,1034/0.0038684719535783366,1744/0.004061914799301604,2590/0.0036263076882940702,
906/0.0033323819302609192,759/0.0012280850343016855,1796/0.0019722880576662984,2078/0.0038684719535783366,2365/0.0039714489908539066,2189/0.0035741305992538675,
4/0.0033212616346093254,1852/0.0011645633945964258,579/0.001929734000136913,75/0.0038118206906598254,782/0.003953355829164367,2104/0.0035741305992538675,
1678/0.0033175548693921276,36/0.0011222156347929194,168/0.0019075318831650598,1822/0.0037956346155402507,2448/0.0039443092483195975,894/0.0034436878766533614,
2543/0.00331384810417493,1535/0.0010375201151859067,631/0.0018890301190218487,307/0.003779448540420676,507/0.0037905173739585124,1658/0.003391510787613159,
580/0.0033101413389577316,2254/0.0009104768357753875,1052/0.0018871799426075277,2323/0.0037632624653011013,2517/0.003772424212268973,2525/0.003391510787613159,
942/0.003306434573740534,1264/0.0008257813161683747,448/0.0018742287077072798,237/0.0037389833526217395,2670/0.0037633776314242033,1690/0.0033654222430930577,
603/0.00329531427808894,2653/0.000741085796561362,1031/0.0018612774728070322,1795/0.0037308903150619524,162/0.0037633776314242033,1770/0.0033654222430930577,
30/0.0032879007476545445,1161/0.0006775641568561023,1857/0.001859427296392711,2257/0.0036661460145836536,2017/0.0037543310505794335,1917/0.003261068065012653,
769/0.0032841939824373462,2672/0.000635216397052596,281/0.0018575771199783899,98/0.003625680826784717,1465/0.0037181447272003547,813/0.003156713886932248,
58/0.0032841939824373462,1927/0.0006140425171508427,883/0.001855726943564069,2579/0.003520471338507482,403/0.0036910049846660456,963/0.003078448253371944,
1749/0.0032841939824373462,439/0.0005081731176420767,731/0.0018483262379067845,79/0.003488099188268333,929/0.003672911822976506,1081/0.002921916986251337,
25/0.0032804872172201485,378/0.0005081731176420767,665/0.0018446258850781422,2147/0.0034638200755889707,1311/0.003663865242131736,2474/0.002921916986251337,
276/0.003273073686785753,1424/0.00044465147793681714,388/0.001839075355835179,1905/0.003447634000469396,82/0.003645772080442197,1585/0.002921916986251337,
2489/0.003258246625916961,1978/0.00033878207842805115,1423/0.0018298244737635734,2471/0.003415261850230247,1044/0.0036186323379078875,1836/0.0028436513526910335,
234/0.003254539860699763,2354/0.00027526043872279154,169/0.0018298244737635734,2081/0.003415261850230247,1601/0.0036005391762183483,1537/0.0027132086300905274,
