Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1080/0.012322528797214037,299/0.006269752268325008,748/0.008766151507474031,933/0.007624658839838843,74/0.016046155233029838,318/0.0068526028304229086,1019/0.011154657823334338,1461/0.017540440459949326,2311/0.015561902885846548,2020/0.0182381280110117,1429/0.008708272859216255,2251/0.031170483460559797,1961/0.013745354579239423,443/0.011660285415941524,843/0.026559604694255712,1317/0.027634961439588688,1356/0.016927634363097757,1399/0.01637060257749913,1602/0.03440291101554747
1069/0.01187606036253237,1078/0.006167805076970129,248/0.008715480111477072,1225/0.007624658839838843,277/0.015685567474984223,111/0.00676984192667384,12/0.010300472314340267,2503/0.01747547586565322,963/0.015463409829607012,2650/0.0182381280110117,1189/0.008427360831499602,1316/0.027353689567430027,1976/0.013694445858575575,2135/0.011660285415941524,1318/0.025633106856084,1542/0.02667095115681234,723/0.01622231626463535,455/0.015906188319981425,894/0.033079722130334104
88/0.01187606036253237,1733/0.00611683148129269,412/0.008715480111477072,1133/0.007581336914612486,571/0.015415126656450014,98/0.006720185384424398,295/0.009948748869460356,46/0.01741051127135711,692/0.015069437604648872,621/0.017894012388162423,964/0.008052811461210731,783/0.026717557251908396,555/0.013643537137911724,1000/0.01148625130525583,1252/0.025633106856084,1756/0.02634961439588689,1538/0.01608125264494287,2218/0.014861256240566586,1079/0.031094938802514058
1678/0.011608179301723368,147/0.006065857885615251,39/0.008563465923486191,839/0.0074946930641597714,705/0.01532497971693861,1214/0.006587767938425888,661/0.009747764043814692,745/0.017280582082764895,76/0.014773958435930266,1997/0.017894012388162423,70/0.008052811461210731,2097/0.02608142493638677,1635/0.013541719696584026,436/0.01148625130525583,2582/0.025633106856084,1610/0.02602827763496144,2341/0.014811680067710538,341/0.014861256240566586,1044/0.031094938802514058
2360/0.0114295919278507,2543/0.005810989907228056,328/0.008360780339498353,1039/0.0073647272884807,399/0.014964391958892995,337/0.006538111396176446,901/0.009697517837403276,813/0.017085688299876566,152/0.014773958435930266,1315/0.017807983482450104,463/0.008005992789924622,600/0.023536895674300253,637/0.013388993534592476,1334/0.011312217194570135,2307/0.02470660901791229,320/0.02410025706940874,212/0.014811680067710538,669/0.014629049111807733,1452/0.030102547138604035
915/0.0114295919278507,687/0.005760016311550617,72/0.007803394983531796,466/0.007061473811896201,14/0.014964391958892995,1117/0.006505007034676819,73/0.009597025424580444,869/0.01702072370558046,205/0.014675465379690732,78/0.017033723331039228,682/0.007959174118638513,1820/0.023536895674300253,781/0.013287176093264776,125/0.011138183083884442,1369/0.024088943792464484,825/0.021529562982005142,1419/0.014811680067710538,2149/0.014280738418669453,1274/0.02877935825339067
2394/0.011251004553978034,1364/0.005709042715873178,504/0.007702052191537877,302/0.0069748299614434866,1516/0.014153069503290363,378/0.006438798311677564,1060/0.009496533011757612,658/0.01689079451698824,758/0.01428149315473259,574/0.01694769442532691,645/0.007912355447352405,1690/0.023536895674300253,581/0.013236267372600927,1463/0.010964148973198747,2047/0.02347127856701668,2208/0.021208226221079693,2447/0.014811680067710538,2292/0.014164634854290026,108/0.027786966589480648
359/0.011251004553978034,604/0.0056070955245183,996/0.007600709399543958,242/0.006888186110990772,881/0.013882628684756152,2021/0.00642224613092775,889/0.009446286805346196,180/0.01689079451698824,2412/0.01329656259233724,2667/0.016345492085340675,1283/0.007912355447352405,1745/0.022900763358778626,533/0.013134449931273226,1249/0.010790114862513052,1449/0.022235948116121063,607/0.01960154241645244,2206/0.014388489208633094,1285/0.014164634854290026,1228/0.02480979159775058
1652/0.0111617108670417,1031/0.005556121928840861,1765/0.007600709399543958,124/0.006844864185764415,405/0.013612187866221941,2435/0.006322933046428867,1431/0.00939604059893478,739/0.01650100695121159,107/0.013198069536097706,536/0.01565726083964212,2295/0.007865536776066296,885/0.022900763358778626,2054/0.01277808888662628,2192/0.010616080751827359,1787/0.021618282890673256,1309/0.019280205655526992,1593/0.014106361969248131,773/0.013351909903634041,651/0.02480979159775058
275/0.010715242432360031,554/0.005403201141808543,1402/0.007499366607550038,1662/0.006758220335311701,1981/0.013612187866221941,500/0.006306380865679053,195/0.00939604059893478,5/0.015916325602546612,1989/0.013001083423618635,2612/0.015571231933929801,2062/0.007818718104780187,1340/0.021628498727735368,897/0.012727180165962429,474/0.010616080751827359,2051/0.02130945027794935,872/0.017673521850899744,1862/0.013401043870785724,184/0.013235806339254615,2606/0.024148197155143897
1325/0.010625948745423698,579/0.005301253950453665,373/0.007499366607550038,1881/0.006758220335311701,473/0.013341747047687732,1126/0.006091202515931474,801/0.009345794392523364,820/0.015331644253881635,2399/0.013001083423618635,1636/0.015571231933929801,982/0.007678262090921859,2116/0.019083969465648856,2118/0.01257445400397088,1534/0.010442046641141664,2022/0.019765287214329835,397/0.017352185089974295,241/0.012131471293553393,733/0.013235806339254615,160/0.01951703605689712
327/0.010536655058487365,61/0.005199306759098787,2514/0.007499366607550038,711/0.006671576484858987,958/0.013251600108176328,427/0.006041545973682032,110/0.009195055773289117,2413/0.015266679659585525,403/0.0129025903673791,543/0.015313145216792843,583/0.007537806077063533,2484/0.015903307888040712,1424/0.012523545283307031,811/0.010442046641141664,1360/0.019765287214329835,1257/0.016709511568123392,1799/0.011567216814783468,1469/0.013119702774875189,
1493/0.010536655058487365,1928/0.005199306759098787,2378/0.007296681023562199,1333/0.00662825455963263,742/0.012891012350130713,1562/0.005991889431432591,715/0.009094563360466285,507/0.01513675047099331,2129/0.012705604254900029,230/0.01436682725395733,1792/0.007444168734491315,2106/0.014631043256997456,587/0.01247263656264318,234/0.010268012530455969,1380/0.01945645460160593,2649/0.016388174807197942,2066/0.011426153195090986,1147/0.013003599210495763,
2495/0.010447361371551032,187/0.005148333163421347,1220/0.00719533823156828,1289/0.00662825455963263,655/0.012530424592085098,853/0.005991889431432591,419/0.008692593709174957,1821/0.014941856688104983,2262/0.012705604254900029,284/0.01428079834824501,293/0.007397350063205206,1643/0.013358778625954198,451/0.012269001679987781,1834/0.010268012530455969,674/0.019147621988882025,472/0.013817480719794344,1023/0.011426153195090986,1764/0.012655288517357482,
1973/0.010447361371551032,549/0.005148333163421347,1616/0.00714466683557132,197/0.006584932634406273,2028/0.012350130713062292,754/0.005975337250682777,393/0.008592101296352125,62/0.014876892093808875,630/0.012213138973702353,221/0.01419476944253269,1767/0.007397350063205206,1644/0.009541984732824428,1497/0.011658097032021586,1777/0.010093978419770276,1960/0.015750463248919086,810/0.013174807197943445,1599/0.011426153195090986,1923/0.01242308138859863,
2515/0.010447361371551032,60/0.005097359567743908,688/0.006891309855586522,215/0.006498288783953559,2652/0.012350130713062292,1170/0.005958785069932963,1326/0.008541855089940709,128/0.014487104528032223,2604/0.01211464591746282,196/0.013936682725395734,2144/0.007397350063205206,2619/0.003816793893129771,461/0.011505370870030037,376/0.00991994430908458,2344/0.015441630636195183,870/0.012853470437017995,2420/0.010438707857243617,2007/0.012306977824219203,
876/0.010447361371551032,64/0.0050463859720664694,1286/0.0066886242715986826,2274/0.00632500108304813,30/0.012079689894528081,2143/0.005925680708433336,2154/0.008441362677117878,2534/0.014487104528032223,95/0.01211464591746282,544/0.013850653819683414,2089/0.007210075378060771,1839/0.003816793893129771,1013/0.011403553428702336,702/0.009745910198398886,1568/0.015132798023471278,1043/0.007390745501285347,609/0.010438707857243617,929/0.01172646000232207,
1897/0.010358067684614699,1192/0.0049444387807115915,562/0.006637952875601723,850/0.00632500108304813,162/0.011538808257459659,681/0.005909128527683522,528/0.008391116470706462,120/0.014422139933736113,693/0.012016152861223284,82/0.01316242257398486,835/0.007210075378060771,1070/0.003816793893129771,517/0.011149009825383088,1105/0.009571876087713193,322/0.014515132798023472,,1083/0.010015516998166173,2340/0.011610356437942644,
1719/0.010358067684614699,1597/0.0049444387807115915,1646/0.006637952875601723,360/0.006238357232595417,988/0.011268367438925448,649/0.005859471985434081,52/0.008391116470706462,1744/0.014227246150847788,488/0.011720673692504678,1302/0.01316242257398486,2597/0.007163256706774662,2556/0.0019083969465648854,179/0.01074174006007229,2151/0.00904977375565611,409/0.014206300185299567,,1906/0.009874453378473692,1748/0.011494252873563218,
1624/0.010358067684614699,563/0.0049444387807115915,0/0.006637952875601723,1489/0.00619503530736906,1012/0.011088073559902642,1341/0.0058098154431846395,1570/0.008340870264295046,371/0.013967387773663353,643/0.011622180636265144,2645/0.012818306951135582,2084/0.007022800692916335,,1263/0.01074174006007229,1840/0.00904977375565611,1091/0.013897467572575664,,2107/0.00973338975878121,1927/0.011494252873563218,
2365/0.01017948031074203,148/0.0049444387807115915,845/0.006637952875601723,2242/0.006021747606463631,2219/0.010997926620391238,1144/0.0058098154431846395,244/0.008340870264295046,1796/0.013707529396478919,2507/0.011622180636265144,1536/0.012732278045423262,1190/0.006975982021630226,,2037/0.01069083133940844,582/0.00904977375565611,1917/0.013279802347127856,,2592/0.009592326139088728,357/0.011378149309183792,
1912/0.009822305562996696,1577/0.0048934651850341526,663/0.006536610083607803,464/0.005978425681237274,2027/0.010907779680879835,256/0.0057601589009351984,487/0.008340870264295046,2163/0.013512635613590594,13/0.011326701467546538,2369/0.012302133516861666,942/0.0067418886651996815,,1754/0.010487196456753042,2467/0.00870170553428472,973/0.01266213712168005,,232/0.009451262519396248,2392/0.011378149309183792,
1473/0.009822305562996696,2489/0.0048934651850341526,247/0.006485938687610843,1123/0.005935103756010917,837/0.010637338862345623,903/0.0057436067201853845,815/0.008240377851472214,2641/0.01318781264211005,1098/0.011031222298827933,2334/0.012044046799724708,2075/0.0067418886651996815,,225/0.010232652853433792,994/0.00870170553428472,2549/0.011426806670784434,,272/0.009310198899703767,1734/0.011262045744804366,
