Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
142/0.007589963389588356,1462/0.00392496686716281,1891/0.005016468203699012,2436/0.004895377550578348,1042/0.007211755160912287,2088/0.004733923694446743,1198/0.006230529595015576,1466/0.007730786721236926,2374/0.006993006993006993,2313/0.0064521679284239505,369/0.005430965869188633,,1226/0.008043577864888256,121/0.0060911938739993034,,,1545/0.006629990125546621,493/0.005108556832694764,
2017/0.007322082328779355,785/0.00392496686716281,1398/0.0049657968077020526,406/0.004895377550578348,2119/0.0071216082214008835,381/0.004684267152197302,2621/0.006130037182192744,784/0.007405963749756383,1157/0.0068945139367674576,2337/0.0062801101169993115,2513/0.005430965869188633,,2165/0.007941760423560556,2171/0.0060911938739993034,,,1543/0.006488926505854141,1626/0.005108556832694764,
1825/0.007143494954906688,1104/0.0038739932714853707,1802/0.0049657968077020526,379/0.004895377550578348,1120/0.0071216082214008835,631/0.004667714971447488,814/0.006130037182192744,2426/0.007211069966868057,984/0.0068945139367674576,530/0.006108052305574673,944/0.005384147197902524,,2271/0.007738125540905157,2661/0.0060911938739993034,,,1529/0.006488926505854141,991/0.004992453268315337,
1216/0.007054201267970355,906/0.0038739932714853707,1794/0.004915125411705092,566/0.004852055625351991,501/0.00703146128188948,59/0.004667714971447488,2335/0.006029544769369913,2104/0.006431494835314753,2557/0.006796020880527923,987/0.0056779077770130765,2145/0.005384147197902524,,1068/0.007738125540905157,1801/0.005917159763313609,,,854/0.006206799266469177,1403/0.004992453268315337,
2249/0.007054201267970355,364/0.0037720460801304923,936/0.004915125411705092,937/0.004852055625351991,2103/0.0067610204633552695,1728/0.004667714971447488,1901/0.005929052356547081,569/0.006431494835314753,2339/0.0066975278242883875,1974/0.005333792154163799,905/0.005337328526616414,,458/0.007534490658249758,2658/0.005743125652627915,,,1041/0.005924672027084215,2210/0.004644142575177058,
2423/0.007054201267970355,2500/0.0037720460801304923,940/0.0048644540157081325,389/0.004852055625351991,1227/0.006400432705309655,902/0.004651162790697674,1828/0.005929052356547081,2393/0.003962840252062626,2110/0.006599034768048853,805/0.00524776324845148,353/0.005290509855330305,,1465/0.007483581937585909,2034/0.005569091541942221,,,2012/0.005924672027084215,297/0.004528039010797631,
1752/0.007054201267970355,1178/0.0037720460801304923,792/0.0048644540157081325,2264/0.004808733700125634,1479/0.006310285765798251,1860/0.004618058429198046,1088/0.005878806150135665,1425/0.0033781589033976484,1814/0.006402048655569782,1779/0.00516173434273916,1972/0.0052436911840441965,,1921/0.007432673216922058,953/0.005569091541942221,,,506/0.005924672027084215,154/0.004528039010797631,
2076/0.006875613894097687,1119/0.0037720460801304923,722/0.004813782619711173,1426/0.0047654117748992765,2593/0.006220138826286847,2555/0.004584954067698419,1159/0.0057783137373128325,969/0.0016241148574027155,1460/0.006205062543090712,751/0.0049036476256022025,1382/0.0052436911840441965,,2591/0.007381764496258209,2004/0.005569091541942221,,,1454/0.005783608407391734,2215/0.004411935446418205,
1964/0.006786320207161353,2289/0.0037720460801304923,428/0.004763111223714213,2309/0.0047654117748992765,1290/0.006039844947264041,735/0.004568401886948605,2638/0.005677821324490001,,1093/0.006106569486851177,2607/0.004817618719889883,388/0.0052436911840441965,,417/0.007025403451611261,1510/0.005569091541942221,,,1049/0.005642544787699252,1024/0.004411935446418205,
1687/0.00669702652022502,392/0.0037720460801304923,404/0.004712439827717254,261/0.004722089849672919,1076/0.005949698007752637,2003/0.0045518497061987915,1005/0.005627575118078585,,1475/0.005909583374372107,1714/0.004817618719889883,375/0.005196872512758088,,366/0.007025403451611261,434/0.005395057431256526,,,2321/0.005642544787699252,1800/0.004411935446418205,
2133/0.00669702652022502,2016/0.0037210724844530534,750/0.004712439827717254,603/0.004678767924446562,679/0.005769404128729829,866/0.0045352975254489775,16/0.005627575118078585,,531/0.005909583374372107,1947/0.004817618719889883,2158/0.005196872512758088,,2570/0.007025403451611261,1712/0.005395057431256526,,,624/0.005642544787699252,899/0.004295831882038779,
2023/0.00669702652022502,2036/0.0037210724844530534,1722/0.004661768431720294,2043/0.004678767924446562,1614/0.005589110249707023,559/0.0044856409831995365,1936/0.005627575118078585,,1205/0.005811090318132572,2463/0.0047315898141775635,1785/0.005196872512758088,,1233/0.006872677289619712,2182/0.005395057431256526,,,2122/0.005642544787699252,2646/0.004295831882038779,
2256/0.00669702652022502,1229/0.0037210724844530534,1651/0.004661768431720294,721/0.004678767924446562,797/0.005498963310195619,1535/0.0044690888024497225,193/0.005627575118078585,,1549/0.005712597261893037,532/0.0047315898141775635,1040/0.005150053841471979,,477/0.006669042406964313,2109/0.005046989209885138,,,2156/0.005501481168006771,1393/0.004295831882038779,
1707/0.00669702652022502,15/0.0037210724844530534,593/0.004661768431720294,2529/0.004635445999220205,799/0.005498963310195619,2411/0.0044525366216999086,413/0.005577328911667169,,2283/0.005318625036934896,2673/0.004301445285615967,542/0.00510323517018587,,1755/0.006516316244972764,676/0.005046989209885138,,,2577/0.00536041754831429,2255/0.004295831882038779,
203/0.006518439146352353,25/0.0037210724844530534,257/0.004661768431720294,1724/0.004635445999220205,1518/0.005408816370684215,514/0.0044194322602002815,796/0.005527082705255753,,670/0.005023145868216291,864/0.003785271851342051,401/0.00510323517018587,,557/0.006465407524308914,1507/0.005046989209885138,,,2625/0.00536041754831429,2175/0.004295831882038779,
1559/0.006518439146352353,204/0.0036700988887756144,1698/0.004661768431720294,709/0.004592124073993848,1590/0.005228522491661408,1256/0.0043532235372010265,625/0.005476836498844337,,2623/0.005023145868216291,2150/0.003699242945629732,2176/0.005056416498899761,,2081/0.0063635900829812145,2442/0.004872955099199443,,,2077/0.004796163069544364,1363/0.004295831882038779,
492/0.006518439146352353,541/0.0036700988887756144,2370/0.004611097035723334,48/0.004548802148767492,1339/0.004958081673127198,1797/0.004336671356451213,2025/0.005376344086021506,,304/0.004924652811976756,878/0.003355127322780454,2608/0.005056416498899761,,26/0.0063635900829812145,1970/0.004872955099199443,,,2167/0.004090844971081958,1565/0.004295831882038779,
2345/0.006429145459416019,1180/0.0036700988887756144,2241/0.004611097035723334,66/0.004548802148767492,2189/0.004867934733615794,1496/0.004320119175701399,2634/0.005376344086021506,,2162/0.004530680587018616,294/0.0027529249827942187,1021/0.005056416498899761,,1681/0.0062617726416535156,2234/0.004872955099199443,,,622/0.003808717731696995,1850/0.003947521188900499,
2128/0.006429145459416019,1443/0.003619125293098175,594/0.004611097035723334,588/0.004548802148767492,947/0.004867934733615794,355/0.004320119175701399,1747/0.00532609787961009,,1763/0.004530680587018616,1125/0.00258086717136958,2193/0.005056416498899761,,1217/0.005752685435015018,844/0.004698920988513749,,,640/0.003808717731696995,997/0.0037153140601416464,
1453/0.006429145459416019,2237/0.003619125293098175,18/0.004560425639726374,691/0.004548802148767492,2038/0.00477778779410439,319/0.004320119175701399,1094/0.005225605466787258,,1185/0.00443218753077908,806/0.002494838265657261,892/0.005009597827613652,,447/0.005498141831695769,615/0.004698920988513749,,,1863/0.003808717731696995,1163/0.0037153140601416464,
667/0.006429145459416019,1600/0.003619125293098175,798/0.004509754243729415,258/0.004548802148767492,2491/0.004597493915081583,1053/0.004303566994951585,2624/0.005175359260375842,,2236/0.00423520141830001,2111/0.0024088093599449415,1166/0.004962779156327543,,2343/0.004938145904393423,1596/0.004698920988513749,,,1248/0.003667654112004514,123/0.003367003367003367,
725/0.006250558085543352,841/0.003568151697420736,2/0.004459082847732455,1692/0.004462158298314777,1735/0.004507346975570179,2473/0.004303566994951585,1116/0.005175359260375842,,1457/0.004136708362060475,1869/0.0017205781142463868,2294/0.004915960485041435,,601/0.0047854197424018734,1992/0.004698920988513749,,,2131/0.0035265904923120327,2525/0.003134796238244514,
1746/0.006250558085543352,1793/0.003568151697420736,1649/0.004459082847732455,176/0.004462158298314777,2421/0.004417200036058776,90/0.004287014814201771,2064/0.0051251130539644255,,1377/0.004136708362060475,2531/0.0006022023399862354,1937/0.004915960485041435,,218/0.004683602301074174,1918/0.004524886877828055,,,1773/0.0035265904923120327,286/0.003134796238244514,
2519/0.006250558085543352,296/0.003568151697420736,668/0.004459082847732455,34/0.00441883637308842,2526/0.004417200036058776,2183/0.004287014814201771,1731/0.0050748668475530095,,1760/0.004038215305820939,,1102/0.004822323142469217,,159/0.004632693580410324,831/0.004524886877828055,,,1330/0.0032444632529270703,684/0.003134796238244514,
2407/0.0060719707116706845,116/0.003568151697420736,1427/0.0044084114517354955,1011/0.00441883637308842,1328/0.004056612278013161,312/0.004287014814201771,1268/0.0050748668475530095,,1097/0.004038215305820939,,686/0.004822323142469217,,2496/0.004479967418418775,1383/0.004524886877828055,,,1505/0.0031033996332345886,1447/0.0026703819807268082,
977/0.0060719707116706845,1977/0.003517178101743297,1774/0.0044084114517354955,56/0.00441883637308842,1836/0.0036058775804561436,77/0.004270462633451958,1297/0.005024620641141593,,1594/0.003939722249581405,,2211/0.004775504471183108,,1370/0.004378149977091076,2270/0.004524886877828055,,,863/0.0031033996332345886,1291/0.0026703819807268082,
1269/0.0060719707116706845,175/0.003517178101743297,666/0.0044084114517354955,1716/0.00441883637308842,1255/0.00351573064094474,930/0.004253910452702144,1561/0.004924128228318762,,2326/0.0038412291933418692,,2568/0.004728685799896999,,1140/0.004276332535763376,2430/0.004524886877828055,,,1090/0.0031033996332345886,206/0.0024381748519679554,
485/0.005893383337798017,908/0.0034662045060658577,1930/0.004357740055738536,2259/0.004288870597409349,2010/0.0025241143063193003,471/0.004220806091202516,103/0.004924128228318762,,2532/0.0038412291933418692,,1727/0.004728685799896999,,513/0.004276332535763376,2280/0.00435085276714236,,,2305/0.002821272393849626,1259/0.002322071287588529,
1993/0.005893383337798017,920/0.0034662045060658577,2269/0.004357740055738536,1758/0.004288870597409349,1680/0.0020733796087622825,2664/0.004204253910452702,1905/0.004924128228318762,,1664/0.0015758888998325619,,96/0.004588229786038673,,1352/0.004021788932444128,1072/0.00435085276714236,,,1396/0.002680208774157145,1258/0.002322071287588529,
1293/0.005536208590052683,1867/0.0034662045060658577,1631/0.004357740055738536,1127/0.004288870597409349,1313/0.001532497971693861,1006/0.004204253910452702,339/0.004924128228318762,,,,1003/0.004494592443466454,,1909/0.003767245329124879,968/0.004176818656456666,,,2008/0.002680208774157145,779/0.0019737605944502496,
1902/0.005179033842307349,1162/0.0034152309103884187,2203/0.004357740055738536,923/0.004288870597409349,,1648/0.004204253910452702,2622/0.00482363581549593,,,,454/0.004400955100894236,,1528/0.0035127017258056305,880/0.0040027845457709715,,,2260/0.0025391451544646637,1770/0.0018576570300708232,
916/0.005000446468434682,2372/0.0034152309103884187,1387/0.004357740055738536,1499/0.0042022267469566344,,440/0.004187701729702889,1933/0.00482363581549593,,,,43/0.0043541364296081275,,2490/0.0035127017258056305,1215/0.0040027845457709715,,,2049/0.0025391451544646637,1830/0.0018576570300708232,
1736/0.005000446468434682,2238/0.0034152309103884187,2446/0.004307068659741576,86/0.0042022267469566344,,1605/0.004187701729702889,2403/0.004773389609084514,,,,1209/0.0043541364296081275,,2035/0.003461793005141781,2040/0.0040027845457709715,,,918/0.0025391451544646637,1598/0.0018576570300708232,
2522/0.004821859094562015,2546/0.0034152309103884187,1526/0.004307068659741576,1551/0.0042022267469566344,,101/0.004154597368203261,453/0.004723143402673098,,,,2361/0.0043541364296081275,,1942/0.0031054319604948326,1732/0.0040027845457709715,,,2405/0.002398081534772182,2100/0.0016254499013119703,
1428/0.004732565407625681,285/0.0033642573147109798,652/0.004205725867747656,917/0.004158904821730277,,1172/0.004154597368203261,29/0.004723143402673098,,,,520/0.0043541364296081275,,538/0.0031054319604948326,490/0.0040027845457709715,,,2113/0.002257017915079701,2060/0.001277139208173691,
469/0.004107509599071346,515/0.0033642573147109798,2178/0.004205725867747656,741/0.004158904821730277,,259/0.004154597368203261,1455/0.004622650989850267,,,,1778/0.004307317758322019,,2147/0.0025963447538563354,1174/0.0038287504350852765,,,2299/0.0021159542953872196,1846/0.001277139208173691,
613/0.004018215912135012,547/0.0032623101233561014,1544/0.004155054471750697,1366/0.004158904821730277,,1165/0.004138045187453447,51/0.004622650989850267,,,,747/0.004213680415749801,,1666/0.0025963447538563354,1515/0.0038287504350852765,,,410/0.0019748906756947384,1676/0.001277139208173691,
1001/0.004018215912135012,720/0.0032623101233561014,1641/0.004155054471750697,106/0.004072260971277564,,2674/0.004121493006703633,2253/0.004622650989850267,,,,186/0.004166861744463692,,1788/0.0025963447538563354,100/0.0038287504350852765,,,1416/0.0019748906756947384,,
726/0.0038396285382623447,971/0.0032623101233561014,1124/0.004104383075753737,823/0.004072260971277564,,708/0.00410494082595382,551/0.004522158577027435,,,,2055/0.004120043073177583,,,1421/0.0038287504350852765,,,1115/0.0019748906756947384,,
438/0.0038396285382623447,130/0.0032623101233561014,361/0.004104383075753737,1851/0.004072260971277564,,67/0.004071836464454192,2072/0.0044719123706160185,,,,2450/0.004120043073177583,,,1332/0.0036547163243995824,,,1684/0.0019748906756947384,,
1470/0.0038396285382623447,2512/0.0032623101233561014,1265/0.003901697491765898,211/0.004072260971277564,,183/0.004071836464454192,1739/0.0044216661642046025,,,,1984/0.004120043073177583,,,1696/0.0036547163243995824,,,2227/0.001833827056002257,,
1240/0.0038396285382623447,2657/0.0032623101233561014,42/0.003901697491765898,1609/0.004072260971277564,,345/0.004071836464454192,821/0.0044216661642046025,,,,2146/0.004120043073177583,,,233/0.0036547163243995824,,,2499/0.001833827056002257,,
1533/0.0036610411643896775,1442/0.0032113365276786624,1199/0.003901697491765898,2239/0.004028939046051207,,680/0.004071836464454192,2315/0.004371419957793186,,,,2437/0.004073224401891474,,,45/0.0036547163243995824,,,2579/0.001833827056002257,,
2380/0.0034824537905170103,2603/0.0032113365276786624,1194/0.003901697491765898,1131/0.004028939046051207,,2672/0.004071836464454192,1057/0.00432117375138177,,,,1823/0.004073224401891474,,,2453/0.0036547163243995824,,,1350/0.001833827056002257,,
777/0.0034824537905170103,2152/0.0032113365276786624,1980/0.003901697491765898,1604/0.0039422951955984924,,118/0.004038732102954564,1751/0.00432117375138177,,,,35/0.004073224401891474,,,1464/0.003480682213713888,,,2427/0.0016927634363097758,,
1864/0.0034824537905170103,565/0.0032113365276786624,2164/0.0038510260957689384,1109/0.0038989732703721353,,768/0.004038732102954564,2350/0.00432117375138177,,,,2562/0.0040264057306053655,,,1782/0.003480682213713888,,,1612/0.0016927634363097758,,
2564/0.0030359853558353423,1323/0.0032113365276786624,685/0.0038510260957689384,2671/0.0038989732703721353,,236/0.004022179922204751,718/0.004220681338558939,,,,2539/0.0040264057306053655,,,1935/0.003480682213713888,,,1541/0.0015516998166172943,,
2524/0.0027681042950263414,2589/0.0032113365276786624,983/0.003800354699771979,2246/0.0038989732703721353,,426/0.004022179922204751,713/0.004220681338558939,,,,158/0.0040264057306053655,,,2244/0.003480682213713888,,,1939/0.0015516998166172943,,
2552/0.002678810608090008,2202/0.0032113365276786624,1471/0.003800354699771979,149/0.0038989732703721353,,2460/0.003989075560705123,2408/0.004220681338558939,,,,200/0.003979587059319257,,,1148/0.003480682213713888,,,2070/0.0015516998166172943,,
1327/0.002678810608090008,2538/0.0032113365276786624,2431/0.003749683303775019,1260/0.003855651345145778,,239/0.003972523379955309,1991/0.004220681338558939,,,,611/0.003979587059319257,,,2665/0.0033066481030281933,,,1672/0.001410636196924813,,
,1842/0.0032113365276786624,2068/0.0036483405117810996,2228/0.003855651345145778,,1182/0.003972523379955309,757/0.004220681338558939,,,,33/0.003979587059319257,,,1929/0.0033066481030281933,,,2509/0.001410636196924813,,
,1433/0.0032113365276786624,1401/0.0036483405117810996,1169/0.003855651345145778,,789/0.003972523379955309,2173/0.004220681338558939,,,,1129/0.003932768388033148,,,444/0.0033066481030281933,,,1811/0.0012695725772323319,,
,1038/0.0032113365276786624,457/0.0036483405117810996,1673/0.003855651345145778,,938/0.003939419018455682,935/0.004220681338558939,,,,595/0.003932768388033148,,,2497/0.0033066481030281933,,,1262/0.0007053180984624065,,
,978/0.0032113365276786624,2300/0.00359766911578414,521/0.0038123294199194214,,1467/0.003922866837705868,1607/0.004120188925736107,,,,1273/0.0038859497167470385,,,2247/0.003132613992342499,,,2052/0.0007053180984624065,,
,2429/0.0032113365276786624,766/0.00359766911578414,924/0.0038123294199194214,,181/0.003906314656956054,1151/0.004120188925736107,,,,1903/0.0038859497167470385,,,1251/0.003132613992342499,,,2354/0.0002821272393849626,,
,2278/0.0031603629320012235,2230/0.00359766911578414,133/0.003725685569466707,,535/0.0038732102954564264,2045/0.004120188925736107,,,,1878/0.0038859497167470385,,,2475/0.003132613992342499,,,,,
,182/0.0031603629320012235,1177/0.00354699771978718,2273/0.003725685569466707,,1310/0.0038566581147066125,1142/0.004019696512913275,,,,1900/0.0038391310454609297,,,2046/0.003132613992342499,,,,,
,641/0.0031603629320012235,1037/0.0034963263237902205,1560/0.003725685569466707,,553/0.003840105933956799,2482/0.004019696512913275,,,,510/0.0038391310454609297,,,1134/0.0029585798816568047,,,,,
,1822/0.0031603629320012235,1237/0.0034963263237902205,882/0.003725685569466707,,1975/0.003823553753206985,975/0.003969450306501859,,,,192/0.003792312374174821,,,1553/0.0029585798816568047,,,,,
,1015/0.0031603629320012235,2521/0.0034963263237902205,2030/0.00368236364424035,,1101/0.003823553753206985,1358/0.003868957893679027,,,,1202/0.003745493702888712,,,2296/0.0029585798816568047,,,,,
,57/0.0031603629320012235,2487/0.003394983531796301,871/0.00368236364424035,,2388/0.003807001572457171,1819/0.003868957893679027,,,,1342/0.003745493702888712,,,503/0.0029585798816568047,,,,,
,642/0.0031603629320012235,2415/0.003394983531796301,1321/0.00368236364424035,,1152/0.0037904493917073575,1546/0.003868957893679027,,,,235/0.003745493702888712,,,1503/0.0029585798816568047,,,,,
,2320/0.003109389336323784,352/0.003394983531796301,2120/0.00368236364424035,,172/0.0037738972109575435,2595/0.0037684654808561955,,,,1337/0.003698675031602603,,,2117/0.0027845457709711106,,,,,
,2306/0.003109389336323784,398/0.0033443121357993413,2067/0.00368236364424035,,1096/0.003724240668708102,1504/0.0037684654808561955,,,,2406/0.0036518563603164943,,,2240/0.0027845457709711106,,,,,
,1870/0.003109389336323784,2290/0.0032936407398023817,1100/0.00368236364424035,,1908/0.003724240668708102,573/0.0037182192744447794,,,,415/0.0036518563603164943,,,1365/0.0027845457709711106,,,,,
,223/0.003109389336323784,1488/0.0032936407398023817,1164/0.0035957197937876357,,2121/0.003724240668708102,161/0.0036679730680333634,,,,2342/0.0036518563603164943,,,752/0.0024364775495997215,,,,,
,2186/0.003109389336323784,1349/0.0032936407398023817,483/0.0035957197937876357,,53/0.0037076884879582886,2098/0.0036679730680333634,,,,1048/0.0036518563603164943,,,2155/0.0024364775495997215,,,,,
,2074/0.003109389336323784,1067/0.0032429693438054217,478/0.003552397868561279,,1412/0.0037076884879582886,2180/0.0036177268616219473,,,,252/0.0036050376890303854,,,1899/0.0024364775495997215,,,,,
,102/0.003058415740646345,2630/0.003192297947808462,1280/0.003509075943334922,,1014/0.0036911363072084746,219/0.0036177268616219473,,,,1617/0.0036050376890303854,,,567/0.0022624434389140274,,,,,
,2201/0.003058415740646345,143/0.003192297947808462,647/0.003509075943334922,,1775/0.0036911363072084746,2079/0.0036177268616219473,,,,2572/0.0036050376890303854,,,1477/0.0022624434389140274,,,,,
,1458/0.003058415740646345,648/0.003192297947808462,240/0.0034224320928822076,,1371/0.0036911363072084746,1357/0.0036177268616219473,,,,2137/0.0036050376890303854,,,394/0.002088409328228333,,,,,
,2005/0.003007442144968906,2492/0.003192297947808462,2585/0.0033357882424294937,,476/0.0036911363072084746,2642/0.0035172344487991157,,,,141/0.0036050376890303854,,,1713/0.002088409328228333,,,,,
,1381/0.003007442144968906,1054/0.003192297947808462,628/0.0032491443919767794,,580/0.0036249275842092196,675/0.0035172344487991157,,,,979/0.0035582190177442766,,,2196/0.002088409328228333,,,,,
,2185/0.003007442144968906,1894/0.0031416265518115025,560/0.0032058224667504223,,1219/0.0036083754034594057,1653/0.0035172344487991157,,,,2071/0.0035114003464581673,,,893/0.002088409328228333,,,,,
,945/0.002956468549291467,1388/0.0031416265518115025,842/0.003162500541524065,,2254/0.0035256144997103367,2637/0.0035172344487991157,,,,699/0.0035114003464581673,,,2581/0.002088409328228333,,,,,
,2359/0.002956468549291467,1196/0.003040283759817583,1143/0.003162500541524065,,2065/0.0035256144997103367,2352/0.0030147723846849564,,,,2179/0.0034645816751720585,,,1245/0.002088409328228333,,,,,
,188/0.002956468549291467,1114/0.003040283759817583,2599/0.003162500541524065,,58/0.003509062318960523,153/0.0029142799718621243,,,,1141/0.0033709443325998407,,,2479/0.001740341106856944,,,,,
,1314/0.002956468549291467,1950/0.0029896123638206234,2160/0.0030758566910713513,,527/0.003509062318960523,1348/0.0029142799718621243,,,,1691/0.0033709443325998407,,,2364/0.001740341106856944,,,,,
,1311/0.002956468549291467,1150/0.0029896123638206234,1919/0.0030758566910713513,,1743/0.0034925101382107093,1145/0.0027635413526278766,,,,1572/0.003324125661313732,,,1907/0.001740341106856944,,,,,
,1859/0.002905494953614028,729/0.0029896123638206234,602/0.0030758566910713513,,855/0.0034594057767110818,2006/0.002663048939805045,,,,1895/0.003230488318741514,,,2530/0.001740341106856944,,,,,
,391/0.002905494953614028,1440/0.0029389409678236634,2090/0.003032534765844994,,407/0.0034594057767110818,2102/0.002663048939805045,,,,740/0.003230488318741514,,,2580/0.001740341106856944,,,,,
,2618/0.002905494953614028,1718/0.0029389409678236634,770/0.002989212840618637,,1580/0.003442853595961268,1804/0.002663048939805045,,,,1500/0.0031836696474554053,,,1847/0.001740341106856944,,,,,
,732/0.002854521357936589,266/0.0029389409678236634,1531/0.002989212840618637,,1179/0.003442853595961268,1512/0.002663048939805045,,,,2050/0.0031368509761692965,,,2018/0.001740341106856944,,,,,
,1920/0.002854521357936589,967/0.0029389409678236634,1301/0.00294589091539228,,2209/0.0034097492344616403,2048/0.002612802733393629,,,,268/0.0031368509761692965,,,1018/0.0013922728854855553,,,,,
,965/0.00280354776225915,494/0.0028882695718267038,921/0.00294589091539228,,2386/0.0033931970537118264,1725/0.002361571701336549,,,,1154/0.003090032304883187,,,2389/0.0012182387747998607,,,,,
,2024/0.00280354776225915,1244/0.0028882695718267038,358/0.002815925139713209,,1087/0.0033931970537118264,1155/0.002361571701336549,,,,1390/0.003090032304883187,,,2486/0.0012182387747998607,,,,,
,496/0.0027525741665817105,2159/0.0028882695718267038,1168/0.0027726032144868517,,832/0.003376644872962013,2609/0.0023113254949251334,,,,92/0.003090032304883187,,,1983/0.0012182387747998607,,,,,
,1408/0.0027525741665817105,2387/0.0028882695718267038,662/0.0027726032144868517,,2272/0.0033269883307125714,1498/0.0022610792885137173,,,,1207/0.0029963949623109695,,,2277/0.0012182387747998607,,,,,
,1640/0.0027525741665817105,1737/0.0028882695718267038,817/0.0027726032144868517,,1343/0.0033269883307125714,489/0.0019093558436338056,,,,2308/0.002902757619738752,,,2462/0.0012182387747998607,,,,,
,1292/0.0027525741665817105,2282/0.002837598175829744,1171/0.0027726032144868517,,1621/0.0033269883307125714,1132/0.0019093558436338056,,,,425/0.002902757619738752,,,1694/0.0010442046641141664,,,,,
,847/0.0027525741665817105,400/0.002786926779832784,1591/0.0027292812892604945,,654/0.0033269883307125714,2130/0.0019093558436338056,,,,273/0.002902757619738752,,,1432/0.0010442046641141664,,,,,
,1200/0.0027525741665817105,620/0.002786926779832784,635/0.0027292812892604945,,1022/0.0033104361499627574,1338/0.0014571399859310621,,,,1879/0.002902757619738752,,,2094/0.0010442046641141664,,,,,
,1786/0.0027525741665817105,2029/0.0027362553838358246,948/0.0026426374388077807,,791/0.0033104361499627574,2410/0.0012561551602853984,,,,209/0.002902757619738752,,,331/0.000870170553428472,,,,,
,1239/0.0027525741665817105,1329/0.0027362553838358246,2126/0.0026426374388077807,,281/0.00327733178846313,1957/0.000854185508994071,,,,2285/0.002902757619738752,,,575/0.000870170553428472,,,,,
,1324/0.0025996533795493936,1524/0.0027362553838358246,1780/0.0026426374388077807,,2324/0.0032607796077133164,1885/0.000803939302582655,,,,2485/0.0027623016058804253,,,2547/0.0006961364427427776,,,,,
,1459/0.002548679783871954,1294/0.0027362553838358246,550/0.0026426374388077807,,707/0.0032607796077133164,,,,,2476/0.0027623016058804253,,,1953/0.0005221023320570832,,,,,
,2091/0.002548679783871954,2199/0.0027362553838358246,840/0.0026426374388077807,,2225/0.0032607796077133164,,,,,2157/0.0027154829345943164,,,1033/0.0005221023320570832,,,,,
,208/0.002548679783871954,952/0.002685583987838865,646/0.0025993155135814235,,2019/0.0032607796077133164,,,,,776/0.0027154829345943164,,,592/0.0005221023320570832,,,,,
,653/0.002548679783871954,348/0.002685583987838865,2134/0.0025993155135814235,,540/0.0032442274269635024,,,,,465/0.0026218455920220983,,,2434/0.0005221023320570832,,,,,
,109/0.002548679783871954,1654/0.002685583987838865,253/0.0025993155135814235,,135/0.0032442274269635024,,,,,174/0.0025750269207359894,,,2357/0.0005221023320570832,,,,,
,2303/0.0024977061881945152,584/0.002685583987838865,2336/0.0025993155135814235,,55/0.0032276752462136885,,,,,1969/0.0025750269207359894,,,2266/0.0003480682213713888,,,,,
,962/0.0024977061881945152,1299/0.0026349125918419054,1701/0.0025559935883550664,,1261/0.003211123065463875,,,,,1355/0.0025282082494498806,,,1645/0.0003480682213713888,,,,,
,2654/0.0024977061881945152,714/0.0026349125918419054,1208/0.0025559935883550664,,1772/0.0031780187039642475,,,,,2166/0.0025282082494498806,,,,,,,,
,1106/0.0024977061881945152,1715/0.0025842411958449454,529/0.0025559935883550664,,169/0.0031449143424646196,,,,,300/0.002434570906877663,,,,,,,,
,2329/0.0024977061881945152,146/0.0025842411958449454,537/0.0025559935883550664,,1573/0.003128362161714806,,,,,775/0.002434570906877663,,,,,,,,
,2112/0.0024977061881945152,746/0.002533569799847986,2466/0.0025559935883550664,,1890/0.003128362161714806,,,,,1420/0.002434570906877663,,,,,,,,
,890/0.0024977061881945152,2353/0.0024828984038510263,136/0.0025559935883550664,,1571/0.003128362161714806,,,,,1167/0.002387752235591554,,,,,,,,
,950/0.0024977061881945152,210/0.0023815556118571067,1709/0.0025126716631287092,,2401/0.003111809980964992,,,,,802/0.002340933564305445,,,,,,,,
,605/0.0024467325925170763,1002/0.0023815556118571067,2220/0.0024693497379023525,,2545/0.0030621534387155506,,,,,1270/0.002200477550447118,,,,,,,,
,738/0.0024467325925170763,1566/0.002330884215860147,2161/0.0024693497379023525,,730/0.003045601257965737,,,,,1956/0.0021536588791610093,,,,,,,,
,418/0.0024467325925170763,2355/0.002280212819863187,229/0.0024693497379023525,,127/0.003029049077215923,,,,,912/0.0021536588791610093,,,,,,,,
,826/0.002395758996839637,167/0.002280212819863187,1655/0.0024693497379023525,,1307/0.003029049077215923,,,,,1818/0.0021536588791610093,,,,,,,,
,10/0.002395758996839637,1480/0.0022295414238662275,2596/0.0024260278126759954,,1575/0.003029049077215923,,,,,1776/0.0021068402078749005,,,,,,,,
,512/0.002344785401162198,1567/0.0022295414238662275,1576/0.0024260278126759954,,11/0.0030124968964661096,,,,,1622/0.0021068402078749005,,,,,,,,
,928/0.002344785401162198,1092/0.0022295414238662275,1954/0.0024260278126759954,,696/0.0029793925349664817,,,,,1435/0.0021068402078749005,,,,,,,,
,907/0.002344785401162198,2439/0.002178870027869268,2327/0.0024260278126759954,,926/0.002962840354216668,,,,,1579/0.0021068402078749005,,,,,,,,
,2501/0.002344785401162198,117/0.002178870027869268,1627/0.0023827058874496382,,731/0.002962840354216668,,,,,333/0.0020132028653026828,,,,,,,,
