Topic 1,Topic 2,Topic 3,Topic 4
1216/0.0012057939160828488,2125/0.0009226355661594574,,
1110/0.0012057939160828488,989/0.0009226355661594574,,
1539/0.0012057939160828488,1755/0.0009226355661594574,,
2423/0.0012057939160828488,247/0.0009226355661594574,,
1752/0.0012057939160828488,2136/0.0009226355661594574,,
501/0.0011905307019552177,69/0.0009154274757988367,,
1670/0.0011905307019552177,557/0.0009154274757988367,,
2076/0.0011752674878275867,1887/0.0009154274757988367,,
2375/0.0011752674878275867,482/0.0009154274757988367,,
2267/0.0011752674878275867,1064/0.0009154274757988367,,
761/0.0011752674878275867,1187/0.0009082193854382159,,
1118/0.0011752674878275867,166/0.0009010112950775951,,
1128/0.0011600042736999558,1795/0.0009010112950775951,,
1964/0.0011600042736999558,134/0.0009010112950775951,,
539/0.0011600042736999558,26/0.0009010112950775951,,
1028/0.0011600042736999558,2081/0.0009010112950775951,,
2133/0.0011447410595723248,1837/0.0009010112950775951,,
599/0.0011447410595723248,717/0.0009010112950775951,,
1707/0.0011447410595723248,346/0.0009010112950775951,,
2256/0.0011447410595723248,1198/0.0008938032047169744,,
1687/0.0011447410595723248,334/0.0008938032047169744,,
1829/0.0011447410595723248,1495/0.0008938032047169744,,
2023/0.0011447410595723248,321/0.0008938032047169744,,
2103/0.0011447410595723248,54/0.0008938032047169744,,
2313/0.0011447410595723248,999/0.0008938032047169744,,
2400/0.0011447410595723248,712/0.0008938032047169744,,
28/0.0011294778454446937,2195/0.0008938032047169744,,
609/0.0011294778454446937,1808/0.0008938032047169744,,
2420/0.0011294778454446937,519/0.0008938032047169744,,
1559/0.0011142146313170627,2468/0.0008938032047169744,,
203/0.0011142146313170627,1583/0.0008938032047169744,,
492/0.0011142146313170627,932/0.0008938032047169744,,
2337/0.0011142146313170627,449/0.0008938032047169744,,
667/0.0010989514171894318,2200/0.0008865951143563536,,
1230/0.0010989514171894318,163/0.0008865951143563536,,
2002/0.0010989514171894318,299/0.0008865951143563536,,
2128/0.0010989514171894318,1681/0.0008865951143563536,,
1453/0.0010989514171894318,2561/0.0008865951143563536,,
2345/0.0010989514171894318,1276/0.0008793870239957328,,
1083/0.0010836882030618009,2333/0.0008793870239957328,,
1243/0.0010836882030618009,2621/0.0008793870239957328,,
2374/0.0010836882030618009,814/0.0008793870239957328,,
530/0.0010836882030618009,2216/0.0008721789336351121,,
1227/0.0010836882030618009,1483/0.0008721789336351121,,
972/0.0010836882030618009,1078/0.0008721789336351121,,
984/0.0010684249889341697,311/0.0008649708432744913,,
1157/0.0010684249889341697,1733/0.0008649708432744913,,
1906/0.0010684249889341697,2335/0.0008649708432744913,,
1746/0.0010684249889341697,633/0.0008649708432744913,,
2519/0.0010684249889341697,147/0.0008577627529138706,,
725/0.0010684249889341697,523/0.0008577627529138706,,
1479/0.0010684249889341697,1618/0.0008577627529138706,,
2107/0.0010531617748065387,1351/0.0008577627529138706,,
298/0.0010531617748065387,317/0.0008577627529138706,,
2557/0.0010531617748065387,306/0.0008577627529138706,,
416/0.0010531617748065387,1532/0.0008577627529138706,,
2593/0.0010531617748065387,1466/0.0008577627529138706,,
977/0.0010378985606789078,1161/0.0008577627529138706,,
1269/0.0010378985606789078,1901/0.0008505546625532498,,
2407/0.0010378985606789078,1828/0.0008505546625532498,,
2592/0.0010378985606789078,2414/0.0008505546625532498,,
737/0.0010378985606789078,2480/0.0008505546625532498,,
2339/0.0010378985606789078,848/0.000843346572192629,,
232/0.0010226353465512769,1088/0.000843346572192629,,
2110/0.0010226353465512769,437/0.000843346572192629,,
443/0.0010226353465512769,627/0.000843346572192629,,
2135/0.0010226353465512769,1558/0.0008361384818320083,,
1290/0.0010226353465512769,189/0.0008361384818320083,,
272/0.0010073721324236457,431/0.0008361384818320083,,
1076/0.0010073721324236457,1740/0.0008361384818320083,,
987/0.0010073721324236457,369/0.0008361384818320083,,
1000/0.0010073721324236457,199/0.0008361384818320083,,
1474/0.0010073721324236457,2513/0.0008361384818320083,,
436/0.0010073721324236457,1159/0.0008289303914713875,,
485/0.0010073721324236457,2145/0.0008289303914713875,,
2478/0.0010073721324236457,678/0.0008289303914713875,,
1993/0.0010073721324236457,1876/0.0008289303914713875,,
1334/0.0009921089182960148,944/0.0008289303914713875,,
1814/0.0009921089182960148,784/0.0008217223011107667,,
125/0.0009768457041683838,2543/0.0008217223011107667,,
2471/0.0009768457041683838,384/0.0008217223011107667,,
679/0.0009768457041683838,905/0.0008217223011107667,,
1943/0.0009768457041683838,2436/0.000814514210750146,,
1995/0.0009615824900407528,406/0.000814514210750146,,
1460/0.0009615824900407528,1217/0.000814514210750146,,
1463/0.0009615824900407528,379/0.000814514210750146,,
1293/0.0009463192759131218,2638/0.000814514210750146,,
1149/0.0009463192759131218,1376/0.000814514210750146,,
1249/0.0009463192759131218,1807/0.000814514210750146,,
1093/0.0009463192759131218,687/0.000814514210750146,,
2493/0.0009463192759131218,353/0.000814514210750146,,
1614/0.0009463192759131218,193/0.0008073061203895252,,
1974/0.0009463192759131218,1382/0.0008073061203895252,,
2494/0.0009310560617854908,911/0.0008073061203895252,,
216/0.0009310560617854908,16/0.0008073061203895252,,
797/0.0009310560617854908,1972/0.0008073061203895252,,
2192/0.0009310560617854908,937/0.0008073061203895252,,
474/0.0009310560617854908,1303/0.0008073061203895252,,
805/0.0009310560617854908,388/0.0008073061203895252,,
799/0.0009310560617854908,566/0.0008073061203895252,,
811/0.0009157928476578598,1005/0.0008073061203895252,,
531/0.0009157928476578598,1936/0.0008073061203895252,,
1475/0.0009157928476578598,389/0.0008073061203895252,,
1726/0.0009157928476578598,1364/0.0008073061203895252,,
1779/0.0009157928476578598,1785/0.0008000980300289044,,
1518/0.0009157928476578598,2158/0.0008000980300289044,,
1534/0.0009157928476578598,375/0.0008000980300289044,,
1205/0.0009005296335302288,413/0.0008000980300289044,,
234/0.0009005296335302288,2264/0.0008000980300289044,,
1834/0.0009005296335302288,2426/0.0008000980300289044,,
1411/0.0009005296335302288,604/0.0007928899396682837,,
1549/0.0008852664194025978,1040/0.0007928899396682837,,
2548/0.0008852664194025978,796/0.0007928899396682837,,
1590/0.0008852664194025978,2309/0.0007928899396682837,,
1902/0.0008852664194025978,1426/0.0007928899396682837,,
1300/0.0008852664194025978,1031/0.0007856818493076629,,
1777/0.0008852664194025978,542/0.0007856818493076629,,
376/0.0008700032052749668,625/0.0007856818493076629,,
1486/0.0008700032052749668,261/0.0007856818493076629,,
1987/0.0008700032052749668,401/0.0007856818493076629,,
751/0.0008700032052749668,721/0.0007784737589470422,,
836/0.0008547399911473358,447/0.0007784737589470422,,
1736/0.0008547399911473358,2193/0.0007784737589470422,,
916/0.0008547399911473358,603/0.0007784737589470422,,
702/0.0008547399911473358,1021/0.0007784737589470422,,
2607/0.0008547399911473358,2043/0.0007784737589470422,,
1714/0.0008547399911473358,2608/0.0007784737589470422,,
1947/0.0008547399911473358,2176/0.0007784737589470422,,
1105/0.0008394767770197048,301/0.0007712656685864214,,
955/0.0008394767770197048,892/0.0007712656685864214,,
2463/0.0008394767770197048,2328/0.0007712656685864214,,
532/0.0008394767770197048,1724/0.0007712656685864214,,
1339/0.0008394767770197048,2529/0.0007712656685864214,,
883/0.0008394767770197048,4/0.0007712656685864214,,
2283/0.0008242135628920738,2025/0.0007712656685864214,,
1107/0.0008242135628920738,2634/0.0007712656685864214,,
2189/0.0008242135628920738,1166/0.0007640575782258006,,
497/0.0008242135628920738,554/0.0007640575782258006,,
2522/0.0008242135628920738,709/0.0007640575782258006,,
947/0.0008242135628920738,1747/0.0007640575782258006,,
804/0.0008242135628920738,66/0.0007568494878651799,,
1520/0.0008089503487644428,1362/0.0007568494878651799,,
1816/0.0008089503487644428,588/0.0007568494878651799,,
1481/0.0008089503487644428,2294/0.0007568494878651799,,
577/0.0008089503487644428,691/0.0007568494878651799,,
2038/0.0008089503487644428,1937/0.0007568494878651799,,
1428/0.0008089503487644428,258/0.0007568494878651799,,
2087/0.0007936871346368119,48/0.0007568494878651799,,
582/0.0007936871346368119,422/0.0007496413975045591,,
1514/0.0007936871346368119,2265/0.0007496413975045591,,
2101/0.0007936871346368119,1094/0.0007496413975045591,,
2151/0.0007936871346368119,579/0.0007496413975045591,,
1840/0.0007936871346368119,2624/0.0007424333071439383,,
2623/0.0007784239205091808,686/0.0007424333071439383,,
2491/0.0007784239205091808,1102/0.0007424333071439383,,
670/0.0007784239205091808,1020/0.0007424333071439383,,
2467/0.0007631607063815499,176/0.0007424333071439383,,
994/0.0007631607063815499,1692/0.0007424333071439383,,
304/0.0007631607063815499,1116/0.0007424333071439383,,
2673/0.0007631607063815499,34/0.0007352252167833176,,
1735/0.0007631607063815499,61/0.0007352252167833176,,
919/0.0007631607063815499,2064/0.0007352252167833176,,
3/0.0007478974922539188,1716/0.0007352252167833176,,
2421/0.0007478974922539188,56/0.0007352252167833176,,
2526/0.0007478974922539188,1928/0.0007352252167833176,,
2418/0.0007478974922539188,2211/0.0007352252167833176,,
753/0.0007326342781262879,1011/0.0007352252167833176,,
970/0.0007326342781262879,1727/0.0007280171264226968,,
1287/0.0007326342781262879,187/0.0007280171264226968,,
1476/0.0007326342781262879,1268/0.0007280171264226968,,
616/0.0007326342781262879,2568/0.0007280171264226968,,
1845/0.0007326342781262879,1731/0.0007280171264226968,,
1545/0.0007173710639986568,549/0.0007280171264226968,,
2213/0.0007173710639986568,1297/0.0007208090360620761,,
1295/0.0007173710639986568,2142/0.0007208090360620761,,
1153/0.0007173710639986568,1391/0.0007208090360620761,,
1484/0.0007173710639986568,60/0.0007208090360620761,,
2245/0.0007173710639986568,1861/0.0007208090360620761,,
1543/0.0007021078498710259,2104/0.0007136009457014553,,
469/0.0007021078498710259,923/0.0007136009457014553,,
1529/0.0007021078498710259,481/0.0007136009457014553,,
1763/0.0007021078498710259,64/0.0007136009457014553,,
2162/0.0007021078498710259,1127/0.0007136009457014553,,
1001/0.0006868446357433948,1758/0.0007136009457014553,,
613/0.0006868446357433948,1891/0.0007136009457014553,,
1328/0.0006868446357433948,2259/0.0007136009457014553,,
1875/0.0006868446357433948,569/0.0007136009457014553,,
1185/0.0006868446357433948,2032/0.0007136009457014553,,
1626/0.0006715814216157639,103/0.0007063928553408345,,
864/0.0006715814216157639,1802/0.0007063928553408345,,
493/0.0006715814216157639,1905/0.0007063928553408345,,
1838/0.0006715814216157639,1561/0.0007063928553408345,,
854/0.0006715814216157639,1398/0.0007063928553408345,,
1336/0.0006715814216157639,339/0.0007063928553408345,,
2150/0.0006563182074881328,96/0.0007063928553408345,,
1403/0.0006563182074881328,1597/0.0006991847649802138,,
726/0.0006563182074881328,1192/0.0006991847649802138,,
1668/0.0006563182074881328,1499/0.0006991847649802138,,
1240/0.0006563182074881328,563/0.0006991847649802138,,
991/0.0006563182074881328,1794/0.0006991847649802138,,
1470/0.0006563182074881328,2343/0.0006991847649802138,,
1272/0.0006563182074881328,148/0.0006991847649802138,,
1547/0.0006563182074881328,86/0.0006991847649802138,,
2236/0.0006563182074881328,1551/0.0006991847649802138,,
68/0.0006563182074881328,936/0.0006991847649802138,,
438/0.0006563182074881328,2622/0.000691976674619593,,
2012/0.0006410549933605019,2489/0.000691976674619593,,
1377/0.0006410549933605019,917/0.000691976674619593,,
1041/0.0006410549933605019,1933/0.000691976674619593,,
856/0.0006410549933605019,940/0.000691976674619593,,
1457/0.0006410549933605019,1003/0.000691976674619593,,
506/0.0006410549933605019,1366/0.000691976674619593,,
1760/0.0006257917792328708,792/0.000691976674619593,,
1533/0.0006257917792328708,1577/0.000691976674619593,,
1996/0.0006257917792328708,741/0.000691976674619593,,
1097/0.0006257917792328708,722/0.0006847685842589722,,
40/0.0006257917792328708,2403/0.0006847685842589722,,
1454/0.0006257917792328708,454/0.0006775604938983515,,
424/0.0006105285651052399,428/0.0006775604938983515,,
1594/0.0006105285651052399,112/0.0006775604938983515,,
1160/0.0006105285651052399,32/0.0006775604938983515,,
2122/0.0006105285651052399,106/0.0006775604938983515,,
624/0.0006105285651052399,211/0.0006775604938983515,,
2321/0.0006105285651052399,1851/0.0006775604938983515,,
2210/0.0006105285651052399,1609/0.0006775604938983515,,
1049/0.0006105285651052399,1886/0.0006775604938983515,,
1836/0.0006105285651052399,453/0.0006775604938983515,,
878/0.0005952653509776088,823/0.0006775604938983515,,
777/0.0005952653509776088,1982/0.0006775604938983515,,
1255/0.0005952653509776088,601/0.0006775604938983515,,
1864/0.0005952653509776088,29/0.0006775604938983515,,
154/0.0005952653509776088,520/0.0006703524035377307,,
2326/0.0005952653509776088,404/0.0006703524035377307,,
2380/0.0005952653509776088,1209/0.0006703524035377307,,
2532/0.0005952653509776088,2239/0.0006703524035377307,,
1271/0.0005952653509776088,1131/0.0006703524035377307,,
297/0.0005952653509776088,43/0.0006703524035377307,,
2156/0.0005952653509776088,27/0.0006703524035377307,,
2577/0.0005800021368499779,2361/0.0006703524035377307,,
131/0.0005800021368499779,750/0.0006703524035377307,,
2221/0.0005800021368499779,1722/0.00066314431317711,,
2625/0.0005800021368499779,593/0.00066314431317711,,
2215/0.0005800021368499779,1778/0.00066314431317711,,
1024/0.0005800021368499779,257/0.00066314431317711,,
1800/0.0005800021368499779,1651/0.00066314431317711,,
660/0.0005800021368499779,51/0.00066314431317711,,
1629/0.0005800021368499779,2253/0.00066314431317711,,
743/0.0005647389227223468,218/0.00066314431317711,,
1363/0.0005647389227223468,1698/0.00066314431317711,,
2175/0.0005647389227223468,1455/0.00066314431317711,,
2646/0.0005647389227223468,159/0.0006559362228164892,,
1277/0.0005647389227223468,594/0.0006559362228164892,,
2255/0.0005647389227223468,1604/0.0006559362228164892,,
1565/0.0005647389227223468,795/0.0006559362228164892,,
899/0.0005647389227223468,2241/0.0006559362228164892,,
1393/0.0005647389227223468,2370/0.0006559362228164892,,
2181/0.0005494757085947159,793/0.0006559362228164892,,
2250/0.0005494757085947159,2246/0.0006487281324558684,,
2661/0.0005342124944670848,149/0.0006487281324558684,,
2082/0.0005342124944670848,747/0.0006487281324558684,,
993/0.0005342124944670848,18/0.0006487281324558684,,
2454/0.0005342124944670848,1009/0.0006487281324558684,,
1344/0.0005342124944670848,551/0.0006487281324558684,,
2171/0.0005342124944670848,2671/0.0006487281324558684,,
121/0.0005342124944670848,1109/0.0006487281324558684,,
1738/0.0005342124944670848,1260/0.0006415200420952477,,
2077/0.0005189492803394539,1169/0.0006415200420952477,,
2564/0.0005189492803394539,186/0.0006415200420952477,,
1850/0.0005189492803394539,1673/0.0006415200420952477,,
1801/0.0005189492803394539,798/0.0006415200420952477,,
2658/0.0005036860662118229,2228/0.0006415200420952477,,
2034/0.0004884228520841919,2072/0.0006415200420952477,,
997/0.0004884228520841919,821/0.0006343119517346269,,
953/0.0004884228520841919,2055/0.0006343119517346269,,
2004/0.0004884228520841919,1739/0.0006343119517346269,,
1163/0.0004884228520841919,429/0.0006343119517346269,,
1510/0.0004884228520841919,521/0.0006343119517346269,,
294/0.0004884228520841919,2450/0.0006343119517346269,,
2182/0.0004731596379565609,2496/0.0006343119517346269,,
2524/0.0004731596379565609,2146/0.0006343119517346269,,
434/0.0004731596379565609,1649/0.0006343119517346269,,
1712/0.0004731596379565609,2/0.0006343119517346269,,
1327/0.0004578964238289299,1984/0.0006343119517346269,,
1125/0.0004578964238289299,924/0.0006343119517346269,,
2552/0.0004578964238289299,668/0.0006343119517346269,,
2167/0.0004426332097012989,1688/0.0006343119517346269,,
676/0.0004426332097012989,1587/0.0006271038613740061,,
1507/0.0004426332097012989,1427/0.0006271038613740061,,
2109/0.0004426332097012989,1774/0.0006271038613740061,,
123/0.0004426332097012989,1823/0.0006271038613740061,,
806/0.0004426332097012989,35/0.0006271038613740061,,
2111/0.0004273699955736679,666/0.0006271038613740061,,
2442/0.0004273699955736679,2437/0.0006271038613740061,,
1970/0.0004273699955736679,2315/0.0006271038613740061,,
2010/0.0004273699955736679,2539/0.0006198957710133854,,
2234/0.0004273699955736679,2269/0.0006198957710133854,,
1992/0.0004121067814460369,2350/0.0006198957710133854,,
1596/0.0004121067814460369,1057/0.0006198957710133854,,
844/0.0004121067814460369,1560/0.0006198957710133854,,
622/0.0004121067814460369,2286/0.0006198957710133854,,
2525/0.0004121067814460369,2203/0.0006198957710133854,,
286/0.0004121067814460369,133/0.0006198957710133854,,
640/0.0004121067814460369,1370/0.0006198957710133854,,
615/0.0004121067814460369,2562/0.0006198957710133854,,
684/0.0004121067814460369,1751/0.0006198957710133854,,
1863/0.0004121067814460369,1631/0.0006198957710133854,,
1248/0.0003968435673184059,1387/0.0006198957710133854,,
1383/0.0003968435673184059,596/0.0006198957710133854,,
2430/0.0003968435673184059,2273/0.0006198957710133854,,
831/0.0003968435673184059,882/0.0006198957710133854,,
2270/0.0003968435673184059,158/0.0006198957710133854,,
1918/0.0003968435673184059,1930/0.0006198957710133854,,
2280/0.00038158035319077493,33/0.0006126876806527646,,
2131/0.00038158035319077493,611/0.0006126876806527646,,
1072/0.00038158035319077493,871/0.0006126876806527646,,
1773/0.00038158035319077493,200/0.0006126876806527646,,
968/0.00036631713906314393,1526/0.0006126876806527646,,
2040/0.00035105392493551293,2067/0.0006126876806527646,,
1680/0.00035105392493551293,1321/0.0006126876806527646,,
1732/0.00035105392493551293,2120/0.0006126876806527646,,
880/0.00035105392493551293,1100/0.0006126876806527646,,
1215/0.00035105392493551293,2030/0.0006126876806527646,,
1330/0.00035105392493551293,2446/0.0006126876806527646,,
490/0.00035105392493551293,2523/0.0006126876806527646,,
1447/0.00035105392493551293,513/0.0006054795902921439,,
1291/0.00035105392493551293,757/0.0006054795902921439,,
1421/0.00033579071080788194,718/0.0006054795902921439,,
863/0.00033579071080788194,935/0.0006054795902921439,,
100/0.00033579071080788194,1991/0.0006054795902921439,,
1505/0.00033579071080788194,595/0.0006054795902921439,,
1174/0.00033579071080788194,1140/0.0006054795902921439,,
1515/0.00033579071080788194,1985/0.0006054795902921439,,
1090/0.00033579071080788194,713/0.0006054795902921439,,
1332/0.00032052749668025094,2408/0.0006054795902921439,,
206/0.00032052749668025094,1129/0.0006054795902921439,,
2453/0.00032052749668025094,2173/0.0006054795902921439,,
1696/0.00032052749668025094,1878/0.0005982714999315231,,
233/0.00032052749668025094,1164/0.0005982714999315231,,
45/0.00032052749668025094,483/0.0005982714999315231,,
1782/0.00030526428255261994,1273/0.0005982714999315231,,
1869/0.00030526428255261994,2178/0.0005982714999315231,,
1148/0.00030526428255261994,1903/0.0005982714999315231,,
1935/0.00030526428255261994,652/0.0005982714999315231,,
1259/0.00030526428255261994,510/0.0005910634095709023,,
2305/0.00030526428255261994,1151/0.0005910634095709023,,
1258/0.00030526428255261994,913/0.0005910634095709023,,
2244/0.00030526428255261994,2045/0.0005910634095709023,,
1464/0.00030526428255261994,1900/0.0005910634095709023,,
2497/0.00029000106842498895,462/0.0005910634095709023,,
2008/0.00029000106842498895,478/0.0005910634095709023,,
1929/0.00029000106842498895,1544/0.0005910634095709023,,
2665/0.00029000106842498895,1641/0.0005910634095709023,,
444/0.00029000106842498895,1607/0.0005910634095709023,,
1396/0.00029000106842498895,411/0.0005838553192102817,,
2260/0.00027473785429735795,361/0.0005838553192102817,,
2049/0.00027473785429735795,2015/0.0005838553192102817,,
2247/0.00027473785429735795,647/0.0005838553192102817,,
2046/0.00027473785429735795,1108/0.0005838553192102817,,
918/0.00027473785429735795,1124/0.0005838553192102817,,
1251/0.00027473785429735795,192/0.0005838553192102817,,
2475/0.00027473785429735795,1280/0.0005838553192102817,,
1313/0.00025947464016972695,1342/0.0005766472288496609,,
1553/0.00025947464016972695,2482/0.0005766472288496609,,
1134/0.00025947464016972695,1661/0.0005766472288496609,,
2296/0.00025947464016972695,1699/0.0005766472288496609,,
1503/0.00025947464016972695,1202/0.0005766472288496609,,
779/0.00025947464016972695,1142/0.0005766472288496609,,
503/0.00025947464016972695,235/0.0005766472288496609,,
2405/0.00025947464016972695,619/0.0005766472288496609,,
2117/0.00024421142604209595,1352/0.0005694391384890401,,
2113/0.00024421142604209595,240/0.0005694391384890401,,
1664/0.00024421142604209595,325/0.0005694391384890401,,
1770/0.00024421142604209595,1337/0.0005694391384890401,,
2240/0.00024421142604209595,975/0.0005694391384890401,,
1365/0.00024421142604209595,2342/0.0005622310481284194,,
1830/0.00024421142604209595,2406/0.0005622310481284194,,
1598/0.00024421142604209595,415/0.0005622310481284194,,
2299/0.00022894821191446496,2438/0.0005622310481284194,,
2155/0.00021368499778683396,1089/0.0005622310481284194,,
410/0.00021368499778683396,1048/0.0005622310481284194,,
752/0.00021368499778683396,1848/0.0005622310481284194,,
1416/0.00021368499778683396,859/0.0005622310481284194,,
1115/0.00021368499778683396,42/0.0005550229577677986,,
1684/0.00021368499778683396,1265/0.0005550229577677986,,
2100/0.00021368499778683396,1546/0.0005550229577677986,,
1899/0.00021368499778683396,1569/0.0005550229577677986,,
2579/0.00019842178365920296,141/0.0005550229577677986,,
2227/0.00019842178365920296,785/0.0005550229577677986,,
567/0.00019842178365920296,1358/0.0005550229577677986,,
1477/0.00019842178365920296,252/0.0005550229577677986,,
1350/0.00019842178365920296,2585/0.0005550229577677986,,
2499/0.00019842178365920296,1819/0.0005550229577677986,,
2196/0.00018315856953157197,1462/0.0005550229577677986,,
1612/0.00018315856953157197,1194/0.0005550229577677986,,
893/0.00018315856953157197,1199/0.0005550229577677986,,
1245/0.00018315856953157197,1617/0.0005550229577677986,,
394/0.00018315856953157197,2572/0.0005550229577677986,,
2581/0.00018315856953157197,1980/0.0005550229577677986,,
1713/0.00018315856953157197,2137/0.0005550229577677986,,
2427/0.00018315856953157197,1389/0.0005550229577677986,,
1676/0.00016789535540394097,2164/0.0005478148674071779,,
2060/0.00016789535540394097,979/0.0005478148674071779,,
1846/0.00016789535540394097,685/0.0005478148674071779,,
1939/0.00016789535540394097,906/0.0005478148674071779,,
1541/0.00016789535540394097,1104/0.0005478148674071779,,
2070/0.00016789535540394097,2071/0.0005406067770465571,,
2509/0.00015263214127630997,628/0.0005406067770465571,,
1672/0.00015263214127630997,699/0.0005406067770465571,,
1847/0.00015263214127630997,1504/0.0005406067770465571,,
1907/0.00015263214127630997,1471/0.0005406067770465571,,
2530/0.00015263214127630997,2595/0.0005406067770465571,,
2364/0.00015263214127630997,983/0.0005406067770465571,,
2580/0.00015263214127630997,392/0.0005333986866859363,,
2479/0.00015263214127630997,1178/0.0005333986866859363,,
2018/0.00015263214127630997,2179/0.0005333986866859363,,
1811/0.00013736892714867897,560/0.0005333986866859363,,
1018/0.00012210571302104798,573/0.0005333986866859363,,
1983/0.00010684249889341698,2431/0.0005333986866859363,,
2486/0.00010684249889341698,1119/0.0005333986866859363,,
2531/0.00010684249889341698,1909/0.0005333986866859363,,
2389/0.00010684249889341698,2500/0.0005333986866859363,,
2277/0.00010684249889341698,2289/0.0005333986866859363,,
2462/0.00010684249889341698,364/0.0005333986866859363,,
1694/9.157928476578598e-05,2599/0.0005261905963253156,,
2094/9.157928476578598e-05,25/0.0005261905963253156,,
1432/9.157928476578598e-05,2016/0.0005261905963253156,,
331/7.631607063815499e-05,842/0.0005261905963253156,,
575/7.631607063815499e-05,2036/0.0005261905963253156,,
1262/7.631607063815499e-05,161/0.0005261905963253156,,
2052/7.631607063815499e-05,1229/0.0005261905963253156,,
2547/6.105285651052399e-05,2098/0.0005261905963253156,,
1953/4.578964238289299e-05,1143/0.0005261905963253156,,
2357/4.578964238289299e-05,15/0.0005261905963253156,,
592/4.578964238289299e-05,457/0.0005189825059646948,,
1033/4.578964238289299e-05,204/0.0005189825059646948,,
2434/4.578964238289299e-05,219/0.0005189825059646948,,
2354/3.0526428255261994e-05,2068/0.0005189825059646948,,
1645/3.0526428255261994e-05,541/0.0005189825059646948,,
2266/3.0526428255261994e-05,1357/0.0005189825059646948,,
,1180/0.0005189825059646948,,
,2180/0.0005189825059646948,,
,1691/0.0005189825059646948,,
,2079/0.0005189825059646948,,
,1401/0.0005189825059646948,,
,1141/0.0005189825059646948,,
,1572/0.000511774415604074,,
,2230/0.000511774415604074,,
,2237/0.000511774415604074,,
,2300/0.000511774415604074,,
,1443/0.000511774415604074,,
,2160/0.000511774415604074,,
,602/0.000511774415604074,,
,1600/0.000511774415604074,,
,1919/0.000511774415604074,,
,766/0.000511774415604074,,
,1793/0.0005045663252434533,,
,116/0.0005045663252434533,,
,1653/0.0005045663252434533,,
,2642/0.0005045663252434533,,
,296/0.0005045663252434533,,
,841/0.0005045663252434533,,
,2637/0.0005045663252434533,,
,2090/0.0005045663252434533,,
,675/0.0005045663252434533,,
,1177/0.0005045663252434533,,
,1037/0.0004973582348828325,,
,1895/0.0004973582348828325,,
,1528/0.0004973582348828325,,
,2490/0.0004973582348828325,,
,1531/0.0004973582348828325,,
,175/0.0004973582348828325,,
,770/0.0004973582348828325,,
,1977/0.0004973582348828325,,
,2521/0.0004973582348828325,,
,740/0.0004973582348828325,,
,1237/0.0004973582348828325,,
,1301/0.0004901501445222118,,
,921/0.0004901501445222118,,
,1500/0.0004901501445222118,,
,2035/0.0004901501445222118,,
,920/0.0004901501445222118,,
,1867/0.0004901501445222118,,
,908/0.0004901501445222118,,
,352/0.000482942054161591,,
,2546/0.000482942054161591,,
,268/0.000482942054161591,,
,2050/0.000482942054161591,,
,2372/0.000482942054161591,,
,1162/0.000482942054161591,,
,2487/0.000482942054161591,,
,2415/0.000482942054161591,,
,2238/0.000482942054161591,,
,515/0.00047573396380097023,,
,285/0.00047573396380097023,,
,1154/0.00047573396380097023,,
,1390/0.00047573396380097023,,
,92/0.00047573396380097023,,
,398/0.00047573396380097023,,
,1349/0.00046852587344034947,,
,358/0.00046852587344034947,,
,1488/0.00046852587344034947,,
,2290/0.00046852587344034947,,
,817/0.0004613177830797287,,
,1168/0.0004613177830797287,,
,1207/0.0004613177830797287,,
,130/0.0004613177830797287,,
,1171/0.0004613177830797287,,
,971/0.0004613177830797287,,
,2512/0.0004613177830797287,,
,547/0.0004613177830797287,,
,2657/0.0004613177830797287,,
,662/0.0004613177830797287,,
,1067/0.0004613177830797287,,
,720/0.0004613177830797287,,
,2202/0.00045410969271910794,,
,565/0.00045410969271910794,,
,2630/0.00045410969271910794,,
,143/0.00045410969271910794,,
,1323/0.00045410969271910794,,
,1433/0.00045410969271910794,,
,2603/0.00045410969271910794,,
,1591/0.00045410969271910794,,
,2429/0.00045410969271910794,,
,978/0.00045410969271910794,,
,1842/0.00045410969271910794,,
,2538/0.00045410969271910794,,
,648/0.00045410969271910794,,
,1054/0.00045410969271910794,,
,2492/0.00045410969271910794,,
,2589/0.00045410969271910794,,
,1442/0.00045410969271910794,,
,635/0.00045410969271910794,,
,2152/0.00045410969271910794,,
,1038/0.00045410969271910794,,
,2308/0.0004469016023584872,,
,1879/0.0004469016023584872,,
,642/0.0004469016023584872,,
,1015/0.0004469016023584872,,
,57/0.0004469016023584872,,
,1822/0.0004469016023584872,,
,209/0.0004469016023584872,,
,273/0.0004469016023584872,,
,641/0.0004469016023584872,,
,425/0.0004469016023584872,,
,1894/0.0004469016023584872,,
,1388/0.0004469016023584872,,
,2285/0.0004469016023584872,,
,182/0.0004469016023584872,,
,2278/0.0004469016023584872,,
,1870/0.0004396935119978664,,
,948/0.0004396935119978664,,
,2126/0.0004396935119978664,,
,2306/0.0004396935119978664,,
,538/0.0004396935119978664,,
,223/0.0004396935119978664,,
,2320/0.0004396935119978664,,
,550/0.0004396935119978664,,
,2074/0.0004396935119978664,,
,1780/0.0004396935119978664,,
,840/0.0004396935119978664,,
,1942/0.0004396935119978664,,
,2393/0.0004396935119978664,,
,2186/0.0004396935119978664,,
,646/0.00043248542163724566,,
,2134/0.00043248542163724566,,
,2352/0.00043248542163724566,,
,1458/0.00043248542163724566,,
