Topic 1,Topic 2,Topic 3,Topic 4
530/0.0028221784297983114,1013/0.001568753765307279,664/0.0014016301423551373,
1177/0.0027978493054034983,982/0.001568753765307279,715/0.0014016301423551373,
49/0.0027978493054034983,1175/0.001568753765307279,517/0.0013949873454719376,
533/0.0027735201810086857,1225/0.0015627889220931827,2074/0.0013949873454719376,
676/0.0027735201810086857,1961/0.0015568240788790867,610/0.0013949873454719376,
494/0.0027491910566138727,429/0.0015568240788790867,470/0.0013883445485887377,
2265/0.0027491910566138727,77/0.0015568240788790867,316/0.0013883445485887377,
1048/0.0027248619322190596,767/0.0015568240788790867,1577/0.0013883445485887377,
2664/0.0027248619322190596,2348/0.0015508592356649905,1473/0.0013883445485887377,
1386/0.0027248619322190596,295/0.0015508592356649905,527/0.0013883445485887377,
424/0.0027248619322190596,1123/0.0015448943924508945,21/0.0013750589548223383,
910/0.0027248619322190596,1047/0.0015448943924508945,1506/0.0013684161579391387,
1065/0.0026762036834294335,815/0.0015448943924508945,935/0.0013684161579391387,
1145/0.0026518745590346205,516/0.0015389295492367983,1116/0.0013684161579391387,
1153/0.0026518745590346205,1772/0.0015389295492367983,1389/0.001361773361055939,
919/0.0026275454346398074,86/0.0015389295492367983,130/0.0013551305641727393,
785/0.0026275454346398074,113/0.0015329647060227023,890/0.0013551305641727393,
2035/0.0026275454346398074,1921/0.0015329647060227023,422/0.0013551305641727393,
10/0.0026032163102449944,801/0.001526999862808606,1208/0.0013484877672895396,
702/0.0026032163102449944,252/0.001526999862808606,15/0.0013484877672895396,
2432/0.0025788871858501814,135/0.00152103501959451,2633/0.00134184497040634,
1670/0.0025545580614553683,374/0.00152103501959451,2173/0.0013285593766399406,
2371/0.0025545580614553683,535/0.0015150701763804138,2286/0.0013219165797567407,
1004/0.0025545580614553683,1442/0.0015150701763804138,1920/0.0013219165797567407,
1072/0.0025545580614553683,1998/0.0015091053331663176,1558/0.0013219165797567407,
1075/0.0025545580614553683,58/0.0015091053331663176,275/0.0013219165797567407,
2110/0.0025545580614553683,27/0.0015091053331663176,1933/0.0013219165797567407,
1252/0.0025302289370605553,202/0.0015091053331663176,196/0.0013219165797567407,
2585/0.0025302289370605553,1580/0.0015091053331663176,2645/0.001315273782873541,
679/0.0025302289370605553,707/0.0015091053331663176,1306/0.0013086309859903413,
1553/0.0025302289370605553,686/0.0015091053331663176,296/0.0013086309859903413,
1138/0.0025058998126657422,2209/0.0015091053331663176,2084/0.0013019881891071416,
862/0.0025058998126657422,2489/0.0015031404899522216,655/0.0013019881891071416,
1318/0.0025058998126657422,1198/0.0015031404899522216,2545/0.0013019881891071416,
1199/0.0025058998126657422,654/0.0015031404899522216,234/0.0013019881891071416,
2282/0.002481570688270929,2368/0.0015031404899522216,1593/0.0013019881891071416,
1464/0.002481570688270929,1467/0.0014971756467381254,720/0.001295345392223942,
2083/0.002457241563876116,458/0.001473316273881741,1181/0.001295345392223942,
2548/0.002457241563876116,2554/0.001467351430667645,641/0.0012887025953407423,
2356/0.002457241563876116,580/0.001467351430667645,985/0.0012887025953407423,
508/0.002457241563876116,942/0.0014613865874535488,1662/0.0012887025953407423,
1246/0.002457241563876116,658/0.0014613865874535488,792/0.0012887025953407423,
8/0.002457241563876116,1139/0.0014613865874535488,1190/0.0012887025953407423,
2392/0.002457241563876116,1587/0.0014613865874535488,2480/0.0012820597984575426,
1008/0.002432912439481303,315/0.0014613865874535488,1064/0.0012820597984575426,
1780/0.002432912439481303,54/0.0014613865874535488,1446/0.001275417001574343,
1231/0.002432912439481303,2437/0.0014554217442394528,557/0.001275417001574343,
1323/0.00240858331508649,219/0.0014494569010253565,64/0.001275417001574343,
2241/0.00240858331508649,1111/0.0014494569010253565,1217/0.001275417001574343,
2012/0.00240858331508649,151/0.0014494569010253565,2641/0.0012687742046911432,
121/0.002384254190691677,1326/0.0014494569010253565,73/0.0012687742046911432,
1178/0.002384254190691677,1458/0.0014494569010253565,1993/0.0012687742046911432,
1277/0.002384254190691677,2136/0.0014494569010253565,115/0.0012687742046911432,
2102/0.002384254190691677,231/0.0014434920578112603,2523/0.0012621314078079436,
1470/0.002359925066296864,299/0.0014375272145971643,1573/0.0012554886109247437,
2279/0.002359925066296864,2434/0.0014375272145971643,778/0.0012554886109247437,
117/0.002359925066296864,1310/0.0014315623713830681,706/0.0012554886109247437,
1726/0.002359925066296864,563/0.0014315623713830681,512/0.0012554886109247437,
1058/0.002359925066296864,1031/0.0014255975281689721,133/0.0012554886109247437,
913/0.002359925066296864,1532/0.001419632684954876,136/0.001248845814041544,
743/0.002335595941902051,889/0.001419632684954876,2372/0.001248845814041544,
1992/0.002335595941902051,313/0.0014077029985266837,2064/0.001248845814041544,
2298/0.002335595941902051,2054/0.0014077029985266837,339/0.001248845814041544,
2620/0.002335595941902051,93/0.0014077029985266837,1082/0.001248845814041544,
481/0.002311266817507238,1793/0.0014077029985266837,652/0.001248845814041544,
2649/0.002311266817507238,1238/0.0014077029985266837,2482/0.001248845814041544,
1390/0.002286937693112425,1621/0.0014017381553125877,1038/0.001248845814041544,
756/0.002286937693112425,1431/0.0013957733120984915,920/0.0012422030171583443,
1803/0.002262608568717612,139/0.0013957733120984915,793/0.0012422030171583443,
640/0.002262608568717612,200/0.0013957733120984915,739/0.0012355602202751446,
2051/0.002262608568717612,542/0.0013957733120984915,1617/0.001228917423391945,
2366/0.0022382794443227987,257/0.0013898084688843955,1180/0.001228917423391945,
490/0.0022382794443227987,388/0.0013898084688843955,678/0.0012222746265087452,
2475/0.0022382794443227987,103/0.0013898084688843955,2315/0.0012222746265087452,
2566/0.0022382794443227987,83/0.0013898084688843955,958/0.0012222746265087452,
1234/0.0022139503199279857,596/0.0013898084688843955,1905/0.0012156318296255456,
1384/0.0022139503199279857,4/0.0013898084688843955,735/0.0012089890327423459,
2167/0.0022139503199279857,70/0.0013898084688843955,1089/0.0012089890327423459,
2402/0.0022139503199279857,1517/0.0013838436256702993,1459/0.0012089890327423459,
2533/0.0021896211955331727,338/0.001377878782456203,1501/0.0012089890327423459,
1648/0.0021896211955331727,302/0.001377878782456203,415/0.0012089890327423459,
1474/0.0021896211955331727,757/0.001377878782456203,1408/0.0012089890327423459,
1913/0.0021652920711383596,1050/0.001371913939242107,2185/0.0012023462358591462,
1958/0.0021652920711383596,1575/0.001371913939242107,1321/0.0012023462358591462,
2463/0.0021652920711383596,17/0.001371913939242107,1118/0.0012023462358591462,
185/0.0021652920711383596,1692/0.001371913939242107,554/0.0012023462358591462,
1902/0.0021652920711383596,611/0.001371913939242107,1402/0.0012023462358591462,
1628/0.0021409629467435466,138/0.001371913939242107,699/0.0011957034389759465,
2142/0.0021166338223487335,1351/0.001371913939242107,377/0.0011957034389759465,
2018/0.0021166338223487335,2386/0.0013659490960280108,480/0.0011957034389759465,
825/0.0021166338223487335,2145/0.0013659490960280108,1837/0.0011957034389759465,
1802/0.0020923046979539205,558/0.0013659490960280108,1007/0.0011957034389759465,
1241/0.0020923046979539205,282/0.0013659490960280108,2365/0.0011890606420927466,
1768/0.0020923046979539205,201/0.0013659490960280108,171/0.0011890606420927466,
1830/0.0020679755735591074,29/0.0013599842528139148,2589/0.0011890606420927466,
2373/0.0020679755735591074,857/0.0013599842528139148,2500/0.0011890606420927466,
397/0.0020679755735591074,129/0.0013599842528139148,102/0.0011890606420927466,
2236/0.0020436464491642944,35/0.0013599842528139148,928/0.0011890606420927466,
2253/0.0020436464491642944,114/0.0013599842528139148,436/0.001182417845209547,
1071/0.0020436464491642944,925/0.0013599842528139148,1348/0.001182417845209547,
1838/0.0020193173247694813,1733/0.0013540194095998186,1563/0.001182417845209547,
2350/0.0020193173247694813,547/0.0013480545663857226,2003/0.0011757750483263473,
2068/0.0019949882003746683,1285/0.0013480545663857226,307/0.0011757750483263473,
1340/0.0019949882003746683,11/0.0013480545663857226,1851/0.0011757750483263473,
2284/0.0019949882003746683,589/0.0013480545663857226,1693/0.0011691322514431476,
1449/0.0019949882003746683,1066/0.0013420897231716264,1817/0.0011691322514431476,
2349/0.0019706590759798557,800/0.0013361248799575304,2654/0.0011691322514431476,
356/0.0019706590759798557,2080/0.0013361248799575304,1462/0.0011691322514431476,
943/0.0019706590759798557,1110/0.0013361248799575304,1260/0.001162489454559948,
304/0.0019463299515850424,369/0.0013301600367434342,137/0.001162489454559948,
1847/0.0019463299515850424,876/0.0013301600367434342,1554/0.0011558466576767482,
2481/0.0019463299515850424,2591/0.0013301600367434342,833/0.0011558466576767482,
774/0.0019463299515850424,2671/0.0013301600367434342,283/0.0011558466576767482,
305/0.0019220008271902294,1555/0.0013301600367434342,2329/0.0011558466576767482,
2479/0.0019220008271902294,271/0.0013301600367434342,32/0.0011558466576767482,
2109/0.0019220008271902294,1192/0.0013241951935293382,2542/0.0011558466576767482,
2296/0.0019220008271902294,2273/0.0013241951935293382,1392/0.0011492038607935485,
931/0.0019220008271902294,961/0.0013241951935293382,1611/0.0011492038607935485,
1251/0.0019220008271902294,1202/0.0013122655071011458,186/0.0011492038607935485,
2421/0.0018976717027954163,1570/0.0013122655071011458,2058/0.0011425610639103489,
2162/0.0018733425784006033,1314/0.0013063006638870498,509/0.0011425610639103489,
1171/0.0018733425784006033,2514/0.0013063006638870498,588/0.0011425610639103489,
2571/0.0018733425784006033,623/0.0013063006638870498,1489/0.0011425610639103489,
1514/0.0018733425784006033,1604/0.0013063006638870498,57/0.0011425610639103489,
1540/0.0018733425784006033,814/0.0013063006638870498,1688/0.0011425610639103489,
2070/0.0018733425784006033,1224/0.0013063006638870498,1243/0.0011425610639103489,
941/0.0018490134540057903,225/0.0013003358206729535,482/0.0011425610639103489,
2442/0.0018490134540057903,909/0.0012943709774588575,413/0.0011425610639103489,
2656/0.0018490134540057903,1937/0.0012943709774588575,1608/0.0011425610639103489,
1990/0.0018246843296109772,1186/0.0012943709774588575,949/0.0011292754701439495,
1798/0.0018003552052161642,44/0.0012943709774588575,1381/0.0011292754701439495,
1079/0.0018003552052161642,423/0.0012884061342447613,273/0.0011292754701439495,
2117/0.0018003552052161642,1354/0.0012884061342447613,1947/0.0011292754701439495,
2118/0.0018003552052161642,796/0.0012824412910306653,1832/0.0011226326732607498,
1081/0.0017760260808213513,176/0.0012824412910306653,933/0.0011226326732607498,
1383/0.0017760260808213513,566/0.0012764764478165691,1420/0.00111598987637755,
1870/0.0017760260808213513,515/0.0012764764478165691,2341/0.0011093470794943502,
1899/0.0017760260808213513,279/0.0012705116046024731,445/0.0011093470794943502,
2046/0.0017760260808213513,368/0.0012705116046024731,1755/0.0011093470794943502,
1365/0.0017760260808213513,1867/0.0012705116046024731,125/0.0011093470794943502,
1279/0.0017516969564265383,2158/0.0012705116046024731,1239/0.0011027042826111506,
1325/0.0017273678320317253,360/0.0012705116046024731,1551/0.0011027042826111506,
9/0.0017273678320317253,583/0.0012705116046024731,1294/0.0011027042826111506,
1736/0.0017273678320317253,421/0.0012705116046024731,1982/0.0011027042826111506,
1444/0.0017273678320317253,1603/0.0012705116046024731,1964/0.0011027042826111506,
233/0.0017030387076369122,2626/0.0012705116046024731,284/0.0011027042826111506,
2453/0.0017030387076369122,1703/0.0012705116046024731,173/0.0011027042826111506,
916/0.0017030387076369122,127/0.0012705116046024731,2057/0.0011027042826111506,
1717/0.0017030387076369122,541/0.001264546761388377,330/0.0011027042826111506,
1844/0.0017030387076369122,379/0.001264546761388377,2025/0.0011027042826111506,
1093/0.0017030387076369122,395/0.0012585819181742807,1545/0.0011027042826111506,
2178/0.0017030387076369122,1021/0.0012585819181742807,860/0.0010960614857279509,
1380/0.0017030387076369122,361/0.0012585819181742807,1342/0.0010960614857279509,
669/0.0017030387076369122,1500/0.0012526170749601847,1655/0.0010960614857279509,
893/0.0016787095832420992,265/0.0012526170749601847,1067/0.0010960614857279509,
1614/0.0016787095832420992,954/0.0012526170749601847,1871/0.0010960614857279509,
2493/0.0016543804588472861,821/0.0012526170749601847,1041/0.0010960614857279509,
1697/0.0016543804588472861,905/0.0012466522317460885,574/0.0010894186888447512,
1766/0.0016543804588472861,47/0.0012466522317460885,962/0.0010894186888447512,
214/0.0016543804588472861,105/0.0012406873885319925,742/0.0010894186888447512,
2250/0.0016543804588472861,373/0.0012406873885319925,2361/0.0010827758919615515,
622/0.0016543804588472861,471/0.0012406873885319925,2458/0.0010827758919615515,
2108/0.001630051334452473,608/0.0012406873885319925,235/0.0010827758919615515,
648/0.001630051334452473,2513/0.0012406873885319925,106/0.0010761330950783518,
2045/0.001630051334452473,599/0.0012406873885319925,2603/0.0010761330950783518,
2213/0.001630051334452473,255/0.0012406873885319925,1601/0.0010761330950783518,
331/0.00160572221005766,30/0.0012406873885319925,1591/0.0010761330950783518,
1480/0.00160572221005766,1468/0.0012406873885319925,211/0.0010761330950783518,
2244/0.001581393085662847,25/0.0012406873885319925,336/0.0010694902981951521,
2277/0.001581393085662847,1642/0.0012406873885319925,633/0.0010694902981951521,
1479/0.001557063961268034,487/0.0012406873885319925,2146/0.0010694902981951521,
812/0.001557063961268034,788/0.0012347225453178963,2289/0.0010694902981951521,
794/0.001557063961268034,717/0.0012347225453178963,1707/0.0010694902981951521,
1945/0.001557063961268034,2193/0.0012347225453178963,1984/0.0010694902981951521,
2381/0.001557063961268034,688/0.0012287577021038003,1898/0.0010694902981951521,
1677/0.001532734836873221,749/0.001222792858889704,2413/0.0010562047044287528,
2646/0.001532734836873221,1492/0.001222792858889704,2124/0.0010562047044287528,
1309/0.001532734836873221,2121/0.001222792858889704,950/0.0010562047044287528,
2665/0.0015084057124784079,1749/0.001222792858889704,2611/0.0010562047044287528,
2063/0.0015084057124784079,261/0.001222792858889704,2257/0.0010562047044287528,
940/0.0014840765880835948,1276/0.001222792858889704,549/0.0010495619075455529,
1332/0.0014840765880835948,2027/0.001216828015675608,2026/0.0010495619075455529,
2317/0.0014840765880835948,56/0.001216828015675608,2256/0.0010495619075455529,
888/0.0014840765880835948,762/0.001216828015675608,495/0.0010495619075455529,
2581/0.0014597474636887818,2263/0.0012108631724615118,1151/0.0010429191106623532,
177/0.0014597474636887818,364/0.0012108631724615118,333/0.0010429191106623532,
1811/0.0014354183392939687,1268/0.0012108631724615118,2408/0.0010429191106623532,
2530/0.0014354183392939687,0/0.0012108631724615118,1356/0.0010362763137791535,
1091/0.0014354183392939687,1963/0.0012108631724615118,964/0.0010362763137791535,
2663/0.0014110892148991557,2091/0.0012048983292474158,411/0.0010362763137791535,
217/0.0014110892148991557,1086/0.0012048983292474158,51/0.0010362763137791535,
1360/0.0013867600905043429,24/0.0012048983292474158,2667/0.0010362763137791535,
248/0.0013867600905043429,147/0.0012048983292474158,1375/0.0010362763137791535,
1438/0.0013867600905043429,2464/0.0012048983292474158,2558/0.0010362763137791535,
1773/0.0013867600905043429,382/0.0011989334860333196,908/0.0010362763137791535,
210/0.0013867600905043429,2055/0.0011989334860333196,1430/0.0010296335168959538,
1253/0.0013867600905043429,761/0.0011989334860333196,2438/0.0010296335168959538,
2049/0.0013624309661095298,2578/0.0011989334860333196,1104/0.0010296335168959538,
946/0.0013624309661095298,2211/0.0011989334860333196,871/0.0010296335168959538,
728/0.0013381018417147168,827/0.0011989334860333196,1023/0.0010296335168959538,
615/0.0013381018417147168,161/0.0011929686428192234,2436/0.0010296335168959538,
2452/0.0013137727173199037,132/0.0011929686428192234,562/0.0010296335168959538,
1849/0.0013137727173199037,1320/0.0011870037996051274,399/0.0010296335168959538,
1393/0.0013137727173199037,1583/0.0011870037996051274,1261/0.0010229907200127542,
1713/0.0013137727173199037,1166/0.0011870037996051274,1718/0.0010229907200127542,
1262/0.0012894435929250907,158/0.0011870037996051274,1569/0.0010229907200127542,
1641/0.0012894435929250907,1635/0.0011870037996051274,469/0.0010229907200127542,
1511/0.0012651144685302776,1646/0.0011810389563910312,182/0.0010229907200127542,
1644/0.0012651144685302776,1051/0.0011810389563910312,1989/0.0010229907200127542,
1125/0.0012407853441354646,1005/0.0011810389563910312,965/0.0010229907200127542,
1694/0.0012164562197406515,1699/0.0011810389563910312,2561/0.0010229907200127542,
1929/0.0011921270953458385,712/0.0011750741131769352,2081/0.0010163479231295545,
2009/0.0011921270953458385,2543/0.0011750741131769352,2595/0.0010163479231295545,
1259/0.0011677979709510255,2324/0.0011750741131769352,979/0.0010163479231295545,
1938/0.0011677979709510255,2367/0.001169109269962839,921/0.0010163479231295545,
2346/0.0011677979709510255,166/0.001169109269962839,14/0.0010163479231295545,
1460/0.0011434688465562124,431/0.001169109269962839,1159/0.0010163479231295545,
1425/0.0011434688465562124,179/0.001169109269962839,2323/0.0010163479231295545,
1090/0.0011191397221613994,1876/0.001169109269962839,2023/0.0010097051262463548,
409/0.0011191397221613994,1709/0.001163144426748743,572/0.0010097051262463548,
